timestamp_utc,source_id,source_type,source_path,source_url,exists_or_url_present,role,valid_for_claim
2026-06-29T02:44:20.784710+00:00,script_3470,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_3470_executable_coefficient_vector_runner_and_input_templates.py,,True,generator and dry-run runner,False
2026-06-29T02:44:20.784710+00:00,doc_3469,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3469-Y5-R2FR-visible-coefficient-owner-contract-or-multiarena-vector-runner.md,,True,3469 handoff,False
2026-06-29T02:44:20.784710+00:00,next_3469,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3469_NEXT_TARGET.csv,,True,3470 target statement,False
2026-06-29T02:44:20.784710+00:00,contract_3469,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3469_VISIBLE_COEFFICIENT_OWNER_CONTRACT.csv,,True,visible coefficient owner contract,False
2026-06-29T02:44:20.784710+00:00,schema_3469,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3469_MULTIARENA_VECTOR_RUNNER_SCHEMA.csv,,True,multi-arena schema,False
2026-06-29T02:44:20.784710+00:00,dryrun_3469,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3469_WEP_VECTOR_DRYRUN.csv,,True,previous WEP dry-run,False
2026-06-29T02:44:20.784710+00:00,blockers_3469,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3469_BLOCKER_LEDGER.csv,,True,previous blocker ledger,False
2026-06-29T02:44:20.784710+00:00,vector_3468,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3468_RETAINED_COEFFICIENT_VECTOR.csv,,True,retained coefficient vector,False
2026-06-29T02:44:20.784710+00:00,envelope_3468,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3468_NO_CANCELLATION_VECTOR_ENVELOPE.csv,,True,no-cancellation envelope,False
2026-06-29T02:44:20.784710+00:00,alpha_bound_3465,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3465_ALPHA_ONLY_BOUND_CALCULATION.csv,,True,alpha WEP bound,False
2026-06-29T02:44:20.784710+00:00,mass_row_3466,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3466_WEP_MASS_COMPONENT_ROW.csv,,True,mass WEP bound,False
2026-06-29T02:44:20.784710+00:00,local_bounds,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\local_bound_claims.csv,,True,empirical local bounds,False
