source_id,source_type,path_or_url,exists_or_reachable,contains_text,role,valid_for_claim,generated_utc
2809_next,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2809_NEXT_TARGET.csv,True,True,authoritative 2810 target,False,2026-06-24T02:56:02.753439+00:00
2809_delta_bound,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2809_DELTAK_COMPONENT_BOUND_TABLE.csv,True,True,Delta_K component split predecessor,False,2026-06-24T02:56:02.753931+00:00
2809_derivative,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2809_DELTAK_DERIVATIVE_BOUND_INTERFACE.csv,True,True,q_DeltaK derivative interface predecessor,False,2026-06-24T02:56:02.754465+00:00
2809_gates,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2809_CLAIM_GATES.csv,True,True,2809 claim-gate status,False,2026-06-24T02:56:02.755031+00:00
2808_units,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2808_WARD_RESIDUAL_UNIT_CONTRACT.csv,True,True,q_loc/P_loc unit predecessor,False,2026-06-24T02:56:02.755604+00:00
2808_metric_response,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2808_METRIC_RESPONSE_DERIVATION_ATTEMPT.csv,True,True,metric-response identity predecessor,False,2026-06-24T02:56:02.756128+00:00
2807_force_seed,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2807_SOURCE_BACKED_FORCE_SEED_ROW.csv,True,True,source-backed g_n denominator seed,False,2026-06-24T02:56:02.756649+00:00
field_sort_2485,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\Parent_field_sort_table_2485_NONCLAIM.csv,True,True,P_loc as projector/readout map,False,2026-06-24T02:56:02.757206+00:00
quotient_sort_2570,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\Parent_field_sort_quotient_attempt_2570_NONCLAIM.csv,True,True,fixed-before-variation P_loc obstruction,False,2026-06-24T02:56:02.757735+00:00
q_loc_law_2554,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\Qloc_local_vacuum_law_2554_NONCLAIM.csv,True,True,conditional q_loc=P_loc J_M law,False,2026-06-24T02:56:02.758308+00:00
sigma_delta_2603,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\SigmaX_tail_law_bridge_2603_NONCLAIM.csv,True,True,Delta_K projected-divergence schema,False,2026-06-24T02:56:02.758894+00:00
