branch_id,source_id,source_key,source_path,exists,needles,needles_present,checked_utc
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_0_1723_doc,1723_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1723-Y5-R2FR-guarded-JH-norm-stack-or-CwH-input-source.md,True,NEXT1723_0_primary;compact annulus/norm/tau owner,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_1_1723_guard,1723_guard_matrix,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1723_GUARD_REQUIREMENT_MATRIX.csv,True,GJH1723_2_tau_annulus_norm;TAU_ANNULUS_NORM_MISSING,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_2_1723_priority,1723_input_priority,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1723_INPUT_PRIORITY_LEDGER.csv,True,PRI1723_0_shared_norm_space;A_ext + norm_type + volume form + units,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_3_1720_jh_row,1720_jh_norm_first_row,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1720_JH_NORM_FIRST_SOURCE_ROW.csv,True,JHN1720_0_observed_Hilbert_current_norm_candidate;MISSING_PARENT_SIGNED_TAU_OBS,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_4_1720_doc,1720_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1720-Y5-R2FR-observed-Hilbert-current-norm-source-row-or-matter-functor-signature.md,True,JHT1720_2_norm_convention;compact exterior annulus,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_5_1719_ingredients,1719_ingredients,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1719_NUMERATOR_INGREDIENT_SOURCE_ROWS.csv,True,ING1719_0_JH_norm_candidate;A_ext;norm_type;volume_form,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_6_1718_doc,1718_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1718-Y5-R2FR-worldtube-support-owner-or-Icommutator-domain-numerator-bound.md,True,closure(supp J_H[tau]);linked exterior surfaces,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_7_1718_domain_bound,1718_domain_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1718_ICOMMUTATOR_DOMAIN_NUMERATOR_BOUND_CONTRACT.csv,True,NDB1718_0_domain_numerator_contract;MISSING_ANNULUS_MEASURE,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_8_1608_tau,1608_tau_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1608_TAU_WEP_READOUT_CONTRACT.csv,True,TAU1608_4_verdict;TAU_WEP_NOT_EVALUATED,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_9_1608_doc,1608_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1608-Y5-R2FR-tau-WEP-readout-kernel-or-material-tensor-source-file.md,True,tau_eff=1 shortcut;SHORTCUT_FORBIDDEN,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_10_684_frame_lock,684_frame_lock,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_684_FRAME_LOCK_CONTRACT.csv,True,FLC684_6_verdict;blocked_nonclaim,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_11_685_tau_generator,685_tau_generator,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_685_TAU_GENERATOR_CONTRACT.csv,True,TGC685_6_verdict;tau_source=tau_charge=tau_clock=tau_boundary=tau_orbit=tau_obs,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_12_1359_surface_intake,1359_surface_intake,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1359_ICOMMUTATOR_SOURCE_INTAKE_LEDGER.csv,True,ISI1359_0_surface_inner;MISSING_INNER_RADIUS_OR_SURFACE,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_13_1360_surface_rows,1360_surface_rows,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1360_MHREF_SURFACE_INTAKE_ROWS.csv,True,MSI1360_3_annulus_homology;MISSING_ANNULUS_HOMOLOGY_SOURCE,True,2026-06-18T19:00:06.502599+00:00
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1724_14_1722_cwh_rows,1722_cwh_rows,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1722_CWH_CURRENT_NORM_BOUND_ROWS.csv,True,CWH1722_0_CwH_current_norm_bound_candidate;MISSING_OPERATOR_NORM,True,2026-06-18T19:00:06.502599+00:00
