source_id,relative_path,absolute_path,exists,required_needles,found_needles,missing_needles,purpose,valid_for_claim,timestamp_utc
SRC2690_2689_NEXT,source-intake/mts_residuals/P8_Y5_R2FR_2689_NEXT_TARGET.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2689_NEXT_TARGET.csv,true,NEXT2689_0_selected;q_src maps labelled ordinary Hilbert source family;no w_A/kappa_A/source-shadow bypass,NEXT2689_0_selected;q_src maps labelled ordinary Hilbert source family;no w_A/kappa_A/source-shadow bypass,,confirms selected 2690 q_src/no-prefactor/no-shadow target,false,2026-06-23T07:19:45.134315+00:00
SRC2690_2689_OWNER,source-intake/mts_residuals/P8_Y5_R2FR_2689_PARENT_ACTION_OWNER_GATE.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2689_PARENT_ACTION_OWNER_GATE.csv,true,POG2689_1_q_src;POG2689_2_no_prefactor;POG2689_3_shadow_current,POG2689_1_q_src;POG2689_2_no_prefactor;POG2689_3_shadow_current,,imports owner gates from 2689,false,2026-06-23T07:19:45.134722+00:00
SRC2690_2689_DELTW,source-intake/mts_residuals/P8_Y5_R2FR_2689_DELTAW_COMPONENT_VALUE_ROWS_NONCLAIM.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2689_DELTAW_COMPONENT_VALUE_ROWS_NONCLAIM.csv,true,DWV2689_0_delta_w_species;MISSING_PARENT_VALUE_OR_ZERO_THEOREM;DWV2689_9_acceptance,DWV2689_0_delta_w_species;MISSING_PARENT_VALUE_OR_ZERO_THEOREM;DWV2689_9_acceptance,,imports first Delta_w value-row requirements,false,2026-06-23T07:19:45.135109+00:00
SRC2690_2649_QSRC,source-intake/mts_residuals/P8_Y5_SOURCE_DOMAIN_QUOTIENT_2649_QSRC_CONSTRUCTOR_ATTEMPT.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_SOURCE_DOMAIN_QUOTIENT_2649_QSRC_CONSTRUCTOR_ATTEMPT.csv,true,QSRC2649_0_definition;PREACTION_WEIGHT_BYPASS_SURVIVES;SOURCE_DOMAIN_QUOTIENT_CONSTRUCTOR_NOT_PARENT_DERIVED,QSRC2649_0_definition;PREACTION_WEIGHT_BYPASS_SURVIVES;SOURCE_DOMAIN_QUOTIENT_CONSTRUCTOR_NOT_PARENT_DERIVED,,imports q_src constructor attempt and bypass,false,2026-06-23T07:19:45.135495+00:00
SRC2690_2649_GATE,source-intake/mts_residuals/P8_Y5_SOURCE_DOMAIN_QUOTIENT_2649_QSRC_CLAUSE_GATE.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_SOURCE_DOMAIN_QUOTIENT_2649_QSRC_CLAUSE_GATE.csv,true,QG2649_0_parent_category;QG2649_2_no_source_prefactors;QSRC_CLAIM_BLOCKED,QG2649_0_parent_category;QG2649_2_no_source_prefactors;QSRC_CLAIM_BLOCKED,,imports q_src clause gate,false,2026-06-23T07:19:45.135878+00:00
SRC2690_2646_OWNER,source-intake/mts_residuals/P8_Y5_MATTER_NORMALIZATION_OWNER_2646_OWNER_THEOREM_ATTEMPT.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_MATTER_NORMALIZATION_OWNER_2646_OWNER_THEOREM_ATTEMPT.csv,true,MNO2646_1_conditional_owner_lemma;MNO2646_5_countermodel;MATTER_NORMALIZATION_OWNER_NOT_DERIVED,MNO2646_1_conditional_owner_lemma;MNO2646_5_countermodel;MATTER_NORMALIZATION_OWNER_NOT_DERIVED,,imports no-source-prefactor/matter-normalization theorem attempt,false,2026-06-23T07:19:45.136274+00:00
SRC2690_2646_VALUE,source-intake/mts_residuals/P8_Y5_MATTER_NORMALIZATION_OWNER_2646_DELTAW_SPECIES_COEFFICIENT_ROWS_NONCLAIM.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_MATTER_NORMALIZATION_OWNER_2646_DELTAW_SPECIES_COEFFICIENT_ROWS_NONCLAIM.csv,true,DWS2646_0_delta_w_species;SYMBOLIC_FREE_COEFFICIENT_NO_PARENT_VALUE;SOURCE_PROJECTORS_NOT_DERIVED,DWS2646_0_delta_w_species;SYMBOLIC_FREE_COEFFICIENT_NO_PARENT_VALUE;SOURCE_PROJECTORS_NOT_DERIVED,,imports symbolic Delta_w_species first coefficient row,false,2026-06-23T07:19:45.136819+00:00
SRC2690_2617_IDENTITY,source-intake/mts_residuals/P8_Y5_SINGLE_SOURCE_MAP_GATE_2617_SINGLE_SOURCE_MAP_IDENTITY_THEOREM.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_SINGLE_SOURCE_MAP_GATE_2617_SINGLE_SOURCE_MAP_IDENTITY_THEOREM.csv,true,SMI2617_1_identity_source_map;THEOREM_CONTRACT_READY_PARENT_UNSIGNED;SMI2617_5_current_verdict,SMI2617_1_identity_source_map;THEOREM_CONTRACT_READY_PARENT_UNSIGNED;SMI2617_5_current_verdict,,imports single-source-map theorem and gap,false,2026-06-23T07:19:45.137510+00:00
SRC2690_2617_SHADOW,source-intake/mts_residuals/P8_Y5_SINGLE_SOURCE_MAP_GATE_2617_SOURCE_SHADOW_ZERO_ATTEMPT.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_SINGLE_SOURCE_MAP_GATE_2617_SOURCE_SHADOW_ZERO_ATTEMPT.csv,true,SSZ2617_1_shadow_as_action_term;SSZ2617_3_shadow_as_projector;PARTIAL_THEOREM_NOT_FULL_PARENT_PROOF,SSZ2617_1_shadow_as_action_term;SSZ2617_3_shadow_as_projector;PARTIAL_THEOREM_NOT_FULL_PARENT_PROOF,,imports source-shadow zero attempt,false,2026-06-23T07:19:45.138150+00:00
SRC2690_2617_INVENTORY,source-intake/mts_residuals/P8_Y5_SINGLE_SOURCE_MAP_GATE_2617_NONHILBERT_BOUNDARY_PROJECTOR_AUDIT.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_SINGLE_SOURCE_MAP_GATE_2617_NONHILBERT_BOUNDARY_PROJECTOR_AUDIT.csv,true,NHB2617_0_boundary_improvement;NHB2617_4_post_variation_projector;INVENTORY_READY_NONCLAIM,NHB2617_0_boundary_improvement;NHB2617_4_post_variation_projector;INVENTORY_READY_NONCLAIM,,imports non-Hilbert/boundary/projector bypass inventory,false,2026-06-23T07:19:45.138805+00:00
