timestamp_utc,branch_id,checkpoint_id,source_id,path,exists,required_text,required_text_found,role,claim_allowed,valid_for_claim
2026-07-03T02:49:18+00:00,MTS_R2FR_Y5_LOCAL_GR_PRIVATE_CLOSURE_BURDEN_MAP_4179,4179,SRC4179_00_4178_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4178_NEXT_TARGET.csv,True,local-GR private closure map,True,4178 handoff to closure summary and burden map.,False,False
2026-07-03T02:49:18+00:00,MTS_R2FR_Y5_LOCAL_GR_PRIVATE_CLOSURE_BURDEN_MAP_4179,4179,SRC4179_01_181_kappa,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\181-PPC4161-kappa-G-normalization-gate.md,True,G_N = c^4 kappa_eff/(8*pi),True,kappa-to-G normalization gate.,False,False
2026-07-03T02:49:18+00:00,MTS_R2FR_Y5_LOCAL_GR_PRIVATE_CLOSURE_BURDEN_MAP_4179,4179,SRC4179_02_184_kappa_lock,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\184-PPC4161-parent-adopted-topological-kappa-sector.md,True,D_A ln kappa_* = 0,True,topological kappa lock.,False,False
2026-07-03T02:49:18+00:00,MTS_R2FR_Y5_LOCAL_GR_PRIVATE_CLOSURE_BURDEN_MAP_4179,4179,SRC4179_03_185_source,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\185-PPC4161-Hilbert-source-measure-descent-and-delta-ZH-closure.md,True,delta_ZH = 0,True,Hilbert source-measure descent.,False,False
2026-07-03T02:49:18+00:00,MTS_R2FR_Y5_LOCAL_GR_PRIVATE_CLOSURE_BURDEN_MAP_4179,4179,SRC4179_04_186_mass,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\186-PPC4161-Hamiltonian-worldtube-mass-readout-glue.md,True,Pi_M/H_tau/worldtube glue = 0 residual,True,Hamiltonian mass-charge glue.,False,False
2026-07-03T02:49:18+00:00,MTS_R2FR_Y5_LOCAL_GR_PRIVATE_CLOSURE_BURDEN_MAP_4179,4179,SRC4179_05_187_newton,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\187-PPC4161-Poisson-Gauss-Newton-readout-from-Hamiltonian-source-charge.md,True,nabla^2 Phi_N = 4*pi G_N rho_H,True,Poisson/Gauss/Newton readout.,False,False
2026-07-03T02:49:18+00:00,MTS_R2FR_Y5_LOCAL_GR_PRIVATE_CLOSURE_BURDEN_MAP_4179,4179,SRC4179_06_188_ppn,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\188-PPC4161-full-PPN-readout-vector.md,True,R_PPN =,True,full private PPN vector.,False,False
2026-07-03T02:49:18+00:00,MTS_R2FR_Y5_LOCAL_GR_PRIVATE_CLOSURE_BURDEN_MAP_4179,4179,SRC4179_07_189_empirical,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\189-PPC4161-local-empirical-validation-pack.md,True,source-backed comparator pack,True,source-backed local comparator pack.,False,False
2026-07-03T02:49:18+00:00,MTS_R2FR_Y5_LOCAL_GR_PRIVATE_CLOSURE_BURDEN_MAP_4179,4179,SRC4179_08_190_selector,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\190-PPC4161-parent-action-selector-or-local-branch-quarantine.md,True,local boundary silence,True,selector/quarantine contract.,False,False
2026-07-03T02:49:18+00:00,MTS_R2FR_Y5_LOCAL_GR_PRIVATE_CLOSURE_BURDEN_MAP_4179,4179,SRC4179_09_191_em,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\191-PPC4161-Maxwell-Hodge-Poynting-stress-owner-theorem.md,True,Poynting vector is not a separate background field,True,Maxwell-Hodge/Poynting owner theorem.,False,False
