timestamp_utc,branch_id,checkpoint_id,valid_for_claim,claim_allowed,row_id,symbol,definition,value,status,units,observable_link,source_path,score_ready
2026-06-21T01:55:42.850691+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2187,False,False,RGR2187_0_radial_owner,epsilon_radial_gauge_owner,parent ownership failure for areal/isotropic radial coordinate and transform,MISSING_PARENT_RADIAL_GAUGE_OWNER,MISSING_RADIAL_GAUGE_OWNER,dimensionless_or_declared,2PN;PPN;local_GR,MISSING_SOURCE_PATH,False
2026-06-21T01:55:42.850696+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2187,False,False,RGR2187_1_angular_owner,epsilon_angular_coframe_owner,parent ownership failure for angular area coframe or conformal isotropic spatial factor,MISSING_PARENT_ANGULAR_COFAME_OWNER,MISSING_ANGULAR_COFAME_OWNER,dimensionless_or_declared,2PN;light_time;orbital,MISSING_SOURCE_PATH,False
2026-06-21T01:55:42.850700+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2187,False,False,RGR2187_2_mixed,sigma_spatial_2PN_mixed_forbidden,residual if isotropic lapse and reciprocal spatial factor are scored in same coordinate,1/2,FORBIDDEN_MIXED_GAUGE_RESIDUAL,dimensionless_2PN_coefficient,2PN;PPN,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2187-Y5-R2FR-parent-owned-radial-gauge-map-and-EH-descent-signature.md,False
2026-06-21T01:55:42.850706+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2187,False,False,RGR2187_3_areal,sigma_spatial_2PN_areal_owned,spatial residual in parent-owned areal reciprocal gauge,0,ZERO_IF_AREAL_GAUGE_PARENT_OWNED,dimensionless_2PN_coefficient,2PN;local_GR,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2187-Y5-R2FR-parent-owned-radial-gauge-map-and-EH-descent-signature.md,False
2026-06-21T01:55:42.850710+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2187,False,False,RGR2187_4_kappa_iso,kappa_v_isotropic,PPN-gauge lapse quadratic coefficient,0,ZERO_IN_ISOTROPIC_PPN_GAUGE_CONDITIONAL,dimensionless,PPN_beta,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2187-Y5-R2FR-parent-owned-radial-gauge-map-and-EH-descent-signature.md,False
2026-06-21T01:55:42.850714+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2187,False,False,RGR2187_5_kappa_areal,kappa_v_areal,areal-gauge lapse quadratic coefficient,-2,GAUGE_LABEL_REQUIRED_NOT_BETA_FAILURE,dimensionless,coordinate_gauge,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2187-Y5-R2FR-parent-owned-radial-gauge-map-and-EH-descent-signature.md,False
2026-06-21T01:55:42.850719+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2187,False,False,RGR2187_6_descent,epsilon_EH_descent_signature,failure to parent-sign EH core plus extra-sector double zeros,MISSING_PARENT_DESCENT_SIGNATURE,MISSING_EH_DESCENT_SIGNATURE,dimensionless_or_declared,local_GR;WEP;PPN,MISSING_SOURCE_PATH,False
2026-06-21T01:55:42.850723+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2187,False,False,RGR2187_7_PiM,epsilon_PiM_lock,failure to prove Pi_M(Phi0)=Pi_EH and derivative silence,MISSING_PARENT_PIM_LOCK,MISSING_PIM_LOCK_PROOF,dimensionless_or_GM_flux,Newton;R10;R11;PPN,MISSING_SOURCE_PATH,False
2026-06-21T01:55:42.850726+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2187,False,False,RGR2187_8_boundary,epsilon_boundary_reference_zero,failure to prove zero compact boundary/reference mass flux,MISSING_BOUNDARY_ZERO_PROOF,MISSING_BOUNDARY_ZERO,dimensionless_or_GM_flux,Newton;local_GR,MISSING_SOURCE_PATH,False
2026-06-21T01:55:42.850730+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2187,False,False,RGR2187_9_total,Delta_local_GR_readout_descent_abs,"absolute envelope of radial, angular, descent, PiM and boundary residuals",MISSING_COMPONENT_INPUTS,MISSING_COMPONENT_INPUTS,dimensionless,local_GR;PPN;Newton,MISSING_SOURCE_PATH,False
