timestamp_utc,branch_id,checkpoint_id,valid_for_claim,claim_allowed,row_id,symbol,definition,value,status,units,observable_link,source_path,score_ready
2026-06-21T02:12:10.577305+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2190,False,False,QL2190_0_action,q_action_owner_defect,failure of a parent S_GK action to exist/source Gamma_eff and K_hat,MISSING_PARENT_S_GK,MISSING_ACTION_OWNER,stress_divergence_or_force_density,local_GR;PPN,MISSING_SOURCE_PATH,False
2026-06-21T02:12:10.577310+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2190,False,False,QL2190_1_metric_response,q_metric_response_defect,K_hat minus metric response of sqrt(-g)Gamma_eff under declared boundary convention,MISSING_METRIC_RESPONSE_MATCH,MISSING_KHAT_METRIC_RESPONSE,stress_divergence_or_force_density,PPN;R10;local_GR,MISSING_SOURCE_PATH,False
2026-06-21T02:12:10.577316+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2190,False,False,QL2190_2_Helmholtz,q_Helmholtz_defect,non-integrable stress defect if second variation symmetry fails,MISSING_HELMHOLTZ_CERTIFICATE,MISSING_HELMHOLTZ_INTEGRABILITY,stress_divergence_or_force_density,PPN;local_GR,MISSING_SOURCE_PATH,False
2026-06-21T02:12:10.577321+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2190,False,False,QL2190_3_Euler,q_Euler_source_defect,sum_A E_A nabla^nu Phi^A plus source-current terms in compact local vacuum,MISSING_EULER_SOURCE_ZERO,MISSING_EULER_CLOSURE,force_density,PPN;clocks;orbital,MISSING_SOURCE_PATH,False
2026-06-21T02:12:10.577326+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2190,False,False,QL2190_4_C0,epsilon_C0_GammaKhat,zeroth-order T_GK/GammaKhat amplitude at Phi0,MISSING_C0_VALUE,MISSING_TGK_ZERO,dimensionless_or_stress_norm,PPN;R10;local_GR,MISSING_SOURCE_PATH,False
2026-06-21T02:12:10.577331+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2190,False,False,QL2190_5_dC,epsilon_dC_GammaKhat,first variation partial_A T_GK(Phi0),MISSING_DC_VALUE,MISSING_TGK_DERIVATIVE_ZERO,dimensionless_operator_norm,PPN;R10;local_GR,MISSING_SOURCE_PATH,False
2026-06-21T02:12:10.577338+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2190,False,False,QL2190_6_Ricci,q_Ricci_Khat,curved tracefree Khat leftover 2 R^nu_sigma nabla^sigma phi plus convention corrections,MISSING_RICCI_KHAT_BOUND,MISSING_CURVED_SOLVER_BOUND,force_density_or_dimensionless_after_projection,PPN;orbital,MISSING_SOURCE_PATH,False
2026-06-21T02:12:10.577343+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2190,False,False,QL2190_7_Ploc,q_Ploc_commutator,derivative/readout commutator (nabla_mu P_loc)K_hat and kernel leakage,MISSING_PLOC_COMMUTATOR_BOUND,MISSING_PLOC_PARENT_OWNER,force_density_or_dimensionless_after_projection,PPN_alpha_i;WEP;local_GR,MISSING_SOURCE_PATH,False
2026-06-21T02:12:10.577348+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2190,False,False,QL2190_8_boundary,q_GK_boundary_flux,compact local boundary/symplectic flux from theta_GK/Q_GK,MISSING_GK_BOUNDARY_FLUX,MISSING_BOUNDARY_NO_FLUX,force_flux_or_GM_flux,Newton;R10;R11;PPN,MISSING_SOURCE_PATH,False
2026-06-21T02:12:10.577353+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2190,False,False,QL2190_9_metric_footprint,q_Khat_metric_footprint,metric/PPN response from Khat carrier amplitude even if divergence cancellation works,MISSING_METRIC_RESPONSE_MATRIX,MISSING_KHAT_METRIC_SAFETY,PPN_vector_or_metric_coefficients,PPN;clocks;orbital,MISSING_SOURCE_PATH,False
2026-06-21T02:12:10.577358+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2190,False,False,QL2190_10_total,q_loc_residual_vector_abs,"absolute no-cancellation vector envelope across action, metric-response, Helmholtz, Euler, double-zero, Ricci, P_loc, boundary, and metric-footprint components",MISSING_COMPONENT_INPUTS,RESIDUAL_LOCK_ACTIVE_COMPONENTS_MISSING,arena_normalized_vector,local_GR;PPN;R10;R11;clocks;orbital,MISSING_SOURCE_PATH,False
