checkpoint,source_id,source_path,path_exists,needle,needle_found,line_number,note,valid_for_claim,timestamp_utc
4675,SRC4675_00_4674_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4674_NEXT_TARGET.csv,True,4675-Y5-R2FR-source-branch-force-residual-zero-or-first-numeric-bound-row.md,True,2,4674 selected this target.,False,2026-07-07T17:26:12.686903+00:00
4675,SRC4675_01_4674_identity,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4674_R826_EULER_RESIDUAL_PROOF.csv,True,PR4674_2_exact_identity,True,4,B826 Euler-residual identity.,False,2026-07-07T17:26:12.686903+00:00
4675,SRC4675_02_4674_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4674_FIRST_FINITE_B826_BOUND_SCHEMA.csv,True,BND4674_0_master,True,2,first B826 bound schema.,False,2026-07-07T17:26:12.686903+00:00
4675,SRC4675_03_4674_status,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4674_STATUS.csv,True,euler_identity_derived,True,1,4674 status.,False,2026-07-07T17:26:12.686903+00:00
4675,SRC4675_04_4674_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_4674_VALIDATION.csv,True,"VAL4674_OVERALL,True,PASS",True,15,4674 validation.,False,2026-07-07T17:26:12.686903+00:00
4675,SRC4675_05_doc4674,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4674-Y5-R2FR-first-ZM-B826-finite-input-pack-or-R826-no-slot-owner-proof.md,True,B_826 = -a_F,True,24,4674 derivation prose.,False,2026-07-07T17:26:12.686903+00:00
4675,SRC4675_06_formal690,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\690-PPC4161-first-ZM-B826-finite-input-pack-or-R826-no-slot-owner-proof.md,True,B_826 = -a_F,True,24,4674 formal note.,False,2026-07-07T17:26:12.686903+00:00
4675,SRC4675_07_4266_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4266_SOURCE_READOUT_THEOREM.csv,True,SRCRO4266_2_charge_readout_zero,True,4,source charge readout zero.,False,2026-07-07T17:26:12.686903+00:00
4675,SRC4675_08_4266_remainder,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4266_REMAINDER_SPLIT_ROWS.csv,True,REM4266_0_kappa_G_owner,True,2,coupling coefficient remainder.,False,2026-07-07T17:26:12.686903+00:00
4675,SRC4675_09_4268_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4268_BOUNDARY_PROJECTOR_THEOREM.csv,True,BPROJ4268_1_fixed_collar_qbasic,True,3,fixed collar theorem.,False,2026-07-07T17:26:12.686903+00:00
