source_id,path,exists,role,valid_for_claim
script_3523,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_3523_source_label_forgetting_functor_and_EM_Hodge_owner_or_marker_kernel_bound.py,True,3523 generator,False
doc_3522,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3522-Y5-R2FR-representative-identity-vs-global-symmetry-or-active-marker-bound.md,True,representative identity vs symmetry handoff,False
next_3522,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3522_NEXT_TARGET.csv,True,3522-selected source-label/EM-Hodge target,False
status_3522,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_EM_representative_identity_status.csv,True,canonical representative identity status,False
matter_2587,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2587-Y5-R2FR-minimal-parent-matter-coupling-action-or-domain-motion-input.md,True,"minimal parent matter action, single observed stack, no-source-slot contract",False
matter_contract_2587,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_MIN_PARENT_MATTER_2587_ACTION_CONTRACT.csv,True,2587 matter action contract rows,False
sort_constructor_2688,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2688-Y5-R2FR-parent-sort-constructor-from-MTS-primitives-or-delta-w-component-values.md,True,source-label forgetting and Delta_w constructor blocker,False
vertical_poynting_3115,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3115-Y5-R2FR-local-vertical-Noether-generator-certificate-under-AX1090.md,True,EM/Hodge/Poynting readout and Hilbert-stress route,False
em_owner_1099,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1099-Y5-R10-unique-EM-kinetic-owner-no-extra-F2-theorem-or-alpha-coefficient-source-row.md,True,no-extra-F2/gauge-normalization owner and alpha residual guard,False
em_theorem_1099,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1099_EM_KINETIC_OWNER_THEOREM_ATTEMPT.csv,True,1099 EM kinetic owner theorem attempt,False
alpha_rows_1099,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1099_ALPHA_COEFFICIENT_SOURCE_ROWS_NONCLAIM.csv,True,1099 alpha coefficient source rows,False
