timestamp_utc,branch_id,checkpoint_id,residual_id,symbol,formula,meaning,status,source_path,claim_allowed,valid_for_claim
2026-06-29T18:42:35.983611+00:00,MTS_R2FR_Y5_SOURCE_COORDINATE_QBASIC_AX_3603,3603,AXR3603_0_A_X_total,A_X_source_connection,A_X=dY(v_X)=dYbar(Dq(v_X))+E_Y,total source-coordinate connection vector,ACTIVE_NONCLAIM_EXACT_CHAIN_RULE,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_EM_source_branch_mass_connection_flatness_law.csv,False,False
2026-06-29T18:42:35.983611+00:00,MTS_R2FR_Y5_SOURCE_COORDINATE_QBASIC_AX_3603,3603,AXR3603_1_Dq_vX,Dq_vX,Dq(v_X),horizontal quotient leak of the candidate residual direction,OPEN_VERTICAL_BASIS_REQUIRED,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3517_CANDIDATE_VERTICAL_BASIS.csv,False,False
2026-06-29T18:42:35.983611+00:00,MTS_R2FR_Y5_SOURCE_COORDINATE_QBASIC_AX_3603,3603,AXR3603_2_A_XM,A_XM,D_X M_H_ref = D_XH_tau-D_XH_ref+E_branch_units,mass-coordinate source connection,OPEN_MHREF_QBASIC_REQUIRED,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3551_MHREF_DESCENT_THEOREM.csv,False,False
2026-06-29T18:42:35.983611+00:00,MTS_R2FR_Y5_SOURCE_COORDINATE_QBASIC_AX_3603,3603,AXR3603_3_A_Xshape,A_Xshape,D_X sigma^a=(D_XI^a-sigma^a D_XM_H_ref)/M_H_ref,shape/source-support connection,OPEN_SHAPE_QBASIC_REQUIRED,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3560_SOURCE_SUPPORT_QBASIC_THEOREM.csv,False,False
2026-06-29T18:42:35.983611+00:00,MTS_R2FR_Y5_SOURCE_COORDINATE_QBASIC_AX_3603,3603,AXR3603_4_E_Htau,E_Htau_qbasic,D_XH_tau - dHbar_tau(Dq(v_X)),Hamiltonian charge extraction/q-basicness leakage,OPEN_HTAU_QBASIC_REQUIRED,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3552_HTAU_QBASIC_THEOREM.csv,False,False
2026-06-29T18:42:35.983611+00:00,MTS_R2FR_Y5_SOURCE_COORDINATE_QBASIC_AX_3603,3603,AXR3603_5_E_Href,E_Href_qbasic,D_XH_ref - dHbar_ref(Dq(v_X)),source-blind reference leakage,OPEN_REFERENCE_BRANCH_REQUIRED,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3577_HTAU_QBASIC_REFERENCE_THEOREM.csv,False,False
2026-06-29T18:42:35.983611+00:00,MTS_R2FR_Y5_SOURCE_COORDINATE_QBASIC_AX_3603,3603,AXR3603_6_E_rho,E_rho_qbasic,D_X(rho_H dV_H)-d rhobar_H(Dq(v_X)),Hilbert source density q-basic leakage,OPEN_DENSITY_QBASIC_REQUIRED,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3561_HILBERT_DENSITY_QBASIC_THEOREM.csv,False,False
2026-06-29T18:42:35.983611+00:00,MTS_R2FR_Y5_SOURCE_COORDINATE_QBASIC_AX_3603,3603,AXR3603_7_E_noHom,E_source_weight,relative active source prefactor/source-marker/readout-mask terms,source-only weight countermodel inside density/support,OPEN_NO_SOURCE_ONLY_HOM_REQUIRED,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3562_NO_SOURCE_ONLY_HOM_THEOREM.csv,False,False
2026-06-29T18:42:35.983611+00:00,MTS_R2FR_Y5_SOURCE_COORDINATE_QBASIC_AX_3603,3603,AXR3603_8_E_boundary,E_boundary_birth,int_boundary s^a rho_H v_boundary dS plus zero-crossing/birth-death events,support boundary regularity leakage,OPEN_SUPPORT_REGULARITY_REQUIRED,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3560_SOURCE_SUPPORT_QBASIC_THEOREM.csv,False,False
2026-06-29T18:42:35.983611+00:00,MTS_R2FR_Y5_SOURCE_COORDINATE_QBASIC_AX_3603,3603,AXR3603_9_E_tau_frame,E_tau_frame,"D_X(tau,e_obs,Sigma,readout frame mismatch)",same-frame tau/coframe support mismatch,OPEN_FRAME_LOCK_REQUIRED,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3517_CANDIDATE_Q_MAP.csv,False,False
