source_file,role,exists
518-Y5-source-normalization-owner-or-q_loc-bound-implementation.md,Y5 owner theorem and bound-runner input that selected a source-owner clause or bound fill,True
511-minimal-parent-action-local-GR-fixed-point-ansatz.md,minimal parent action local-GR contract including universal observed coframe,True
510-worldtube-source-measure-glue-or-Meff-residual-runner.md,worldtube source-measure glue and one observed source/readout frame blocker,True
509-source-measure-Meff-flux-closure-after-kappa-gate.md,source-measure and measured-GM equality clauses,True
508-constant-kappa-superselection-or-drift-residual.md,constant kappa gate and matter/source blindness warning,True
10-observer-map-symplectic-contract.md,observer coframe and symplectic/readout contract,True
13-local-closure-PPN-benchmark.md,local closure benchmark requiring universal matter coframe coupling,True
19-constrained-parent-action-skeleton.md,parent action skeleton with one coframe/metric carrier and universal matter coupling,True
204-matter-metric-action-and-ruler-transport-owner-contract.md,matter-frame action and Noether identity route,True
source-intake/mts_residuals/P8_Y5_SOURCE_NORMALIZATION_OWNER_THEOREM.csv,518 Y5 owner theorem rows,True
source-intake/mts_residuals/P8_Y5_SOURCE_NORMALIZATION_BOUND_RUNNER_INPUT.csv,518 Y5 bound runner inputs,True
source-intake/mts_residuals/P8_source_normalized_Newton_branch_STACK.csv,"source-normalized Newton stack, especially SN0 same observed frame",True
source-intake/mts_residuals/P8_WORLDTUBE_MEFF_RESIDUAL_RUNNER.csv,worldtube residual row MR510_5 frame split,True
scripts/fill_Y5_bound_runner_or_source_owner_clause.py,this checkpoint generator,True
