timestamp_utc,branch_id,checkpoint_id,valid_for_claim,claim_allowed,row_id,object,established_result,status,implication
2026-06-22T03:23:06.302717+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_0_q_channel,q covariance channel,q=ln[(1-C_tt)(1+C_rr)] and weak q=C_rr-C_tt+O(C^2),EXACT_CHANNEL_TARGET,"the local-GR branch must derive the temporal/radial channel relation, not assume AB=1"
2026-06-22T03:23:06.302723+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_1_q_zero_surface,determinant/reciprocity surface,"q=0 iff (1-C_tt)(1+C_rr)=1, equivalently C_rr=C_tt/(1-C_tt)",EXACT_CONDITIONAL_RELATION,this is the reduced-GR target surface
2026-06-22T03:23:06.302727+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_2_pullback_tangent,Phi/q covariance tangent,"A=exp(2Phi+q/2), B=exp(-2Phi+q/2), partial_q C_tt=-A/2, partial_q C_rr=B/2",EXACT_TANGENT,M_q^2 and j_q have a definite tangent direction if the parent action can be pulled back
2026-06-22T03:23:06.302730+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_3_algebraic_lift,covariance-level lift,deltaU=(1/2) deltaC C^{-1} U is a right inverse for invertible active covariance block,CONDITIONAL_LINEAR_ALGEBRA_GAIN,"q direction can be represented at covariance level, but not yet as parent psi field"
2026-06-22T03:23:06.302734+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_4_curl_obstruction,field-level psi-gradient lift,Omega_A=d(delta u_A) is generically nonzero for algebraic delta u_A=M u_A over finite cells,ACTIVE_FIELD_LIFT_BLOCKER,pointwise/covariance lift cannot be promoted to local-GR proof
2026-06-22T03:23:06.302738+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_5_curl_zero_candidates,curl-zero mechanisms,"constant/affine cells, carrier-aligned scalings, Lie-drag lifts, and Hodge exact projection are exact under their own clauses",CANDIDATES_NOT_PARENT_SIGNED,the next proof needs parent carrier inventory or Hodge residual bound
2026-06-22T03:23:06.302741+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_6_carrier_inventory,temporal/radial carrier weights,"deltaW_T=deltaC_tt/(s_T Omega_T^2), deltaW_R=deltaC_rr/(s_R K_R^2) can represent q tangent without curling fixed exact phases",MOST_CONSTRUCTIVE_DERIVATION_LEVER,requires parent multimode/phase/weight permission and smoothing theorem
2026-06-22T03:23:06.302745+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_7_finite_qR,finite q residual,"L_q=-1/2 M_q^2 q^2+J_q q, J_q=j_q L+O(L^2), q_R=j_q/M_q^2",TESTABLE_SHAPE_NOT_PREDICTION,"finite branch needs M_q^2, Z_q, j_q, boundary, projection, and source normalization"
2026-06-22T03:23:06.302749+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_8_source_vector,q Euler/source vector,"source-looking terms must be classified as forbidden, operator-owned, boundary-owned, first-class removed, or finite residual",NORMAL_FORM_READY_NONCLAIM,no hidden cancellation policy; every surviving channel must get a coefficient or theorem-zero
2026-06-22T03:23:06.302752+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_9_weyl,Weyl source branch,"linear one-Weyl scalar source vanishes under typed no-spurion grammar, but quadratic Weyl/tower survives",CONDITIONAL_LEMMA_PLUS_LIVE_RESIDUAL,parent object-language/no-tower theorem still needed
2026-06-22T03:23:06.302756+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_10_jq,matter/source numerator,j_q=0 follows conditionally if matter/source/current coefficients descend through the same parent observed coframe,EXACT_CONDITIONAL_THEOREM_NOT_SIGNED,coefficient functor/no-hidden-visible Hom is the source-side bottleneck
2026-06-22T03:23:06.302760+00:00,MTS_R2FR_PSI_DETERMINANT_QUOTIENT_MAP_OR_FINITE_QR_COEFFICIENTS_2421,2421,False,False,FS2421_11_frontier,current frontier,the quotient proof is not closed; the true frontier is parent multimode permission plus coefficient-functor/source silence,FRONTIER_SYNTHESIZED_NONCLAIM,do not loop back to generic psi quotient; attack the two live parent-structure gates
