timestamp_utc,branch_id,checkpoint_id,sector_id,sector,residual_symbol,current_status,zero_condition,fallback,source_path,parent_signed,theorem_zero_live,score_ready,claim_allowed,valid_for_claim
2026-06-29T13:56:04.709002+00:00,MTS_R2FR_Y5_SPIN_TORSION_HYPERMOMENTUM_3565,3565,SECT3565_0_total,total ordinary/source/readout branch,E_spin_abs,NOT_PARENT_SIGNED_RETAIN_P4,"all component Gamma derivatives zeroed individually, or every live component bounded",Delta_abs,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2375_GAMMA_SLOT_SECTOR_AUDIT.csv,False,False,False,False,False
2026-06-29T13:56:04.709013+00:00,MTS_R2FR_Y5_SPIN_TORSION_HYPERMOMENTUM_3565,3565,SECT3565_1_matter,ordinary matter,Delta_matter,CONDITIONAL_NO_GAMMA_SUPPORTED,"S_matter[Psi,e_obs,omega_LC[e_obs],A,theta] with no Gamma_ind",zero_if_parent_signature_signed_else_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3493_NO_GAMMA_THEOREM_LEDGER.csv,False,False,False,False,False
2026-06-29T13:56:04.709019+00:00,MTS_R2FR_Y5_SPIN_TORSION_HYPERMOMENTUM_3565,3565,SECT3565_2_spin_transport,spinors and spin transport,Delta_spin,CONDITIONAL_OWNED_COFRAME_SUPPORTED,omega_obs=omega_LC[e_obs] and no torsionful omega_ind,zero_if_owned_coframe_else_P4S2348,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2348_SPIN_CONNECTION_COFRAME_OWNED_AUDIT.csv,False,False,False,False,False
2026-06-29T13:56:04.709023+00:00,MTS_R2FR_Y5_SPIN_TORSION_HYPERMOMENTUM_3565,3565,SECT3565_3_source_worldtube,source mass/worldtube/support,Delta_source,CANDIDATE_PARTIAL_ZERO_BUT_SUPPORT_GUARDS_LIVE,q/e_obs/tau source and projector naturality plus regular support/reference lock,epsilon_hypermomentum_source_kernel,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3496_HYPERMOMENTUM_ZERO_DERIVATION.csv,False,False,False,False,False
2026-06-29T13:56:04.709026+00:00,MTS_R2FR_Y5_SPIN_TORSION_HYPERMOMENTUM_3565,3565,SECT3565_4_EM_light,EM/light/lightcone,Delta_light,PARTIAL_PUBLIC_HODGE_CONDITIONAL,"public-Hodge EM/light branch and downstream optical readout, no affine Gamma probe",bound_if_ray_detector_readout_uses_Gamma,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3496_HYPERMOMENTUM_ZERO_DERIVATION.csv,False,False,False,False,False
2026-06-29T13:56:04.709029+00:00,MTS_R2FR_Y5_SPIN_TORSION_HYPERMOMENTUM_3565,3565,SECT3565_5_clock,clock/frequency standards,Delta_clock,UNSIGNED_READOUT_SLOT,clocks downstream of matter/gauge/e_obs and no Gamma-source current,P4_clock_component_required,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2375_GAMMA_SLOT_SECTOR_AUDIT.csv,False,False,False,False,False
2026-06-29T13:56:04.709032+00:00,MTS_R2FR_Y5_SPIN_TORSION_HYPERMOMENTUM_3565,3565,SECT3565_6_orbit,orbit/Kepler/GM readout,Delta_orbit,UNSIGNED_READOUT_SLOT,"metric geodesic/GM transfer branch, no independent autoparallel Gamma_ind law",P4_orbit_component_required,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2375_GAMMA_SLOT_SECTOR_AUDIT.csv,False,False,False,False,False
2026-06-29T13:56:04.709035+00:00,MTS_R2FR_Y5_SPIN_TORSION_HYPERMOMENTUM_3565,3565,SECT3565_7_boundary,boundary/domain/improvement,Delta_boundary,PARALLEL_GATE_OPEN,exact/projected-silent boundary or sourced finite flux envelope,P4_boundary_component_required,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3564_OFFICIAL_NONHILBERT_FALLBACK_ROWS.csv,False,False,False,False,False
2026-06-29T13:56:04.709038+00:00,MTS_R2FR_Y5_SPIN_TORSION_HYPERMOMENTUM_3565,3565,SECT3565_8_projective,projective trace,Delta_projective,PRIVATE_OR_PALATINI_CONDITIONAL_ONLY,projective trace gauge/fixed/unobservable in every observed sector,P4_projective_component_required,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2349_PROJECTIVE_TRACE_SILENCE_AUDIT.csv,False,False,False,False,False
2026-06-29T13:56:04.709041+00:00,MTS_R2FR_Y5_SPIN_TORSION_HYPERMOMENTUM_3565,3565,SECT3565_9_projector,projector/support map,Delta_projector_comm,CANDIDATE_Q_NATURAL_ZERO_NONPUBLIC,Pi descends through q/e_obs/tau/topology and not Gamma_ind,zero_candidate_else_KHS3496_6,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3498_PROJECTOR_NATURALITY_THEOREM.csv,False,False,False,False,False
