epsilon_id,symbol,definition,bound_interface,units,current_value,lower_bound,upper_bound,source_anchor,why_nonclaim,finite_value_present,prediction_source_backed,source_ready_template,no_cancellation_policy,checkpoint,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
ETH2989_00_definition,epsilon_theta_piece_missing,absolute envelope for missing parent symplectic-potential contribution,"epsilon_theta_piece_missing <= sum_abs(ETH2989_01..08); no cancellation, no readout erasure",dimensionless_after_M_ref,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,VQL2902_1_theta_piece,Theta_parent sector split not signed,False,False,True,True,2989,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T08:42:34.707779+00:00
ETH2989_01_EH_guard,epsilon_EH_reference_guard,guard against using EH theta as total MTS theta,1 until all non-EH theta/source/boundary pieces are signed silent/exact/bounded,boolean_or_dimensionless_guard,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,VSL2903_0_EH_reference,EH is a reference template only,False,False,True,True,2989,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T08:42:34.707779+00:00
ETH2989_02_boundary,epsilon_Bv_ambiguity,unfixed boundary/reference/improvement theta leakage,abs(int_S delta B_v_unfixed)/M_ref,dimensionless_boundary_improvement,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,VSP2903_1_Bv,fixed-before-readout B_v convention missing,False,False,True,True,2989,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T08:42:34.707779+00:00
ETH2989_03_extra,epsilon_Qv_extra_piece,extra motion/time/domain/memory theta/current leakage,abs(int_S(Q_v_extra+C_v_extra-i_v Theta_extra))/M_ref,dimensionless_extra_sector_charge,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,VSP2903_2_extra,extra sector variation and zero odd source not derived,False,False,True,True,2989,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T08:42:34.707779+00:00
ETH2989_04_projector,epsilon_Qv_projector_piece,projector/source-measure theta/current leakage,abs(int_S(Q_v_projector+C_v_projector-i_v Theta_projector))/M_ref,dimensionless_projector_source_charge,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,VSP2903_3_projector,delta Pi_M/source-measure owner missing,False,False,True,True,2989,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T08:42:34.707779+00:00
ETH2989_05_matter_source,epsilon_Qv_matter_source_piece,matter/source/worldtube theta/current leakage,abs(int_S(Q_v_matter+C_v_matter-i_v Theta_matter_source))/M_ref,dimensionless_matter_source_charge,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,VSP2903_4_matter_source,matter descent and hidden-source silence not parent-signed,False,False,True,True,2989,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T08:42:34.707779+00:00
ETH2989_06_constraint,epsilon_Cv_constraint_missing,nonconstraint or unbounded C_v leakage in the theta/Hamiltonian surface row,abs(int_S C_v_nonconstraint_or_unbounded)/M_ref,dimensionless_constraint_leakage,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,VSP2903_5_constraint,common constraint split missing,False,False,True,True,2989,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T08:42:34.707779+00:00
ETH2989_07_Mref,epsilon_Mref_normalization,positive same-frame denominator and linked surface class missing,uncertainty in M_ref propagates into every theta-piece residual,dimensionless_normalization_guard,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,VQC2902_6_denominator,M_ref positive same-frame denominator absent,False,False,True,True,2989,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T08:42:34.707779+00:00
ETH2989_08_units_orientation,epsilon_theta_units_orientation,"orientation, density weight and units convention for theta surface integral","norm mismatch between theta density, surface form and M_ref",dimensionless_convention_guard,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,PKG2988_1_Theta,density/orientation convention not fixed across sectors,False,False,True,True,2989,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T08:42:34.707779+00:00
ETH2989_09_total,epsilon_theta_piece_total_abs,first source-ready total for missing Theta_parent sector pieces,sum_abs(ETH2989_01..08),dimensionless_after_M_ref,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,ETH2989_00_definition,no component has numeric/theorem-zero source status,False,False,True,True,2989,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T08:42:34.707779+00:00
