timestamp_utc,branch_id,checkpoint_id,valid_for_claim,attempt_id,required_clause,evidence,passes_clause,consequence,claim_allowed
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZA3774_0_master_identity,mu_extra component identity exists,MSB3774_2 emitted,True,all exterior-monopole leakage is now forced into Q_i rows,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZA3774_1_boundary_reference,fixed Hamiltonian reference and integrability,3773/HZA3773_2 remains unsigned,False,Q_boundary_ref stays live,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZA3774_2_projector_domain,Pi_M commutes with exterior divergence and no domain-wall flux,3773/MEC3773_1 and HC6/SN4 remain unsigned,False,Q_projector_domain stays live,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZA3774_3_nonEH_operator,EH/Poisson is the whole exterior l=0 operator,local EH selected but not parent-derived,False,Q_nonEH stays live,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZA3774_4_memory_bulk,memory/topological channel has no exterior harmonic monopole,no parent cohomology/support certificate supplied,False,Q_memory_bulk stays live,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZA3774_5_range,no finite-range source charge or unscreened mediator,R10/range rows still require alpha(lambda) source charges,False,Q_range stays live,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZA3774_6_coupling_kappa,kappa/G_eff is q_obs-owned or superselected in the exterior,3768 kappa zero route remains unsigned,False,Q_delta_kappa stays live,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZA3774_7_readout_frame,orbital readout uses the same q_obs potential as the surface flux,3769/3772 frame-orbit rows remain unsigned,False,Q_readout_frame stays live,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZA3774_8_EM_Poynting,EM/Poynting stress is inside the same Hilbert source or has zero exterior l=0 stress,3760 gives the conditional route but not parent-signed descent,False,Q_EM_Poynting stays live,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZA3774_9_source_theta,source action and constants/material markers descend or are superselected,3770/3771 zero routes remain unsigned,False,Q_source_theta stays live,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZA3774_10_verdict,current branch proves mu_extra=0,"component theorem exists, but no channel has parent-signed zero/support/no-harmonic certificates",False,Newton measured-GM remains nonclaim,False
