source_id,relative_path,needle,role,exists,needle_found,generated_utc
SRC1190_0_1189_next,source-intake/mts_residuals/P8_Y5_R10_1189_NEXT_TARGET.csv,NEXT1189_0_1190,direct 1190 handoff.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_1_1189_certificate,source-intake/mts_residuals/P8_Y5_R10_1189_THEOREM_ZERO_CERTIFICATE_TEMPLATE.csv,P_loc_parent_domain,theorem-zero certificate clause that 1190 tries to close.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_2_794_flat_solver,794-Y5-R10-tracefree-longitudinal-Khat-solver-or-PPN-bound.md,TLS794_2_flat_cancellation,flat tracefree Khat solver cancellation.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_3_794_curved_open,794-Y5-R10-tracefree-longitudinal-Khat-solver-or-PPN-bound.md,TLS794_3_curved_correction,curved correction is open.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_4_793_route,source-intake/mts_residuals/P8_Y5_R10_793_GAMMA_KHAT_BALANCE_SOURCE_ROUTES.csv,GBS793_1_tracefree_longitudinal_solver,tracefree longitudinal Khat route selected.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_5_795_origin,795-Y5-R10-parent-origin-of-tracefree-Khat-solver-or-amplitude-bound.md,POA795_4_verdict,parent origin for tracefree Khat solver not adopted.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_6_795_amplitude,795-Y5-R10-parent-origin-of-tracefree-Khat-solver-or-amplitude-bound.md,KAB795_4_acceptance,K_L amplitude/PPN gate still required.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_7_834_active_gamma,source-intake/mts_residuals/P8_Y5_R10_834_GAMMA_MODE_SPLIT_THEOREM.csv,GS834_1_refined_amplitude,active Gamma/Khat carrier amplitude law.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_8_1010_projector,1010-Y5-R10-Gamma-Khat-action-existence-Helmholtz-or-q_loc-residual-retention.md,GKT1010_5_projector_boundary,P_loc and boundary/symplectic no-flux remain open.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_9_874_verticality,source-intake/mts_residuals/P8_Y5_R10_874_PARENT_QLOC_VERTICALITY_SIGNATURE.csv,QVS874_5_signature_verdict,q_loc parent verticality signature is not signed.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_10_1014_commutator,1014-Y5-R10-PiM-commutator-projector-variation-zero-or-coefficient-bound.md,PCT1014_2_commutator_zero,projector commutator zero is not derived.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_11_1019_orthogonality,1019-Y5-R10-boundary-exactness-projector-orthogonality-or-source-pack.md,PO1019_5_verdict,projector orthogonality route remains conditional.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_12_1175_projector_shape,1175-Y5-R10-Qcoh-projector-owner-or-projector-leak-bound-row.md,QPO1175_4_verdict,SO3/trace projector shape exists but no parent ownership.,True,True,2026-06-15T02:56:51.660748+00:00
SRC1190_13_1189_pack,source-intake/mts_residuals/P8_Y5_R10_1189_QLOC_COMPONENT_RESIDUAL_INPUT_PACK.csv,QPACK1189_4_theorem_zero_override,1189 component residual pack remains fallback.,True,True,2026-06-15T02:56:51.660748+00:00
