same_parent_branch_id,source_id,source_path,exists,needle_found,needles,purpose,parent_signed,numeric_value_present,source_backed,score_ready,valid_prediction_row,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_0_1587_doc,1587-Y5-R11-beta-vector-first-component-fill-R2FR-RicciWeyl-or-nohair.md,True,True,NEXT_1588_R2FR_SCALARON_COEFFICIENT_MAP_OR_FULL_CURVE_BOUND_INTAKE; FC1587_0_R2FR,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_1_1587_validation,source-intake/mts_residuals/P8_Y5_BRR545_1587_VALIDATION.csv,True,True,VAL1587_OVERALL; PASS,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_2_1587_fill,source-intake/mts_residuals/P8_Y5_PARENT_QLOC_1587_FIRST_COMPONENT_FILL_ROWS.csv,True,True,FC1587_0_R2FR; MISSING_PARENT_COEFFICIENT_AND_FULL_CURVE,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_3_962_scalar_fallback,source-intake/mts_residuals/P8_Y5_R10_962_SCALAR_BOUND_FALLBACK_ROWS.csv,True,True,R2B962_1_fR_unscreened_map; 1/3_if_simple_unscreened_metric_fR,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_4_963_runner_spec,source-intake/mts_residuals/P8_Y5_R10_963_R2FR_BOUND_RUNNER_SPEC.csv,True,True,R2RUN963_0_model_input; MISSING_PARENT_INPUT,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_5_963_coefficient_owner,source-intake/mts_residuals/P8_Y5_R10_963_R2FR_COEFFICIENT_OWNER_AUDIT.csv,True,True,CO963_4_verdict; NO_EXECUTABLE_OWNER_FOUND,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_6_965_curve_manifest,source-intake/mts_residuals/P8_Y5_R10_965_R2FR_FULL_CURVE_INTAKE_MANIFEST.csv,True,True,R2FC965_0_Lee2020_full_curve_required; R2FC965_3_MTS_R2FR_prediction_required,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_7_review_candidate,source-intake/local_bounds/R10_alpha_lambda_bound_curve_1034_REVIEW_CANDIDATE_NONCLAIM.csv,True,True,R10_VECTOR_2020_REVIEW_0000; review_candidate_only_requires_official_supplement_or_human_visual_QA,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_8_review_qa,source-intake/local_bounds/P8_Y5_R10_570_REVIEW_CANDIDATE_QA.csv,True,True,QA570_2_promotion_gate; blocked=2,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_9_review_summary,source-intake/local_bounds/P8_Y5_R10_570_REVIEW_CURVE_SUMMARY.csv,True,True,CS570_0_rows; 390,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_10_live_digitized,source-intake/local_bounds/R10_alpha_lambda_bound_curve_DIGITIZED.csv,True,True,MISSING_DIGITIZED_ALPHA_BOUND; R10_BOUND_PLACEHOLDER_0,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_11_anchor_smoke,source-intake/local_bounds/R10_alpha_lambda_bound_curve_ANCHOR_SMOKE.csv,True,True,R10_ANCHOR_EOTWASH_2020_ALPHA1_38P6UM; R10_ANCHOR_EOTWASH_2007_ALPHA1_56UM,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1588_12_local_bounds,source-intake/local_bounds/local_bound_claims.csv,True,True,Will_2014_PPN_beta_table; beta_minus_1; 7.8e-05,R2/fR scalaron coefficient map or full curve bound intake,False,False,False,False,False,False,False
