checkpoint,source_id,source_kind,source_ref,local_path_exists,needle,needle_found,line_number,role,valid_for_claim
4481,SRC4481_00_next4480,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4480_NEXT_TARGET.csv,True,4481-Y5-R2FR-STF-carrier-inventory-source-sweep-or-l2-bound-input-pack.md,True,2,4480 selected STF carrier inventory and l2 bound input pack.,False
4481,SRC4481_01_formal496_poynting,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\496-PPC4161-orientation-carrier-zero-proof-or-quadrupole-residual-scorer.md,True,Poynting-vector instinct,True,28,4480 made Poynting/wave route an explicit live carrier fork.,False
4481,SRC4481_02_gates4480,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4480_CLAIM_GATES.csv,True,CG4480_2_orientation_zero_parent_signed,True,4,4480 gate blocking orientation-zero promotion.,False
4481,SRC4481_03_2275_doc,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2275-Y5-R2FR-minimal-carrier-inventory-or-scale-separated-qR-bound.md,True,Minimal Carrier Inventory,True,1,prior carrier/phase ensemble inventory.,False
4481,SRC4481_04_2275_inventory,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2275_MINIMAL_CARRIER_INVENTORY.csv,True,MCI2275_0_covariance_ensemble,True,2,machine carrier inventory row.,False
4481,SRC4481_05_1950_STF,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1950-Y5-R2FR-dimensionless-STF-slip-source-or-zero-theorem.md,True,STF1950_2_hessian_STF_channel,True,30,dimensionless STF danger channel.,False
4481,SRC4481_06_1950_gamma_policy,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1950_DIMENSIONLESS_STF_SOURCE_LEDGER.csv,True,gamma_bound_policy,True,2,private STF/gamma screening scale source.,False
4481,SRC4481_07_1951_functional,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1951-Y5-R2FR-STF-response-functional-or-common-mode-router.md,True,FUNC1951_2_dimensionless_STF_response,True,22,STF response functional and readout norm gap.,False
4481,SRC4481_08_1954_baseline,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1954-Y5-R2FR-l2-source-boundary-zero-or-envelope.md,True,L2R1954_0_baseline_subtraction,True,20,GR baseline subtraction for fair l2 comparison.,False
4481,SRC4481_09_1955_same_source,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1955-Y5-R2FR-local-EH-same-source-map-or-residual-l2-bound.md,True,EH1955_0_target,True,20,EH same-source theorem contract for residual l2.,False
4481,SRC4481_10_1955_bound_ledger,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1955_RESIDUAL_L2_BOUND_LEDGER.csv,True,RB1955_0_residual_bound_formula,True,2,residual l2 bound factor ledger.,False
4481,SRC4481_11_3169_doc,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3169-Y5-R2FR-STF-Shapiro-source-bound-or-solar-domain-K2-transfer-under-AX1090.md,True,J2_eff := K_2 C_K2_unit,True,51,conditional J2/Shapiro empirical hook.,False
4481,SRC4481_12_3169_bounds,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3169_EQUIVALENT_J2_K2_BOUNDS.csv,True,JB3169_0_ZK_adopted_solar_J2_scale,True,2,machine J2-equivalent bound rows.,False
4481,SRC4481_13_3169_transfer,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3169_SOLAR_J2_EQUIVALENT_TRANSFER.csv,True,TR3169_2_transfer_blocker,True,4,source-domain transfer blocker.,False
4481,SRC4481_14_3182_slip,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3182-Y5-R2FR-metric-readout-of-tracefree-Hessian-carrier-or-tidal-response-coefficient-under-AX1090.md,True,Psi - Phi = 2 Sigma_H phi_ext,True,78,tracefree Hessian carrier enters metric readout if source amplitude survives.,False
4481,SRC4481_15_core_action,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\core-mts-framework\action-principle\the-fundamental-action-of-motion-timespace-field-theory.md,True,scalar motion field,True,11,core scalar psi action source.,False
4481,SRC4481_16_gate,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\stf_carrier_inventory_l2_bound_gate.py,True,def scan_patterns,True,58,4481 sweep/input-pack helper.,False
4481,SRC4481_17_generator,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4481_STF_carrier_inventory_source_sweep_or_l2_bound_input_pack.py,True,"CHECKPOINT = ""4481""",True,32,4481 generator script.,False
