diagnostic,value,interpretation,valid_for_claim,generated_utc
nu_fit,1.7500073382761008,numeric diagnostic,false,2026-06-12T17:38:52+00:00
nu_rational_7_4,1.75,numeric diagnostic,false,2026-06-12T17:38:52+00:00
nu_abs_diff_from_7_4,7.3382761007767527e-06,"nu_fit is extremely close to 7/4; this is a derivation target, not proof",false,2026-06-12T17:38:52+00:00
nu_rel_diff_from_7_4,4.193300629015287e-06,numeric diagnostic,false,2026-06-12T17:38:52+00:00
alpha_fit,1.0543379145228584,numeric diagnostic,false,2026-06-12T17:38:52+00:00
F_eq_fit,0.5981031223224107,numeric diagnostic,false,2026-06-12T17:38:52+00:00
F_eq_diff_from_3_5,-0.0018968776775892815,F at equality is close to 3/5; rational clue only,false,2026-06-12T17:38:52+00:00
alpha_from_Feq_3_5_nu_7_4,1.051223983540585,numeric diagnostic,false,2026-06-12T17:38:52+00:00
alpha_diff_from_3_5_7_4_candidate,0.0031139309822734162,alpha candidate from nu=7/4 and F_eq=3/5 is close but not exact,false,2026-06-12T17:38:52+00:00
F_eq_nu_7_4_alpha_fit,0.59810326457370211,numeric diagnostic,false,2026-06-12T17:38:52+00:00
F_eq_alpha_1,0.63212055882855767,"alpha=1 would give 1-exp(-1), not the fitted equality activation",false,2026-06-12T17:38:52+00:00
