row_id,source_key,source_path,exists,needle,needle_found,source_role,valid_for_claim
SRC2772_00_2771_next,2771_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2771_NEXT_TARGET.csv,True,NEXT2771_0_2772,True,current handoff into no-source-only-slot target,False
SRC2772_01_2771_proof,2771_proof,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2771_LABEL_FORGETTING_PROOF_ATTEMPT.csv,True,PLF2771_5_verdict,True,current label-forgetting proof verdict,False
SRC2772_02_2771_slot,2771_slot,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2771_NO_SOURCE_ONLY_SLOT_AUDIT.csv,True,NSS2771_2_relative_weight,True,current surviving relative source-weight countermodel,False
SRC2772_03_2771_requirements,2771_requirements,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2771_NUMERIC_SOURCE_REQUIREMENTS.csv,True,REQ2771_0_WEP_species,True,current WEP numeric/source requirement,False
SRC2772_04_2771_guard,2771_guard,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2771_COMMON_MODE_GUARD.csv,True,CMG2771_0_common_absorption,True,current measured-G common-mode guard,False
SRC2772_05_2771_template,2771_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2771_RELATIVE_WEIGHT_PRODUCT_TEMPLATE_NONCLAIM.csv,True,PRED2771_0_WEP_relative_source_weight,True,current WEP relative-weight product placeholder,False
SRC2772_06_2771_bound,2771_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2771_RELATIVE_WEIGHT_BOUND_IMPORT.csv,True,BOUND2771_0_WEP_source_charge,True,current WEP bound import,False
SRC2772_07_1065_doc,1065_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1065-Y5-R10-no-source-only-slot-parent-grammar-or-first-relative-weight-numeric-row.md,True,PGG1065_5_verdict,True,prior R10 grammar template,False
SRC2772_08_1065_grammar,1065_grammar,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1065_PARENT_GRAMMAR_AUDIT.csv,True,PGG1065_5_verdict,True,prior parent grammar audit,False
SRC2772_09_1065_allowed,1065_allowed,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1065_ALLOWED_ACTION_GRAMMAR.csv,True,AAG1065_4_source_only_species_scalar,True,prior allowed/prohibited action grammar,False
SRC2772_10_1065_field,1065_field,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1065_FIELD_NORMALIZATION_LOOPHOLE_AUDIT.csv,True,FNL1065_4_verdict,True,prior field normalization loophole audit,False
SRC2772_11_1065_charge,1065_charge,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1065_CHARGE_INTERACTION_NORMALIZATION_AUDIT.csv,True,CIN1065_4_verdict,True,prior charge/current normalization audit,False
SRC2772_12_1065_zero,1065_zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1065_WA_THEOREM_ZERO_CLAUSES.csv,True,WTZ1065_4_verdict,True,prior w_A theorem-zero clauses,False
