checkpoint,source_id,source_path,needle,purpose,exists,needle_found,line_number,line_excerpt,valid_for_claim,timestamp_utc
3956,SRC3956_00_3955_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3955_NEXT_TARGET.csv,NEXT3955_0,3955 handoff,True,True,2,"NEXT3955_0,3956-Y5-R2FR-Z-verticality-map-computation-or-CA-bound-values.md,scripts/Y5_R2FR_3956_Z_verticality_map_computation_or_CA_bound_values.py,""compute or construct the actual Z^A verticality map: declare q, declare the Z basis, evaluate Dq[Z_A], and either prove Z_A in ker(Dq) or fill E_DqZ/C_A bound components"",""at least one actual Z direction is theorem-vertical and source-silent, or every nonvertical direction gets explicit C_A/source-current residual rows with units and observable links"",False,2026-07-01T14:28:42+00:00",False,2026-07-01T14:33:14+00:00
3956,SRC3956_01_3955_vertical,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3955_CA_ZERO_THEOREM_OR_BOUND.csv,CA3955_1_vertical_zero_theorem,C_A zero theorem,True,True,3,"CA3955_1_vertical_zero_theorem,quotient-vertical C_A zero,Z_A in ker(Dq) and g_obs=q^*gbar => C_A=Dgbar[Dq(Z_A)]=0,""If the MTS residual direction is genuinely quotient-vertical for the observable metric/readout functor, matter sees no linear metric source current from that direction."",""actual q map, actual Z_A basis, Dq[Z_A]=0, and q-basic g_obs"",EXACT_CONDITIONAL_THEOREM_NOT_CURRENTLY_SIGNED,C_A zero; J_A^obs zero,False,False,2026-07-01T14:28:42+00:00",False,2026-07-01T14:33:14+00:00
3956,SRC3956_02_3955_current,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3955_CA_ZERO_THEOREM_OR_BOUND.csv,CA3955_3_current_Z_status,current branch verticality block,True,True,5,"CA3955_3_current_Z_status,current MTS Z verticality status,claim(C_A=0) requires QVM1620 Z-map closure and DQ2570 vertical basis,Current formal Z^A variables have not been mapped into an actual kernel of Dq; public/coframe/readout/projector directions cannot be called vertical by declaration.,Z^A basis is computed and every retained direction either lies in ker(Dq) or is constraint-removed before matter coupling,CURRENT_BRANCH_BLOCKED_VERTICALITY_NOT_PROVED,claim gate; next target 3956,False,False,2026-07-01T14:28:42+00:00",False,2026-07-01T14:33:14+00:00
3956,SRC3956_03_3955_DqZ,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3955_OBSERVABLE_METRIC_COEFFICIENT_LEDGER.csv,CAL3955_0_DqZ,DqZ missing component,True,True,2,"CAL3955_0_DqZ,E_DqZ,||Dq(Z_A)||,quotient verticality failure,0 if Z_A in ker(Dq),MISSING_ACTUAL_Q_AND_Z_BASIS,metric_linear_coefficient_or_dimensionless_norm,False,False,False,2026-07-01T14:28:42+00:00",False,2026-07-01T14:33:14+00:00
3956,SRC3956_04_GO516,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_GAMMA_OWNER_CANDIDATE_ACTION.csv,GO516_A_response_doublet_quadratic_density,response-doublet candidate,True,True,2,"GO516_A_response_doublet_quadratic_density,""Gamma_eff = Gamma0 + 1/2 M_AB(g,R_even,D,...) Z^A Z^B + O(Z^4)"",""exchange doublets R_+^A,R_-^A; Z^A=(R_+^A-R_-^A)/2; R_even^A=(R_+^A+R_-^A)/2"",K_hat^{mu nu} := 2/sqrt(-g) delta[sqrt(-g) Gamma_eff]/delta g_{mu nu} minus volume convention,""Gamma_eff is even in exchange-odd residuals, so T_GK and first variation vanish at Z=0 after Gamma0 subtraction"",best_candidate_not_current_MTS_derived",False,2026-07-01T14:33:14+00:00
3956,SRC3956_05_3953_density,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3953_MINIMAL_GAMMA_VARIATION.csv,MGV3953_0_density_ansatz,minimal Gamma density,True,True,2,"MGV3953_0_density_ansatz,minimal covariant Gamma_eff density,Gamma_quad = Gamma0 + 1/2 G_AB g^{alpha beta} nabla_alpha Z^A nabla_beta Z^B + 1/2 M_AB Z^A Z^B,""Assume Z^A are scalar residual fields and G_AB,M_AB are local coefficient matrices; metric-dependence of G/M is separated into K_coeff."",minimal parent density candidate constructed,gives double-zero residual energy if Z=0 and nabla Z=0 after Gamma0/reference subtraction,False,False,2026-07-01T14:15:29+00:00",False,2026-07-01T14:33:14+00:00
3956,SRC3956_06_3953_double_zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3953_MINIMAL_GAMMA_VARIATION.csv,MGV3953_3_double_zero,double-zero law,True,True,5,"MGV3953_3_double_zero,double-zero law,""Gamma_quad-Gamma0=O(Z^2,nabla Z^2), delta_Z Gamma_quad|_{Z=0,nabla Z=0}=0, K_metric-Gamma0 g=O(Z^2,nabla Z^2,K_coeff)"",no linear term in Z and no linear derivative term in the quadratic density,F_1=0 for the constructed branch,first-order fifth-force/source-normalization leakage is absent if matter does not couple directly to Z and Gamma0 is reference-subtracted,False,False,2026-07-01T14:15:29+00:00",False,2026-07-01T14:33:14+00:00
3956,SRC3956_07_3888_zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3888_QUOTIENT_NO_LINEAR_SOURCE_DERIVATION.csv,NLS3888_3_observed_zero,observed source-current zero condition,True,True,5,"NLS3888_3_observed_zero,observed ordinary matter gives no linear source along true vertical directions,""If y in ker(Dq), e_obs and theta_obs are q-basic, and direct_hidden_terms=0, then J_A^obs := delta S_matter/delta y^A|_0 = 0"",DERIVED_CONDITIONAL_JOBS_ZERO,""this only zeros J_A^obs, not boundary/worldtube/direct-hidden/projector channels"",False,2026-07-01T08:11:59+00:00",False,2026-07-01T14:33:14+00:00
3956,SRC3956_08_3271_vertical,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3271_QUOTIENT_FIBER_DESCENT_THEOREM.csv,QFT3271_1_vertical_derivative_zero,vertical derivative zero theorem,True,True,3,"QFT3271_1_vertical_derivative_zero,local vertical silence,""If c descends and v in ker(Dq), then L_v c=dc(v)=0."",""c=q*cbar, so dc(v)=dcbar(Dq v)=0."",EXACT_CONDITIONAL_THEOREM,""This is the clean route to b_alpha=b_hatm=Delta_w=b_clock=0, but only after the relevant coefficient descends."",false",False,2026-07-01T14:33:14+00:00
3956,SRC3956_09_QVM1620,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1620_QUOTIENT_VERTICALITY_MAP_AUDIT.csv,QVM1620_5_verdict,current verticality not closed,True,True,7,"MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,QVM1620_5_verdict,prove Z^A in ker(Dq) or constraint-remove it,not currently proved,VERTICALITY_MAP_NOT_CLOSED,select constraint-first Z-map/no-pole origin next,P8_Y5_PARENT_QLOC_1576_RAB_QUOTIENT_MAP_CONSTRUCTION_ATTEMPT.csv; P8_Y5_R10_1505_DQ_VERTICALITY_TESTS.csv,False,False,False,False,False",False,2026-07-01T14:33:14+00:00
3956,SRC3956_10_validation_3955,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_3955_VALIDATION.csv,VAL3955_17_no_pycache,previous validation,True,True,19,"VAL3955_17_no_pycache,True,scripts __pycache__ removed,2026-07-01T14:28:42+00:00",False,2026-07-01T14:33:14+00:00
