gate_id,claim,passed,valid_for_claim,detail
CG4434_0_hbar_contract,hbar/measure owner contract staged,True,False,Exact but parent unsigned.
CG4434_1_phase_seed_only,current phase seed does not close owner,True,False,Single phase line is useful but insufficient.
CG4434_2_hbar_gap,hbar/measure/Jacobian gap remains open,True,False,Blocks action-scale zero claim.
CG4434_3_graph_contract,connected graph certificate staged,True,False,Exact but edges/material/inventory unsigned.
CG4434_4_template_only,physical template is not parent certificate,True,False,Template connectedness is not enough.
CG4434_5_edge_gap,edge rows remain parent-unsigned,True,False,Need parent-owned nonzero morphism certificate.
CG4434_6_k_common_nonclaim,common action-scale row remains nonclaim,True,False,Owner/graph unsigned.
CG4434_7_k_relative_contract,relative action-scale product contract staged,True,False,Missing parent coefficient and source leg.
CG4434_8_k_bound_only,effective action-scale target remains bound-only,True,False,No bound inversion.
CG4434_9_edge_queue,edge certificate queue written,True,False,Next route has concrete graph edges.
CG4434_10_no_claim_outputs,4434 emits no local-GR/WEP/PPN/R10 claim,True,False,All rows remain private nonclaim rows.
