priority,residual,status,evidence,next_action,valid_for_claim,timestamp_utc
1,R_v4_stationary_mass,CLOSED_PARENT,small-p stationary envelope theorem,retain assumptions explicitly,False,2026-07-10T16:10:00+01:00
2,R_q3_mass_dependence,CLOSED_PARENT,zero first variation and boundary term,solve only as independent tail check,False,2026-07-10T16:10:00+01:00
3,R_D4,CLOSED_DERIVED_PARTITION,D4=-Eae4,do not fit independently,False,2026-07-10T16:10:00+01:00
4,R_finite_C_grid,CLOSED_SAMPLED_CORRIDOR,26 controlled response rows,repeat for tabulated EoSs,False,2026-07-10T16:10:00+01:00
5,R_binary_window,BOUNDED_SMOKE_PASS,sampled envelopes inside inherited boxes,retain no-cancellation convention,False,2026-07-10T16:10:00+01:00
6,R_v3_l1_tail,OPEN_HARD_NEXT,not independently extracted,derive finite-C asymptotic response,False,2026-07-10T16:10:00+01:00
7,R_C3,OPEN_DECISIVE_CONFLICT,parent 4.94-5.00 versus Gupta 10.8375,rederive source equations term by term,False,2026-07-10T16:10:00+01:00
8,R_EOS,OPEN_EXTENSION,Tolman VII only,repeat on tabulated nuclear EoSs,False,2026-07-10T16:10:00+01:00
9,R_primitive_ownership,OPEN_HARD,correspondence action not derived from primitive MTS fields,return after local correspondence checks,False,2026-07-10T16:10:00+01:00
10,R_local_GR,OPEN_HARD,compact response alone is insufficient,do not promote,False,2026-07-10T16:10:00+01:00
