certificate_id,certificate,required_test,status,residual_if_missing,parent_signed,theorem_zero_adopted,finite_value_present,prediction_source_backed,accepted_for_scoring,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
CERT2901_0_q_map,parent q map,"write q(Phi), Q_vis, Dq and the local branch with constant-rank domain",MISSING_PARENT_Q_MAP,epsilon_q_owner,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:15:33.865011+00:00
CERT2901_1_vertical_basis,parent vertical basis,list every v_i as a variation of parent fields and prove Dq[v_i]=0,MISSING_PARENT_VERTICAL_BASIS,epsilon_q_rank_or_integrability,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:15:33.865022+00:00
CERT2901_2_rank_bracket,rank/involutive distribution,"rank(Dq) constant and [v_i,v_j]=c_ij^k v_k with source-backed coefficient/norm control",MISSING_RANK_AND_BRACKET_AUDIT,epsilon_q_rank_or_integrability,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:15:33.865030+00:00
CERT2901_3_theta_Qv,Theta_parent and vertical Q_v,derive delta L_parent=E delta Phi+dTheta_parent and J_v=Theta_parent(v)-i_v L=dQ_v+constraints+improvements,MISSING_THETA_PARENT_AND_QV,epsilon_kernel_charge,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:15:33.865036+00:00
CERT2901_4_zero_compact_flux,zero compact local flux,prove int_S(delta Q_v-i_v Theta_parent+boundary/reference improvements)=0 on linked local surfaces,MISSING_ZERO_COMPACT_FLUX_CERTIFICATE,epsilon_kernel_charge,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:15:33.865047+00:00
CERT2901_5_matter_descent,matter-invisible kernel,"S_matter, constants, matter lifts, worldtube support and Hilbert current descend through q/e_obs for every v_i",MISSING_MATTER_DESCENT_SIGNATURE,epsilon_matter_kernel,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:15:33.865061+00:00
CERT2901_6_no_hidden_source_slot,no hidden source slot,"exclude direct V_m[v,rho_A,W_source,C_top], source prefactors, material markers, species weights and support selectors outside q",MISSING_NO_DIRECT_SOURCE_SLOT_PROOF,epsilon_hidden_source_slot,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:15:33.865077+00:00
CERT2901_7_basic_stack,basic observed stack,Lie_v e_obs=Lie_v tau=Lie_v ell_J=0 or a source-backed finite bound exists,MISSING_BASIC_STACK_CERTIFICATE,epsilon_DObs_e;epsilon_tau_selector;epsilon_ellJ_scale,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:15:33.865088+00:00
CERT2901_8_boundary_history,boundary/history/reference silence,Pi_local dB_v=0 and J_history[v]=0 or bounded on compact local domains,MISSING_BOUNDARY_HISTORY_SILENCE,epsilon_boundary_history,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:15:33.865109+00:00
CERT2901_9_Mref,positive same-frame M_ref,derive H_tau-H_ref or Q_M/ell_J in the same q/e_obs/tau branch before normalizing leakage,MISSING_POSITIVE_SAME_FRAME_MREF,all_normalized_rows,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:15:33.865123+00:00
CERT2901_10_no_tautology,non-tautological q promotion,q/observed-stack promotion is forbidden until independent kernel certificates pass,PROJECTION_BY_DECLARATION_BLOCK_ACTIVE,epsilon_projection_declaration,False,False,False,False,False,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-24T22:15:33.865141+00:00
