contract_id,object,required_statement,current_status,source_link,failure_if_missing,next_action,checkpoint,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
FEC3019_0_source_potential,W,W is defined before measured-GM fitting by a same-frame Hilbert/source density: nabla^2 W=4*pi*G_ref*rho_H,DENOMINATOR_CONTRACT_PRESENT_UNSIGNED,2930 DBC2930_0/DBC2930_1,A_source and B_source have no common denominator,derive Hcore/source density and positive M_H_ref in the same frame,3019,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T12:25:01.679228+00:00
FEC3019_1_A_source,A_source,linear coefficient in g00=-1+2 A_source W/c^2+O(W^2),MISSING_PARENT_LINEAR_COEFFICIENT_MAP,2930 SCL2930_0,Newton denominator can be a fitted calibration rather than a derived source map,extract A_source from parent first-order Hamiltonian/field equation,3019,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T12:25:01.679228+00:00
FEC3019_2_B_source,B_source,quadratic coefficient in g00=-1+2 A_source W/c^2-2 B_source W^2/c^4+O(W^3),MISSING_PARENT_SECOND_ORDER_COEFFICIENT_MAP,2930 SCL2930_1,beta cannot be scored,extract B_source from parent second-order field equation,3019,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T12:25:01.679228+00:00
FEC3019_3_self_energy_square,Delta_B_square,parent self-coupling or lapse normal form gives B_source-A_source^2=0,CONDITIONAL_ROUTE_FOUND_UNSIGNED,3019 BSP3019_2/BSP3019_3,delta_beta_source remains active,prove exponential/quadratic lapse normal form from the parent action,3019,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T12:25:01.679228+00:00
FEC3019_4_operator_nohair,Delta_B_operator,"R11, R2/fR, scalar/vector/tensor and auxiliary curvature operators have zero beta projection or finite sourced coefficients",MISSING_R11_COMPONENT_VALUES_OR_EH_NOHAIR,2896 ENV2896_2; 2920 B2K2920_1,operator hair can shift beta even if the source square law holds,derive no-hair or fill finite operator coefficient rows,3019,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T12:25:01.679228+00:00
FEC3019_5_source_current_coupling,Delta_B_source_current,"kappa_MTS, ell_J, source-prefactor and non-Hilbert current do not re-enter at O(U^2)",MISSING_SOURCE_COUPLING_SECOND_ORDER_CLOSURE,2574 BETA2574_2; 2930 DBC2930_6/DBC2930_7,coupling drift can make beta a source-normalization artefact,prove constant local coupling/source-current owner or keep finite residual,3019,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T12:25:01.679228+00:00
FEC3019_6_boundary_domain,Delta_B_boundary_domain,boundary/domain/projector quadratic stress has zero beta projection or finite coefficient map,MISSING_BOUNDARY_DOMAIN_ZERO_OR_COEFFICIENT_MAP,2896 ENV2896_4; 2920 B2K2920_3,boundary terms can shift beta and also endanger alpha3/xi,derive boundary/domain silence at O(U^2),3019,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T12:25:01.679228+00:00
FEC3019_7_readout,Delta_B_readout,observed coframe/readout and isotropic PPN gauge are fixed before comparison through O(U^2),MISSING_SAME_READOUT_THEOREM_THROUGH_O_U2,2574 BETA2574_3; 2896 ENV2896_5,readout choice can create or hide beta residual,derive second-order readout/gauge transfer,3019,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T12:25:01.679228+00:00
FEC3019_8_orbital_denominator,epsilon_SN,"mu_obs=G_eff M_H in the same source frame, with no orbital-GM circular denominator",MISSING_GAUSS_ORBITAL_SOURCE_CURRENT_SCORECARD,2896 ENV2896_6; 2920 scorecard queue,measured-GM calibration can hide source mismatch,fill Gauss/orbital/source-current scorecard,3019,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T12:25:01.679228+00:00
FEC3019_9_verdict,beta square-law contract,all FEC3019_0 through FEC3019_8 close together,CONTRACT_READY_PARENT_VALUES_MISSING,3019 aggregate,no beta/local-GR pass,3020 should map the second-order parent field equation coefficients,3019,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T12:25:01.679228+00:00
