source_id,relative_path,absolute_path,exists,needle,needle_found,note,valid_for_claim,generated_utc
SRC1070_0_1069_next,source-intake/mts_residuals/P8_Y5_R10_1069_NEXT_TARGET.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1069_NEXT_TARGET.csv,true,1070-Y5-R10-MICROSCOPE-eta-readout-formula,true,1069 handoff selecting eta/readout acquisition.,false,2026-06-14T11:06:37.322131+00:00
SRC1070_1_1069_first_tau,source-intake/mts_residuals/P8_Y5_R10_1069_FIRST_REAL_TAU_SOURCE_ROW.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1069_FIRST_REAL_TAU_SOURCE_ROW.csv,true,WTS1069_0_MICROSCOPE_eta_source_charge_proxy,true,first source-backed WEP bound/readout anchor.,false,2026-06-14T11:06:37.322451+00:00
SRC1070_2_1069_provenance,source-intake/mts_residuals/P8_Y5_R10_1069_MICROSCOPE_PROVENANCE_LEDGER.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1069_MICROSCOPE_PROVENANCE_LEDGER.csv,true,PROV1069_0_R1_source_charge,true,MICROSCOPE provenance ledger.,false,2026-06-14T11:06:37.322751+00:00
SRC1070_3_1069_fill,source-intake/mts_residuals/P8_Y5_R10_1069_READOUT_FILL_MATRIX.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1069_READOUT_FILL_MATRIX.csv,true,RFM1069_1_eta_formula,true,eta formula remained partial in 1069.,false,2026-06-14T11:06:37.323050+00:00
SRC1070_4_1069_requirements,source-intake/mts_residuals/P8_Y5_R10_1069_REMAINING_TAU_REQUIREMENTS.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1069_REMAINING_TAU_REQUIREMENTS.csv,true,REQ1069_1_readout_formula,true,remaining tau/readout requirements.,false,2026-06-14T11:06:37.323345+00:00
SRC1070_5_1068_orbit,source-intake/mts_residuals/P8_Y5_R10_1068_MICROSCOPE_ORBIT_READOUT_REQUIREMENTS.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1068_MICROSCOPE_ORBIT_READOUT_REQUIREMENTS.csv,true,ORB1068_2_eta_convention,true,MICROSCOPE orbit/readout requirements.,false,2026-06-14T11:06:37.323645+00:00
SRC1070_6_1068_force,source-intake/mts_residuals/P8_Y5_R10_1068_OBSERVED_FRAME_FORCE_MAP.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1068_OBSERVED_FRAME_FORCE_MAP.csv,true,FRM1068_1_eta_mapping,true,observed-frame eta map requirement.,false,2026-06-14T11:06:37.323939+00:00
SRC1070_7_1068_tau_pack,source-intake/mts_residuals/P8_Y5_R10_1068_TAU_WEP_ACQUISITION_PACK.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1068_TAU_WEP_ACQUISITION_PACK.csv,true,TAP1068_1_orbit_average,true,tau_WEP acquisition pack.,false,2026-06-14T11:06:37.324234+00:00
SRC1070_8_1068_worldtube,source-intake/mts_residuals/P8_Y5_R10_1068_SOURCE_WORLDTUBE_REQUIREMENTS.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1068_SOURCE_WORLDTUBE_REQUIREMENTS.csv,true,SWT1068_5_verdict,true,source worldtube gap.,false,2026-06-14T11:06:37.324530+00:00
SRC1070_9_1061_material,source-intake/mts_residuals/P8_Y5_R10_1061_WEP_MATERIAL_CONVENTION.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1061_WEP_MATERIAL_CONVENTION.csv,true,MCON1061_0_test_pair,true,Ti/Pt material convention.,false,2026-06-14T11:06:37.324823+00:00
SRC1070_10_local_bounds,source-intake/local_bounds/local_bound_claims.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\local_bounds\local_bound_claims.csv,true,R1_WEP_source_charge,true,local MICROSCOPE bound source rows.,false,2026-06-14T11:06:37.325112+00:00
SRC1070_11_708_wep,source-intake/mts_residuals/P8_Y5_R10_708_PPN_GDOT_WEP_MAP.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_708_PPN_GDOT_WEP_MAP.csv,true,PGW708_0_R1_WEP,true,WEP source/test charge vector gap.,false,2026-06-14T11:06:37.325404+00:00
SRC1070_12_1062_parent,source-intake/mts_residuals/P8_Y5_R10_1062_PARENT_PRODUCT_THEOREM_ATTEMPT.csv,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1062_PARENT_PRODUCT_THEOREM_ATTEMPT.csv,true,THM1062_4_tau_WEP_projection,true,prior parent product theorem blocker.,false,2026-06-14T11:06:37.325712+00:00
