source_id,role,source_path,exists,needles_present,needles,valid_for_claim
SRC2627_00_2626_handoff,2626 selects parent memory source-boundary map,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2626-Y5-R2FR-parent-memory-operator-owner-hunt-or-memory-residual-template.md,True,True,DEC2626_3_best_next; PARENT_MEMORY_SOURCE_BOUNDARY_MAP_IS_NEXT; MOA2626_9_verdict,False
SRC2627_01_2626_validation,2626 validation pass,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_2626_VALIDATION.csv,True,True,VAL2626_OVERALL; PASS,False
SRC2627_02_two_slot_contract_972,two-slot action and relative Bianchi identity,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\972-Y5-R10-parent-two-slot-memory-action-and-Bianchi-identity-or-residual-source-fill.md,True,True,TSC972_7_verdict; RSF972_1_JX_source_norm; BIANCHI_CONTRACT_READY_PARENT_UNSIGNED,False
SRC2627_03_jx_decomposition_973,source-free kinetic and J_X decomposition gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\973-Y5-R10-source-free-SXkin-and-boundary-zero-proof-or-first-memory-residual-source-row.md,True,True,JXD973_6_verdict; JX_ZERO_NOT_PROVED; FRS973_0_boundary_alpha3_flux,False
SRC2627_04_matter_descent_943,quotient observed-coframe matter blindness contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\943-Y5-R10-single-observed-coframe-matter-coupling-contract-or-frame-residual-source-pack.md,True,True,DER943_1_matter_action_blindness; CFC943_7_contract_verdict; CGATE943_1_matter_coupling,False
SRC2627_05_boundary_417,boundary exchange/no-hair blockers and local pressure anchors,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\417-boundary-exchange-nohair-theorem-attempt.md,True,True,boundary_exchange_nohair_derived; Bianchi_gate_owned; projected_local_flux_zero,False
SRC2627_06_extra_silence_506,positive source-free operator plus zero boundary/source silence mechanism,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\506-local-EH-reduction-and-extra-sector-silence-theorem.md,True,True,T506_EH_plus_silent_reduction; E506_memory_kernel_silence; DEC506_0_partial_derivation,False
SRC2627_07_acceptance_gates_507,theorem-zero and numeric-bound acceptance gates,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\507-field-specific-silence-queue-kappa-domain-memory-motion.md,True,True,G507_0_theorem_zero; G507_1_numeric_bound; memory_kernel,False
SRC2627_08_scalar_demoted_1856,physical scalar route rejected; constraint/auxiliary route selected,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1856-Y5-R2FR-derive-X-sector-from-MTS-primitives-or-reject-physical-scalar.md,True,True,REJECT_AS_FUNDAMENTAL_CURRENT_BRANCH; DEC1856_1_best_route; constraint/auxiliary/quotient-first,False
SRC2627_09_parent_signature_2507,no current parent signature; object-language no-source-only slot selected,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2507-Y5-R2FR-parent-signature-synthesis-quotient-source-glue-or-GR-import-lock.md,True,True,NO_PARENT_SIGNATURE_SIGNED; OBJECT_LANGUAGE_NO_SOURCE_ONLY_SLOT_NEXT; CM2507_0_relative_source_weight,False
SRC2627_10_projection_guard_856,memory projection repair and conservation guard,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\856-Y5-R10-memory-projection-repair-or-independent-calibration-source-test.md,True,True,RPC856_3_conservation_guard; branch_invariant_memory_projection_repair_contract; D856_1,False
