gate,status,decision,claim_promoted,passed,checkpoint_marker,valid_for_claim,source_checked_date
locked_sources,PDG_2026_NUFIT6_HEAVY_FIELD_SOURCES_LOCKED,all three durable source files pass their SHA-256 locks,False,True,MTS_KNOWN_THRESHOLD_MOTION_SCALE_4926,False,2026-07-12
known_colorless_thresholds,CALCULATED_AND_COMPACT_NEGLIGIBLE,charged leptons W Z Higgs and four neutrino benchmarks are over ninety orders below the compact coefficient target,False,True,MTS_KNOWN_THRESHOLD_MOTION_SCALE_4926,False,2026-07-12
QCD,ONE_CONFINED_MATCHING_BLOCK_OPEN,free-quark double counting is removed; exact interacting three-stress coefficient remains inside a_IR,False,True,MTS_KNOWN_THRESHOLD_MOTION_SCALE_4926,False,2026-07-12
motion_dimension,OLD_DIMENSION_MISMATCH_REPAIRED,Delta_old=3/2 and one 1/M_N prefactor give g_psi=lambda_old M_N^(-1/3) and mu=lambda_old^(3/8)M_N^(-1/8),False,True,MTS_KNOWN_THRESHOLD_MOTION_SCALE_4926,False,2026-07-12
motion_normalization,ONE_DIMENSIONLESS_C_N_REMAINS_NOT_PARENT_DERIVED,"C_N=1 gives a Planck-scale benchmark safely below compact sensitivity, but is not promoted as an exact parent value",False,True,MTS_KNOWN_THRESHOLD_MOTION_SCALE_4926,False,2026-07-12
IR_parameter_count,ONE_SIGNED_LOW_ENERGY_I1_PARAMETER_RETAINED,known thresholds are offsets; UV QCD and unresolved MTS pieces remain one renormalized a_IR rather than arena closures,False,True,MTS_KNOWN_THRESHOLD_MOTION_SCALE_4926,False,2026-07-12
weak_GR,RETAINED,two-derivative invariant-vacuum GR remains the selected local branch,False,True,MTS_KNOWN_THRESHOLD_MOTION_SCALE_4926,False,2026-07-12
compact_GR,NOT_PROMOTED,known thresholds are safe but the finite UV/QCD remainder is not derived below the compact target,False,True,MTS_KNOWN_THRESHOLD_MOTION_SCALE_4926,False,2026-07-12
full_MTS_to_GR,NOT_PROMOTED,motion normalization and finite ultraviolet matching remain open,False,True,MTS_KNOWN_THRESHOLD_MOTION_SCALE_4926,False,2026-07-12
next_target,METRIC_COVARIANCE_RESIDUE_NORMALIZATION,4927-Y5-R2FR-motion-field-normalization-from-metric-covariance-residue-and-EH-matching-or-one-Wilson-freeze.md,False,True,MTS_KNOWN_THRESHOLD_MOTION_SCALE_4926,False,2026-07-12
