source_id,source_type,source_path_or_url,local_path_required,source_exists,marker,marker_found,sha256,checkpoint_marker,valid_for_claim,source_checked_date
SRC4915_00_4914_validation,predecessor_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_4914_VALIDATION.csv,True,True,"VAL4914_OVERALL,PASS",True,c093d6b40ea1673b692a96c562e347ebfe0ff54aa47e54f9cfde4cd93e2f3f1d,MTS_SINGLE_FUNCTIONAL_EH_SOURCE_RESIDUE_4915,False,2026-07-12
SRC4915_01_4872,prior_derivation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4872-Y5-R2FR-primitive-MTS-to-public-unit-flow-action-and-universal-source-coupling-or-correspondence-demotion.md,True,True,PRIMITIVE_COVARIANCE_SIGN_AND_FLOW_RANK_THEOREM_4872,True,9a4eaed25f41167381ea77437350c322f7a4ee9cfab3228cfc2db0bd5f204923,MTS_SINGLE_FUNCTIONAL_EH_SOURCE_RESIDUE_4915,False,2026-07-12
SRC4915_02_4874,prior_derivation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4874-Y5-R2FR-metric-only-quotient-background-independence-and-universal-principal-symbol-proof-or-equivalence-axiom-freeze.md,True,True,DIRECT_PRINCIPAL_METRIC_SOFT_UNIVERSALITY_AND_SPIN2_NO_GO_GATE_4874,True,4eac48d7c90262bc0856d70eac8b25c0eed6b75bae1a11c16f5d1cdbf6ba81bb,MTS_SINGLE_FUNCTIONAL_EH_SOURCE_RESIDUE_4915,False,2026-07-12
SRC4915_03_4875,prior_derivation_with_normalization_repair,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4875-Y5-R2FR-collective-metric-path-integral-massless-spin2-pole-and-Weinberg-Witten-evasion-or-induced-background-only-demotion.md,True,True,INTEGRATED_PRINCIPAL_DENSITY_PARENT_AND_SPIN2_POLE_THEOREM_4875,True,83b20a1314e40e5fa9c30dcff5d47254f21cb47cfd8f2d1df4f14728f71fa484,MTS_SINGLE_FUNCTIONAL_EH_SOURCE_RESIDUE_4915,False,2026-07-12
SRC4915_04_4876,prior_derivation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4876-Y5-R2FR-integrated-H-parent-action-saddle-regulator-and-induced-coefficient-matching-to-GN-Lambda-and-R2.md,True,True,INTEGRATED_H_PARENT_SADDLE_HEAT_KERNEL_POLE_HIERARCHY_4876,True,8798d2de8c48ccd4fcc22d676aa1ae37cb6ac7691a579f9444095a8302832780,MTS_SINGLE_FUNCTIONAL_EH_SOURCE_RESIDUE_4915,False,2026-07-12
SRC4915_05_4898,controlling_calibration_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4898-Y5-R2FR-microscopic-Planck-stiffness-owner-and-GN-calibration-versus-prediction-gate.md,True,True,MTS_GN_CALIBRATION_VERSUS_PREDICTION_GATE_4898,True,c11c16d972faa2f94ecd01f4e1eeb4685de76a4561668081f9333bcf2ba51aa7,MTS_SINGLE_FUNCTIONAL_EH_SOURCE_RESIDUE_4915,False,2026-07-12
SRC4915_06_4904,current_action,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4904-Y5-R2FR-current-unified-action-assembly-Ward-identity-and-parameter-prediction-ledger.md,True,True,MTS_CURRENT_UNIFIED_ACTION_WARD_PARAMETER_GATE_4904,True,223514da350b0bbaed8e6fcd3582eeaab79ef698ea8c0ea5df2cace328de1876,MTS_SINGLE_FUNCTIONAL_EH_SOURCE_RESIDUE_4915,False,2026-07-12
SRC4915_07_checkpoint,generated_checkpoint,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4915-Y5-R2FR-parent-EH-residue-universal-source-coupling-and-measured-G-calibration-or-closure-demotion.md,True,True,MTS_SINGLE_FUNCTIONAL_EH_SOURCE_RESIDUE_4915,True,3e0c0ac26e7541ce8b4e5fbfcb16549ce3361b970bc98860b5a3f4342ab57e9f,MTS_SINGLE_FUNCTIONAL_EH_SOURCE_RESIDUE_4915,False,2026-07-12
SRC4915_08_research,generated_research_code,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4915_single_functional_EH_source_residue.py,True,True,def normalization_invariance_rows,True,1c02d262b2d7c1dea27e6c5138685ef4f5c811cfa8c177a2f348fce601f69619,MTS_SINGLE_FUNCTIONAL_EH_SOURCE_RESIDUE_4915,False,2026-07-12
SRC4915_09_validation,generated_validation_code,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4915_single_functional_EH_source_residue_validation.py,True,True,VAL4915_OVERALL,True,7fd7b4c24e174a392ea433fa1798b429b72969c884836e3be28c7d240bdad911,MTS_SINGLE_FUNCTIONAL_EH_SOURCE_RESIDUE_4915,False,2026-07-12
