source_id,label,source_path,exists,needle,needle_found,role,valid_for_claim
SRC4553_00_4552_reduced_split,4552 reduced alpha3 split,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4552_ALPHA3_REDUCED_SPLIT.csv,True,M_alpha3 + F_alpha3 + C3_alpha3,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_01_4552_marker_contract,4552 marker contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4552_MARKER_EXCLUSION_CONTRACT.csv,True,MC4552_2_no_marker_clause,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_02_4552_boundary_contract,4552 boundary flux contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4552_BOUNDARY_FLUX_OWNER_CONTRACT.csv,True,BF4552_2_normal_flux_zero,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_03_4552_finite_rows,4552 finite vector rows,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4552_FINITE_VECTOR_AMPLITUDE_ROWS.csv,True,FV4552_6_cubic_only_after_marker_boundary_zero,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_04_4552_doc,4552 formal doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\568-PPC4161-alpha3-marker-exclusion-boundary-flux-owner-or-finite-vector-amplitude-row.md,True,Delta alpha3 = M_alpha3 + F_alpha3 + C3_alpha3 epsilon_U^3,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_05_4551_doc,4551 scalar source zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\567-PPC4161-alpha3-vector-boundary-zero-or-first-Kalpha3-source-projection.md,True,K_alpha3^src[f(r)] = 0,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_06_4176_no_flux,4176 private no-flux theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4176-Y5-R2FR-local-boundary-no-flux-sector-interface-theorem-or-transition-current-bound.md,True,LOCAL_BOUNDARY_NO_FLUX_THEOREM_CLOSES_TRANSITION_CURRENT_PRIVATE_SELECTOR,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_07_4177_quotient,4177 quotient vertical silence theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4177-Y5-R2FR-quotient-naturality-vertical-silence-proof-or-projector-residual-bound.md,True,QUOTIENT_NATURALITY_VERTICAL_SILENCE_THEOREM_CLOSES_PROJECTOR_RESIDUALS_PRIVATE_SELECTOR,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_08_4174_quarantine,4174 parent selector quarantine,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4174-Y5-R2FR-parent-action-global-adoption-or-explicit-local-branch-quarantine.md,True,global_parent_action_adoption_proved = false,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_09_4539_parent_freeze,4539 effective local-GR freeze,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\555-PPC4161-parent-adopt-GR-parity-HQNP-selector-or-freeze-as-effective-local-GR-branch.md,True,effective local-GR branch,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_10_packet,private packet integration,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\180-PPC4161-private-local-packet-integration.md,True,"S_parent|Wloc = S_red[q(Phi),psi]",True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_11_motion_frame_gate,motion-frame parent signature gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\198-PPC4161-motion-frame-symmetry-parent-signature-gate.md,True,A_MF_PARENT_SIGNATURE_NOT_FOUND,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_12_vertical_span_gate,vertical action span gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\443-PPC4161-parent-vertical-gauge-action-span-or-first-scoreable-Csource-component.md,True,PARENT_RHO_AND_SPAN_UNSIGNED,True,4553 private selector alpha3 zero-certificate attempt,False
SRC4553_13_4552_claim_gates,4552 claim gates,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4552_CLAIM_GATES.csv,True,G4552_1_marker_zero_or_bound,True,4553 private selector alpha3 zero-certificate attempt,False
