timestamp_utc,source_id,path,exists,role
2026-06-29T02:09:21.933877+00:00,script_3465,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_3465_EM_alpha_Hodge_charge_owner_or_WEP_raw_to_effective_map.py,True,generator for this checkpoint
2026-06-29T02:09:21.933877+00:00,doc_3464,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3464-Y5-R2FR-canonical-action-normalization-from-MTS-primitives-or-WEP-effective-source-bound.md,True,canonical normalization predecessor
2026-06-29T02:09:21.933877+00:00,canon_3464,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3464_CANONICAL_NORMALIZATION_THEOREM_AUDIT.csv,True,canonical no-sector-action-scale theorem audit
2026-06-29T02:09:21.933877+00:00,em_3464,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3464_EM_ALPHA_CHARGE_OWNER_AUDIT.csv,True,EM alpha/charge owner predecessor rows
2026-06-29T02:09:21.933877+00:00,wep_3464,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3464_WEP_EFFECTIVE_SOURCE_BOUND.csv,True,effective WEP source bound rows
2026-06-29T02:09:21.933877+00:00,raw_req_3464,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3464_RAW_TO_EFFECTIVE_REQUIREMENTS.csv,True,raw-to-effective requirements
2026-06-29T02:09:21.933877+00:00,doc_3463,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3463-Y5-R2FR-single-source-current-owner-from-Noether-Poynting-flow-or-WEP-tau-map-under-AX1090.md,True,Poynting/source-current predecessor
2026-06-29T02:09:21.933877+00:00,poynting_3463,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3463_MAXWELL_POYNTING_STRESS_LEDGER.csv,True,Maxwell/Poynting stress ledger
2026-06-29T02:09:21.933877+00:00,tau_3463,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3463_WEP_TAU_PROJECTION_DERIVATION.csv,True,Eotvos tau/effective contrast derivation
2026-06-29T02:09:21.933877+00:00,material_1061,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1061_WEP_MATERIAL_CONVENTION.csv,True,MICROSCOPE Ti/Pt material convention with Delta_Q_alpha
2026-06-29T02:09:21.933877+00:00,dd_map_2441,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2441_MTS_TO_DD_CHARGE_MAP.csv,True,MTS-to-Damour-Donoghue charge map
2026-06-29T02:09:21.933877+00:00,alpha_owner_1811,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1811_ALPHA_OWNER_AUDIT.csv,True,alpha owner audit
2026-06-29T02:09:21.933877+00:00,alpha_level_1812,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1812_ALPHA_LEVEL_OWNER_AUDIT.csv,True,alpha level/fibre norm owner audit
2026-06-29T02:09:21.933877+00:00,alpha_path_1930,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1930_ALPHA_PRODUCT_PATH_DECISION.csv,True,alpha product path decision
2026-06-29T02:09:21.933877+00:00,charge_current,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_charge_current_equality_DIRECT_ATTEMPT.csv,True,charge-current equality attempt
2026-06-29T02:09:21.933877+00:00,charge_residuals,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_charge_current_equality_RESIDUAL_DECOMPOSITION.csv,True,charge-current residual decomposition
