row_id,source_key,source_path,exists,needle,needle_found,source_role,valid_for_claim
SRC2777_00_2776_next,2776_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2776_NEXT_TARGET.csv,True,NEXT2776_0_2777,True,current handoff into eta/readout acquisition,False
SRC2777_01_2776_tau_source,2776_tau_source,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2776_FIRST_REAL_TAU_SOURCE_ROW.csv,True,WTS2776_0_MICROSCOPE_eta_source_charge_proxy,True,current first MICROSCOPE provenance row,False
SRC2777_02_2776_provenance,2776_provenance,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2776_MICROSCOPE_PROVENANCE_LEDGER.csv,True,PROV2776_0_R1_WEP_source_charge,True,current provenance ledger,False
SRC2777_03_2776_fill,2776_fill,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2776_READOUT_FILL_MATRIX.csv,True,RFM2776_1_eta_formula,True,current partial eta formula row,False
SRC2777_04_2776_requirements,2776_requirements,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2776_REMAINING_TAU_REQUIREMENTS.csv,True,REQ2776_1_readout_formula,True,current remaining tau/readout requirements,False
SRC2777_05_2775_orbit,2775_orbit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2775_MICROSCOPE_ORBIT_READOUT_REQUIREMENTS.csv,True,ORB2775_2_eta_convention,True,current orbit/readout requirements,False
SRC2777_06_2775_force,2775_force,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2775_OBSERVED_FRAME_FORCE_MAP.csv,True,FRM2775_1_eta_mapping,True,current observed-frame eta map requirement,False
SRC2777_07_2775_tau_pack,2775_tau_pack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2775_TAU_WEP_ACQUISITION_PACK.csv,True,TAP2775_2_eta_readout,True,current tau acquisition pack,False
SRC2777_08_2775_worldtube,2775_worldtube,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2775_SOURCE_WORLDTUBE_REQUIREMENTS.csv,True,SWT2775_5_verdict,True,source worldtube gap,False
SRC2777_09_1061_material,1061_material,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1061_WEP_MATERIAL_CONVENTION.csv,True,MCON1061_0_test_pair,True,Ti/Pt material convention,False
