category,source_path,published_path,size_bytes,sha256
checkpoints,2799-Y5-R2FR-Gamma-Khat-q_loc-action-existence-Helmholtz-or-residual-retention-under-AX1090.md,research-ledger/files/checkpoints/f7/2799-Y5-R2FR-Gamma-Khat-q_loc-action-existence-Helmholtz-or-residual-retention-under-AX1090.md,11860,67caac4a38fb8537368ff4a0a92e719405362666e69e4fb0239dfabd3527834b
checkpoints,28-isolated-growth-CMB-first-score-runner.md,research-ledger/files/checkpoints/98/28-isolated-growth-CMB-first-score-runner.md,2319,016fe5b59be6dd2b688a6d689be6ab2bcb6cbcfcec13b576da4730d0dec9ed16
checkpoints,280-local-branch-status-ledger-and-empirical-closure-pivot.md,research-ledger/files/checkpoints/23/280-local-branch-status-ledger-and-empirical-closure-pivot.md,5943,6038be8cbbae5652b4dc56d4a47a42729f756b6ea20f9fc8ed12a6d638200482
checkpoints,2800-Y5-R2FR-response-doublet-source-current-zero-or-q_loc-bound-fill-under-AX1090.md,research-ledger/files/checkpoints/6a/2800-Y5-R2FR-response-doublet-source-current-zero-or-q_loc-bound-fill-under-AX1090.md,10045,29b7f1148467b412b30dbf146c33b7c49e01e7e33b0faeb7334cc823e03f9606
checkpoints,2801-Y5-R2FR-q_loc-observable-map-or-first-numeric-bound-row-under-AX1090.md,research-ledger/files/checkpoints/34/2801-Y5-R2FR-q_loc-observable-map-or-first-numeric-bound-row-under-AX1090.md,14100,18ffc2f58fbea064d2e30aefc584b2d066f33f960b790aeab7f33660ce59b760
checkpoints,2802-Y5-R2FR-first-real-q_loc-observable-coefficient-or-Y5-source-owner-under-AX1090.md,research-ledger/files/checkpoints/fd/2802-Y5-R2FR-first-real-q_loc-observable-coefficient-or-Y5-source-owner-under-AX1090.md,11552,7451220df42869cbbfa8ace1b99661bcad447588670dea77ab9cb6885c57183e
checkpoints,2803-Y5-R2FR-q_loc-force-normalization-and-body-moment-zero-theorem-under-AX1090.md,research-ledger/files/checkpoints/2a/2803-Y5-R2FR-q_loc-force-normalization-and-body-moment-zero-theorem-under-AX1090.md,10837,84625ec100edc2d662971e6bb35505f94c7df8989a08a4058a7b1c360760c84c
checkpoints,2804-Y5-R2FR-q_loc-surface-traction-no-flux-or-first-real-force-bound-under-AX1090.md,research-ledger/files/checkpoints/2b/2804-Y5-R2FR-q_loc-surface-traction-no-flux-or-first-real-force-bound-under-AX1090.md,11416,bec6afe8982d33c17236a92ce34fcca32878e54345fae6d5448c5afa39270ff9
checkpoints,2805-Y5-R2FR-q_loc-superpotential-no-traction-or-zeta-unit-source-acquisition-under-AX1090.md,research-ledger/files/checkpoints/0c/2805-Y5-R2FR-q_loc-superpotential-no-traction-or-zeta-unit-source-acquisition-under-AX1090.md,11895,ee6014081d01ad24a8fceaf7c63f38e2e50a1aa1c4a3459964edfc21e05a1218
checkpoints,2806-Y5-R2FR-parent-Noether-Uq-extraction-or-first-zeta-unit-numeric-seed-under-AX1090.md,research-ledger/files/checkpoints/b4/2806-Y5-R2FR-parent-Noether-Uq-extraction-or-first-zeta-unit-numeric-seed-under-AX1090.md,14284,aa13487fdd122f8aa4d667355c30b81a770bea8a1b72965fc1e4bcd3743d7a71
