category,source_path,published_path,size_bytes,sha256
checkpoints,3701-Y5-R2FR-local-test-source-row-acquisition-and-residual-matrix.md,research-ledger/files/checkpoints/a9/3701-Y5-R2FR-local-test-source-row-acquisition-and-residual-matrix.md,8515,1c67c87dbe728a27e080188345b0a644344b645b6e491efdbb1156243f597c26
checkpoints,3702-Y5-R2FR-R10-bound-curve-digitizer-and-MTS-alpha-lambda-binder.md,research-ledger/files/checkpoints/97/3702-Y5-R2FR-R10-bound-curve-digitizer-and-MTS-alpha-lambda-binder.md,5960,b88298051877abeaf1e0c5ff94f4e70ac0e32e67aca428a115fce922955893e8
checkpoints,3703-Y5-R2FR-MTS-rho-Newton-z2bound-muH-numeric-or-symbolic-bound.md,research-ledger/files/checkpoints/d5/3703-Y5-R2FR-MTS-rho-Newton-z2bound-muH-numeric-or-symbolic-bound.md,9067,9d83f8e4b19c3c221313edfb3efc40d629d51156dfc7c79068573b6d547d95d0
checkpoints,3704-Y5-R2FR-alpha-nuisance-zero-or-budget-boundary-projection-cleanup.md,research-ledger/files/checkpoints/b9/3704-Y5-R2FR-alpha-nuisance-zero-or-budget-boundary-projection-cleanup.md,7622,6d695cc196d5dbec609cfe4347511c08043c0c4756dddaa56304fd364e21a729
checkpoints,3705-Y5-R2FR-compact-collar-no-flux-and-r10-projection-certificate.md,research-ledger/files/checkpoints/9c/3705-Y5-R2FR-compact-collar-no-flux-and-r10-projection-certificate.md,8640,233f96131912cad297d8686b813a724a054c9f65285222a19f5f6aea9e71fc26
checkpoints,3706-Y5-R2FR-parent-boundary-action-collar-signature-or-edge-budget-bound.md,research-ledger/files/checkpoints/fe/3706-Y5-R2FR-parent-boundary-action-collar-signature-or-edge-budget-bound.md,8504,bd850e3a5c96aabf78a5c996ada5137e12b62ae67fe872b57cfba95e72fa09a8
checkpoints,3707-Y5-R2FR-PN-lambdaH-parent-source-product-origin-or-R10-score-gate.md,research-ledger/files/checkpoints/45/3707-Y5-R2FR-PN-lambdaH-parent-source-product-origin-or-R10-score-gate.md,8947,262ee04fb3475b378327026fef12b85d2ecf0123c2cf0c545a1c93b455e1f60a
checkpoints,3708-Y5-R2FR-u1-parent-relaxation-functional-origin-or-local-mass-gap-closure.md,research-ledger/files/checkpoints/2f/3708-Y5-R2FR-u1-parent-relaxation-functional-origin-or-local-mass-gap-closure.md,11706,7f1836818a1bbcbbabfab8afaec3be0af75128839dcce8af51bc7d4903bc5ba9
checkpoints,3709-Y5-R2FR-Fisher-gap-and-PN-parent-source-row-fill-or-closure-demotion.md,research-ledger/files/checkpoints/ec/3709-Y5-R2FR-Fisher-gap-and-PN-parent-source-row-fill-or-closure-demotion.md,9260,13ca2fff0bb164c741e76ac5d773e4442b4c74336c3eda4286e83ad3263fd9ae
checkpoints,371-WEP-species-universality-or-active-eta-runner.md,research-ledger/files/checkpoints/a5/371-WEP-species-universality-or-active-eta-runner.md,5190,8b6df38d06556c14b63b4626e7ac396c8b75c0ffd457ab2afb21a6617960c174
checkpoints,3710-Y5-R2FR-one-sided-Fisher-gap-or-PN-fill-and-R10-closure-sensitivity.md,research-ledger/files/checkpoints/7f/3710-Y5-R2FR-one-sided-Fisher-gap-or-PN-fill-and-R10-closure-sensitivity.md,8334,7c2f71794fbc1c9ec8a051cff3bd63d6cf3192a715f96deeec2449b5f91bf8a1
checkpoints,3711-Y5-R2FR-PN-factor-decomposition-KN-rho-CH-Jeff-source-bound.md,research-ledger/files/checkpoints/09/3711-Y5-R2FR-PN-factor-decomposition-KN-rho-CH-Jeff-source-bound.md,14016,92d8ac729f673f1744111c7577db8d95b6373386b3374945519b92079f0e73cd
checkpoints,3712-Y5-R2FR-Jeff-zero-or-finite-bound-horizontal-source-amplitude.md,research-ledger/files/checkpoints/6a/3712-Y5-R2FR-Jeff-zero-or-finite-bound-horizontal-source-amplitude.md,9500,da2058d9f119084b2f56513f1700c2269c9c3e2ec0cde3ac2c2786ac079b9fc6
checkpoints,3713-Y5-R2FR-DqH-matter-horizontal-silence-certificate-or-epsilon-qH-row.md,research-ledger/files/checkpoints/67/3713-Y5-R2FR-DqH-matter-horizontal-silence-certificate-or-epsilon-qH-row.md,10963,13bc195dc28f02d56fe793d6bf3c966dfac16e439b50c4e2d9215a62d999edc7
