category,source_path,published_path,size_bytes,sha256
checkpoints,2339-Y5-R2FR-parent-theta-Qtau-fixed-reference-or-MHref-first-row.md,research-ledger/files/checkpoints/57/2339-Y5-R2FR-parent-theta-Qtau-fixed-reference-or-MHref-first-row.md,21230,b7db72f95a00775c83d285f059b19837dc79160ad56213b37c5926fac46ff952
checkpoints,234-boundary-metric-variation-and-Bianchi-ledger.md,research-ledger/files/checkpoints/11/234-boundary-metric-variation-and-Bianchi-ledger.md,4759,36fe7ad032b0d391562f9ce812465a15c3f64d46ee6e222a552f3f27ab1f8de0
checkpoints,2340-Y5-R2FR-parent-theta-Qtau-Htau-Href-extraction-or-source-row.md,research-ledger/files/checkpoints/c3/2340-Y5-R2FR-parent-theta-Qtau-Htau-Href-extraction-or-source-row.md,21073,775997bd191abd1dd5569bcac343dfb4bd457e07660e27d15fdf8ec4c285c513
checkpoints,2341-Y5-R2FR-EH-anchor-residual-charge-zero-or-coefficient-row.md,research-ledger/files/checkpoints/60/2341-Y5-R2FR-EH-anchor-residual-charge-zero-or-coefficient-row.md,20644,9c4f0368d0fc92334541b97fe2a1e1bc713d6d36184e4e44a55ec16ba4c134f0
checkpoints,2342-Y5-R2FR-source-charge-equals-measured-GM-or-selector-bound.md,research-ledger/files/checkpoints/16/2342-Y5-R2FR-source-charge-equals-measured-GM-or-selector-bound.md,19641,8f3ea9c339ebb6d6a82b6a8abf493891c5bcfe9d1eb7e7da0e94dddff74ce74b
checkpoints,2343-Y5-R2FR-NoSourceOnlySpeciesSlot-and-same-frame-GM-descent-or-sourceGM-bound.md,research-ledger/files/checkpoints/e3/2343-Y5-R2FR-NoSourceOnlySpeciesSlot-and-same-frame-GM-descent-or-sourceGM-bound.md,19114,5f2d3c329f034f65ab5c37cd39bc943d9746c8886bd4bbe1af22c3a8dc67e929
checkpoints,2344-Y5-R2FR-parent-source-blind-matter-functor-current-owner-or-sourceGM-bound.md,research-ledger/files/checkpoints/2c/2344-Y5-R2FR-parent-source-blind-matter-functor-current-owner-or-sourceGM-bound.md,23993,26d1ad415046bdba9a31155fd1f7aac3393218dd7a4fcc99739b86d7553a819c
checkpoints,2345-Y5-R2FR-current-owner-normal-form-from-parent-variation-or-sourceGM-residual-first-row.md,research-ledger/files/checkpoints/da/2345-Y5-R2FR-current-owner-normal-form-from-parent-variation-or-sourceGM-residual-first-row.md,22577,5d95a7b5b07377c608d0262da8c903be674cf0094e007ba7ed94e9533edb03f6
checkpoints,2346-Y5-R2FR-nonHilbert-source-projection-zero-or-component-bound-pack.md,research-ledger/files/checkpoints/2e/2346-Y5-R2FR-nonHilbert-source-projection-zero-or-component-bound-pack.md,19417,e13612f2880d06d1577e002581cb990669532b953b5e7b046499002c4d4e695b
checkpoints,2347-Y5-R2FR-noGamma-SRNG-adoption-or-P4-hypermomentum-component-row.md,research-ledger/files/checkpoints/c4/2347-Y5-R2FR-noGamma-SRNG-adoption-or-P4-hypermomentum-component-row.md,18674,7cd1f9508d2d1f07416d22233afd271afaa013a74b3bea5a675473612d5ea119
