owner_id,needed_object,role,candidate_source,required_equation,current_status,claim_effect,fallback_if_missing,valid_for_claim,source_paths,generated_utc
POM726_0_parent_pairing,"theta_Y, Omega_Y, or field-space pairing G_ij",defines the adjoint and the Hamiltonian/momentum-map owner,583/589 momentum-map certificate route,delta L_parent=E_i delta Y^i+d theta_Y(delta Y); Omega_Y=delta theta_Y,missing_explicit_parent_pairing,DCdagger and G[epsilon] are undefined as parent-owned objects,edge coefficient source contract,false,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\583-Y5-R10-parent-momentum-map-owner-or-edge-residual-demotion.md;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_589_SOURCES_REQUIRED_TO_CLOSE_CERTIFICATE.csv,2026-06-10T21:33:59+00:00
POM726_1_vertical_generator,v_X or v_epsilon on all parent fields,identifies X as quotient/gauge direction rather than physical field,581 quotient-vertical theorem shape,v_X in ker(d pi); i_v Omega_Y=delta G_X,not_constructed,X cannot be removed from local physical phase space,finite X/edge residual branch,false,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\581-Y5-R10-quotient-vertical-no-pole-parent-theorem-attempt.md;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\583-Y5-R10-parent-momentum-map-owner-or-edge-residual-demotion.md;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_589_ADJOINT_ZERO_MODE_CERTIFICATE.csv,2026-06-10T21:33:59+00:00
POM726_2_CX_identity,C_X^nu as Noether/Bianchi/first-class identity,prevents X from imposing a new local equation on GR-like solutions,587 affine parent source map plus 588 constraint gate,C_X=N(E0) or C_X is the differentiable first-class generator density,contract_written_not_owned,C_X may be second-class/closure-only,demote to q_loc/edge/PPN residual,false,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_587_AFFINE_PARENT_SOURCE_MAP.csv;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_588_ADJOINT_BACKREACTION_THEOREM.csv;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\513-Gamma-Khat-q_loc-first-variation-or-demotion.md,2026-06-10T21:33:59+00:00
POM726_3_P_owner,P^{mu nu}[Y],boundary momentum and divergence superpotential in C_X=-nabla P+J,affine Vdef coefficient or Noether current coefficient,"P^{mu nu}=partial V_def/partial Z_{mu nu} from parent variables, not free insertion",promising_but_unfilled,boundary charge and K_edge remain unowned,K_edge and Qbar_edge_XH source rows,false,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_587_AFFINE_PARENT_SOURCE_MAP.csv;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_725_VDEF_OWNER_REPAIR_ATTEMPT.csv,2026-06-10T21:33:59+00:00
POM726_4_J_eff_owner,J_eff^nu[Y],bulk current/source balancing the divergence superpotential,Euler-Ward identity for T_GK or memory/source current,"nabla_mu T_GK^{mu nu}=sum_A E_A nabla^nu Phi^A, with J_eff owned by the same identity as P",not_derived,q_loc/source-current residual remains live,q_loc/edge coefficient residual contract,false,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_587_AFFINE_PARENT_SOURCE_MAP.csv;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\513-Gamma-Khat-q_loc-first-variation-or-demotion.md;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\512-match-MTS-symbols-to-local-GR-action-blocks.md,2026-06-10T21:33:59+00:00
POM726_5_A_owner,A_{mu nu}[Y] or decision to use pure multiplier C_X form,defect/connection part of Z=nabla X-A,local representative lock/quotient connection,A has a parent transformation law or is absent from the minimal multiplier branch,unplaced,A can become a cancellation tensor if not owned,drop Z-form and keep only C_X multiplier contract,false,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_587_AFFINE_PARENT_SOURCE_MAP.csv;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_725_VDEF_OWNER_REPAIR_ATTEMPT.csv,2026-06-10T21:33:59+00:00
POM726_6_DCdagger_map,(DC[Y0])^dagger X mapped to vertical generator,kills multiplier backreaction if proper stabilizers vanish,589 adjoint zero-mode certificate route,"int X_nu DC^nu[delta Y]=int <v_X[Y0],delta Y>_G + boundary",not_mapped,delta_Y S_X can still alter local parent equations,source-backed edge product row,false,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_588_ADJOINT_BACKREACTION_THEOREM.csv;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_589_ADJOINT_ZERO_MODE_CERTIFICATE.csv;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_589_SOURCES_REQUIRED_TO_CLOSE_CERTIFICATE.csv,2026-06-10T21:33:59+00:00
POM726_7_boundary_silence,B_X exact/proper-zero plus K_boundary=0,removes edge charge after bulk no-pole is achieved,586/588 boundary exactness branch,Q_edge[epsilon]=int_boundary epsilon_nu(n_mu P^{mu nu}+B_ct^nu)=0,not_derived,Qbar_edge_XH(lambda) remains possible,edge projection/source contract,false,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_588_ADJOINT_BACKREACTION_THEOREM.csv;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_725_VDEF_OWNER_REPAIR_ATTEMPT.csv,2026-06-10T21:33:59+00:00
POM726_8_projector_owner,Pi_M^H edge projection,decides whether an edge charge enters measured source mass,Hamiltonian/covariant phase-space charge map,Qbar_edge_XH(lambda)=Pi_M^H[Q_edge^H(lambda)]/M_H with fixed reference subtraction,candidate_projection_not_adopted,source-measure coupling can leak through Qbar_edge_XH,Qbar_edge_XH source row,false,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\539-Y5-PiM-as-Hamiltonian-charge-map-or-topological-demotion.md;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_725_EDGE_CLAIM_BLOCKER_LEDGER.csv,2026-06-10T21:33:59+00:00
POM726_9_matter_quotient,matter quotient map and no-marker coupling,kills ordinary test-body charge qbar_XT,quotient matter functor / observed metric readout,"S_matter[psi,hat_g(q(Y))] and v_X hat_g=0 for all ordinary species/clocks",not_signed,ordinary matter can retain finite X/edge response,qbar_XT source row,false,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\581-Y5-R10-quotient-vertical-no-pole-parent-theorem-attempt.md;D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_725_VDEF_OWNER_REPAIR_ATTEMPT.csv,2026-06-10T21:33:59+00:00
