score_id,argument_type,argument,source_path,source_exists,evidence_status,parent_signed,blocks_if_unsigned,valid_for_claim
SCORE_ARG3346_A0_parent_fields,allowed,Phi_parent,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_COMMON_DESCENT_DQZ_2643_PARENT_SIGNATURE_THEOREM_GATE.csv,true,SKETCH_EXISTS_NOT_CLOSED,false,defines ker(Dq) and hidden vertical directions,false
SCORE_ARG3346_A1_q_visible_geometry,allowed,"e_obs(q(Phi)), g_obs(q(Phi)), omega[e_obs]",D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_MATTER_DESCENT_GATE_2611_DESCENT_PREMISE_AUDIT.csv,true,CONTRACT_PRESENT_NOT_PARENT_SIGNED,false,hidden frame/c_g/b_dis ordinary matter slots,false
SCORE_ARG3346_A2_matter_fields,allowed,Psi_A,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_DIRECT_MATTER_GRAMMAR_GATE_2612_NO_DIRECT_MATTER_X_VERTEX_GRAMMAR_ATTEMPT.csv,true,CONTRACT_WRITTEN_NOT_PARENT_DERIVED,false,source-shadow functional not separate from ordinary matter dynamics,false
SCORE_ARG3346_A3_gauge_current_owner,allowed,A_Q and J_Q from fixed representation/Noether current,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3340_PARENT_HILBERT_SOURCE_CLAUSE.csv,true,CONDITIONAL_CURRENT_OWNER_NOT_PARENT_SIGNED,false,delta_J and source/test charge normalization drift,false
SCORE_ARG3346_A4_fixed_constants,allowed,"theta_A, representation labels, masses, charges, lambda_0, calibration constants",D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_NO_HIDDEN_VISIBLE_HOM_2659_OPERATOR_DOMAIN_THEOREM_ATTEMPT.csv,true,EXACT_CONDITIONAL_NOT_PARENT_SIGNED,false,"b_alpha constant drift, hidden material markers, species source weights",false
SCORE_ARG3346_A5_boundary_terms,allowed,S_boundary and improvement data B,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3340_PARENT_HILBERT_SOURCE_CLAUSE.csv,true,ROUTE_DEFINED_NOT_PARENT_OR_NUMERIC_SIGNED,false,epsilon_boundary/contact readout leakage,false
SCORE_ARG3346_F0_hidden_coefficient,forbidden,f_X(I_hid)F_Q^2 or hidden-visible coefficient maps,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3345_SURVIVING_COUNTERMODEL_MATRIX.csv,true,FORBID_IF_PARENT_DOMAIN_SIGNED,false,epsilon_coeff_domain; b_alpha; epsilon_EM,false
SCORE_ARG3346_F1_source_weight,forbidden,"w_A(X), kappa_A(I_hid), species/source-only prefactors",D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_SPECIES_FORGETTING_GATE_2614_PARENT_SIGNATURE_REQUIREMENTS.csv,true,FORBID_IF_SINGLE_SOURCE_OWNER_SIGNED,false,epsilon_source_shadow; eta_species,false
SCORE_ARG3346_F2_source_projector,forbidden,"F_shadow(T_H,labels) or P_material(T_H)",D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_SINGLE_SOURCE_MAP_GATE_2617_SINGLE_SOURCE_MAP_IDENTITY_THEOREM.csv,true,FORBID_OR_CLASSIFY_AS_ACTION_BOUNDARY_RESIDUAL,false,epsilon_source_shadow,false
SCORE_ARG3346_F3_hidden_frame,forbidden,g_A=A_A(X)^2 g_obs or disformal labelled matter frame,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_NO_HIDDEN_VISIBLE_HOM_2659_OPERATOR_DOMAIN_THEOREM_ATTEMPT.csv,true,FORBID_IF_OBSERVED_GEOMETRY_DESCENT_SIGNED,false,c_g; b_dis; PPN/WEP/clock residuals,false
