sector,field_or_object,current_role,status,included_in_active_action,valid_for_claim,timestamp_utc
integrated_metric,H^{mu nu} modulo Diff,public metric field space,ACTIVE_PARENT_ARCHITECTURE,True,False,2026-07-11T21:22:55.934765+00:00
renormalized_gravity,"g_hat(H), M_R, Lambda_cal, EFT residuals",GR and metric-only cosmology known limit,ACTIVE,True,False,2026-07-11T21:22:55.934765+00:00
Standard_Model,"G,W,B,chiral Weyl fields,linear H",anomaly-free matter and gauge known limit,ACTIVE_CORRESPONDENCE,True,False,2026-07-11T21:22:55.934765+00:00
QED_Maxwell,A=sW3+cB and Dirac recombinations,infrared electroweak limit,DERIVED_IR_LIMIT_NOT_EXTRA_SUMMAND,False,False,2026-07-11T21:22:55.934765+00:00
microscopic_MTS,"psi_r,psi_a,X",proposed UV variables integrated into matched coefficients,UV_COMPLETION_SLOT_NOT_ACTIVE_LOW_ENERGY_SOURCE,False,False,2026-07-11T21:22:55.934765+00:00
MTS_residual,"Gamma_MTS,res",reserved non-GR operator slot,ZERO_ON_ACTIVE_BASELINE_PENDING_REENTRY_GATE,True,False,2026-07-11T21:22:55.934765+00:00
bath_cosmology,gamma-sigma reciprocal bath,method and failure evidence,RETIRED_AS_ACTIVE_SOURCE,False,False,2026-07-11T21:22:55.934765+00:00
CP2_Higgs,CP2 tangent doublet,internal geometry clue,FROZEN,False,False,2026-07-11T21:22:55.934765+00:00
SO5_SO4_Higgs,custodial composite benchmark,conditional precision comparator,OPTIONAL_NOT_ACTIVE,False,False,2026-07-11T21:22:55.934765+00:00
galaxy_programme,separate empirical galaxy laws and pipelines,evidence pillar awaiting parent operator map,RETAINED_SEPARATELY_NOT_ACTION_OWNED,False,False,2026-07-11T21:22:55.934765+00:00
