timestamp_utc,branch_id,checkpoint_id,valid_for_claim,theorem_id,statement,derivation,status,parent_signed,claim_allowed
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZT3774_0_master_zero,"If every residual channel is either same-Hilbert-source, has zero total extra interior monopole, is an exact divergence with zero flux on homologous boundaries, or is a pure gauge/reference variation, and no exterior harmonic 1/r mode remains, then mu_extra=0.","Each Q_i is a surface or shell integral from MSB3774_2 plus any interior extra monopole not already inside M_H. Under those alternatives its integral vanishes or is already counted inside M_H. With no harmonic monopole, a zero shell derivative fixes the exterior charge to the reference value zero.",EXACT_CONDITIONAL_MUEXTRA_ZERO_THEOREM,False,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZT3774_1_boundary_reference,Q_boundary_ref=0 if the Hamiltonian reference subtraction is fixed on the connected local branch and its variation is q_obs-gauge or an exact boundary term with equal inner/outer flux.,Then Delta B_ref is constant on the branch; the reference convention sets that constant to zero.,EXACT_CONDITIONAL_BOUNDARY_ZERO,False,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZT3774_2_projector_domain,"Q_projector_domain=0 if Pi_M commutes with exterior divergence, the source domain is material/comoving, and no projector wall or corner term crosses the comparison shell.","The shell integral of [d,Pi_M]J_H plus domain-wall current vanishes under those conditions.",EXACT_CONDITIONAL_PROJECTOR_DOMAIN_ZERO,False,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZT3774_3_nonEH_operator,Q_nonEH=0 if the exterior weak-field operator is EH/Poisson after q_obs reduction and every non-EH correction has compact support or faster-than-monopole falloff.,The only possible contribution to the Gauss charge is the l=0 harmonic component of the exterior operator residual.,EXACT_CONDITIONAL_NONEH_ZERO,False,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZT3774_4_memory_bulk,"Q_memory_bulk=0 if memory/topological terms are exact, have no boundary flux through the exterior spheres, and carry no harmonic monopole class in the exterior cohomology.",Topological or memory terms affect the monopole only through their boundary/cohomology class.,EXACT_CONDITIONAL_MEMORY_ZERO,False,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZT3774_5_range,"Q_range=0 if no unscreened finite-range mediator couples to the Hilbert source, or if its source charge vanishes for the body and test readout under q_obs.",A Yukawa or extra scalar/vector mode contributes to mu_extra only through its l=0 source charge and range kernel.,EXACT_CONDITIONAL_RANGE_ZERO,False,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZT3774_6_coupling_kappa,"Q_delta_kappa=0 if G_eff/kappa_eff is q_obs-owned or superselected and has no exterior radial, temporal, species, or frame dependence.",Then the measured monopole is not reweighted between source and readout surfaces.,EXACT_CONDITIONAL_COUPLING_ZERO,False,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZT3774_7_readout_frame,Q_readout_frame=0 if slow test bodies follow the same q_obs metric/coframe potential used by the Gauss flux and no preferred-frame or apparatus readout offset survives.,The orbital acceleration then reads exactly the same monopole that the surface integral defines.,EXACT_CONDITIONAL_READOUT_ZERO,False,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZT3774_8_EM_Poynting,"Q_EM_Poynting=0 as an extra channel only if exterior EM field energy, binding energy, and Poynting momentum are included in the same descended Hilbert source, or if the exterior EM stress has zero l=0 energy/flux for the source class.",Maxwell stress is not allowed to disappear; it must either be inside M_H or explicitly counted as Q_EM_Poynting.,EXACT_CONDITIONAL_EM_POYNTING_ZERO,False,False
2026-06-30T16:39:38.758257+00:00,MTS_R2FR_Y5_MUEXTRA_CHANNEL_ZERO_THEOREM_OR_COMPONENT_BOUND_VECTOR_3774,3774,False,MZT3774_9_source_theta,Q_source_theta=0 if the source action and every physical constant/material marker descend through q_obs or are superselected.,Then vertical source/theta leakage cannot generate an exterior mass-normalization monopole.,EXACT_CONDITIONAL_SOURCE_THETA_ZERO,False,False
