timestamp_utc,branch_id,checkpoint_id,valid_for_claim,source_id,path,exists,needle,needle_found,role
2026-06-30T08:31:47.320378+00:00,MTS_R2FR_Y5_PARENT_BATH_OBSERVABLE_MAP_AND_SOURCE_SILENCE_FILL_3699,3699,False,handoff_3698,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3698_NEXT_TARGET.csv,True,try to define p_0,True,bath observable and source-silence construction input
2026-06-30T08:31:47.320378+00:00,MTS_R2FR_Y5_PARENT_BATH_OBSERVABLE_MAP_AND_SOURCE_SILENCE_FILL_3699,3699,False,status_3698,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3698_STATUS.csv,True,maximum-entropy bath,True,bath observable and source-silence construction input
2026-06-30T08:31:47.320378+00:00,MTS_R2FR_Y5_PARENT_BATH_OBSERVABLE_MAP_AND_SOURCE_SILENCE_FILL_3699,3699,False,relative_entropy_3698,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3698_RELATIVE_ENTROPY_CONSTRUCTION_ROWS.csv,True,D_KL,True,bath observable and source-silence construction input
2026-06-30T08:31:47.320378+00:00,MTS_R2FR_Y5_PARENT_BATH_OBSERVABLE_MAP_AND_SOURCE_SILENCE_FILL_3699,3699,False,source_silence_3698,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3698_SOURCE_SILENCE_GATES.csv,True,Poynting,True,bath observable and source-silence construction input
2026-06-30T08:31:47.320378+00:00,MTS_R2FR_Y5_PARENT_BATH_OBSERVABLE_MAP_AND_SOURCE_SILENCE_FILL_3699,3699,False,source_silence_77,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\77-sigma-L-source-silence-theorem.md,True,The exact `Sigma_L` source-silence theorem is not derived,True,bath observable and source-silence construction input
2026-06-30T08:31:47.320378+00:00,MTS_R2FR_Y5_PARENT_BATH_OBSERVABLE_MAP_AND_SOURCE_SILENCE_FILL_3699,3699,False,parent_roadmap_82,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\82-parent-dynamics-roadmap.md,True,make the coarse-graining theorem the upgrade path,True,bath observable and source-silence construction input
2026-06-30T08:31:47.320378+00:00,MTS_R2FR_Y5_PARENT_BATH_OBSERVABLE_MAP_AND_SOURCE_SILENCE_FILL_3699,3699,False,parent_equations_83,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\83-parent-equations-v1.md,True,Open-system memory law:,True,bath observable and source-silence construction input
2026-06-30T08:31:47.320378+00:00,MTS_R2FR_Y5_PARENT_BATH_OBSERVABLE_MAP_AND_SOURCE_SILENCE_FILL_3699,3699,False,coarse_graining_85,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\85-coarse-graining-invariants-XB.md,True,This file does not prove the coarse-graining theorem.,True,bath observable and source-silence construction input
2026-06-30T08:31:47.320378+00:00,MTS_R2FR_Y5_PARENT_BATH_OBSERVABLE_MAP_AND_SOURCE_SILENCE_FILL_3699,3699,False,scalar_evenness_126,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\126-scalar-evenness-origin.md,True,positive leakage-frame metric G_AB,True,bath observable and source-silence construction input
2026-06-30T08:31:47.320378+00:00,MTS_R2FR_Y5_PARENT_BATH_OBSERVABLE_MAP_AND_SOURCE_SILENCE_FILL_3699,3699,False,red_team_06,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\06-consistency-red-team.md,True,derived local GR/Newton limit,True,bath observable and source-silence construction input
