checkpoint,branch,generated_utc,decision,source_id,path,exists,required_text,required_text_found,role,claim_allowed,valid_for_claim
4301,MTS_R2FR_Y5_PARENT_DOUBLE_ZERO_LOCK_OR_SECOND_ORDER_DVGAMMA_BOUND_ROW_4301,2026-07-03T17:26:58+00:00,PARENT_DOUBLE_ZERO_LOCK_REDUCED_TO_POSITIVE_OPERATOR_NOHAIR_OR_SECOND_ORDER_DVGAMMA_BOUND_NONCLAIM,SRC4301_00_4300_formal,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\316-PPC4161-DvGamma-m-Lcg-zero-or-first-coefficient-source-row.md,True,Next target: `4301-Y5-R2FR-parent-double-zero-lock-or-second-order-DvGamma-bound-row.md`.,True,4300 handoff: parent double-zero lock or quadratic residual bound.,False,False
4301,MTS_R2FR_Y5_PARENT_DOUBLE_ZERO_LOCK_OR_SECOND_ORDER_DVGAMMA_BOUND_ROW_4301,2026-07-03T17:26:58+00:00,PARENT_DOUBLE_ZERO_LOCK_REDUCED_TO_POSITIVE_OPERATOR_NOHAIR_OR_SECOND_ORDER_DVGAMMA_BOUND_NONCLAIM,SRC4301_01_4300_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4300_VERTICAL_DOUBLE_ZERO_THEOREM.csv,True,DZT4300_3_parent_lock_required,True,4300 says the theorem fires only if parent lock is signed.,False,False
4301,MTS_R2FR_Y5_PARENT_DOUBLE_ZERO_LOCK_OR_SECOND_ORDER_DVGAMMA_BOUND_ROW_4301,2026-07-03T17:26:58+00:00,PARENT_DOUBLE_ZERO_LOCK_REDUCED_TO_POSITIVE_OPERATOR_NOHAIR_OR_SECOND_ORDER_DVGAMMA_BOUND_NONCLAIM,SRC4301_02_4300_residual,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4300_RESIDUAL_ORDER_REDUCTION.csv,True,ROR4300_1_second_order_after_double_zero,True,4300 second-order Gamma residual after double-zero lock.,False,False
4301,MTS_R2FR_Y5_PARENT_DOUBLE_ZERO_LOCK_OR_SECOND_ORDER_DVGAMMA_BOUND_ROW_4301,2026-07-03T17:26:58+00:00,PARENT_DOUBLE_ZERO_LOCK_REDUCED_TO_POSITIVE_OPERATOR_NOHAIR_OR_SECOND_ORDER_DVGAMMA_BOUND_NONCLAIM,SRC4301_03_1533_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1533-Y5-vacuum-subtracted-stationary-source-double-zero-contract.md,True,VAC1533_4_local_lock,True,1533 parent double-zero contract and local lock requirement.,False,False
4301,MTS_R2FR_Y5_PARENT_DOUBLE_ZERO_LOCK_OR_SECOND_ORDER_DVGAMMA_BOUND_ROW_4301,2026-07-03T17:26:58+00:00,PARENT_DOUBLE_ZERO_LOCK_REDUCED_TO_POSITIVE_OPERATOR_NOHAIR_OR_SECOND_ORDER_DVGAMMA_BOUND_NONCLAIM,SRC4301_04_1533_chain,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1533-Y5-vacuum-subtracted-stationary-source-double-zero-contract.md,True,DZD1533_4_chain_silence,True,1533 chain-silence theorem for algebraic m/Lcg coefficients.,False,False
4301,MTS_R2FR_Y5_PARENT_DOUBLE_ZERO_LOCK_OR_SECOND_ORDER_DVGAMMA_BOUND_ROW_4301,2026-07-03T17:26:58+00:00,PARENT_DOUBLE_ZERO_LOCK_REDUCED_TO_POSITIVE_OPERATOR_NOHAIR_OR_SECOND_ORDER_DVGAMMA_BOUND_NONCLAIM,SRC4301_05_1533_lock,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1533-Y5-vacuum-subtracted-stationary-source-double-zero-contract.md,True,LOCK1533_0_operator,True,1533 positive-operator/no-hair lock target.,False,False
4301,MTS_R2FR_Y5_PARENT_DOUBLE_ZERO_LOCK_OR_SECOND_ORDER_DVGAMMA_BOUND_ROW_4301,2026-07-03T17:26:58+00:00,PARENT_DOUBLE_ZERO_LOCK_REDUCED_TO_POSITIVE_OPERATOR_NOHAIR_OR_SECOND_ORDER_DVGAMMA_BOUND_NONCLAIM,SRC4301_06_124_extremality,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\124-fixed-point-extremality-origin.md,True,double_zero_parent_derived = false,True,Older fixed-point audit keeps scalar double-zero origin unsigned.,False,False
4301,MTS_R2FR_Y5_PARENT_DOUBLE_ZERO_LOCK_OR_SECOND_ORDER_DVGAMMA_BOUND_ROW_4301,2026-07-03T17:26:58+00:00,PARENT_DOUBLE_ZERO_LOCK_REDUCED_TO_POSITIVE_OPERATOR_NOHAIR_OR_SECOND_ORDER_DVGAMMA_BOUND_NONCLAIM,SRC4301_07_79_fixed_point,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\79-local-fixed-point-mechanism.md,True,local_fixed_point_mechanism_conditional_closure_not_parent_derived,True,"Local fixed-point mechanism exists as closure, not parent theorem.",False,False
4301,MTS_R2FR_Y5_PARENT_DOUBLE_ZERO_LOCK_OR_SECOND_ORDER_DVGAMMA_BOUND_ROW_4301,2026-07-03T17:26:58+00:00,PARENT_DOUBLE_ZERO_LOCK_REDUCED_TO_POSITIVE_OPERATOR_NOHAIR_OR_SECOND_ORDER_DVGAMMA_BOUND_NONCLAIM,SRC4301_08_3534_origin,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3534-Y5-R2FR-MTS-variable-to-local-EH-quotient-map-and-double-zero-origin.md,True,representation_norm_square_route_identified,True,"Best double-zero origin route: representation/norm-square, parent unsigned.",False,False
4301,MTS_R2FR_Y5_PARENT_DOUBLE_ZERO_LOCK_OR_SECOND_ORDER_DVGAMMA_BOUND_ROW_4301,2026-07-03T17:26:58+00:00,PARENT_DOUBLE_ZERO_LOCK_REDUCED_TO_POSITIVE_OPERATOR_NOHAIR_OR_SECOND_ORDER_DVGAMMA_BOUND_NONCLAIM,SRC4301_09_3902_runner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\3902-Y5-R2FR-second-order-gamma-bound-and-stationary-Gdot-calibration.md,True,GAM3902_3_gamma2,True,Existing second-order gamma runner pattern.,False,False
4301,MTS_R2FR_Y5_PARENT_DOUBLE_ZERO_LOCK_OR_SECOND_ORDER_DVGAMMA_BOUND_ROW_4301,2026-07-03T17:26:58+00:00,PARENT_DOUBLE_ZERO_LOCK_REDUCED_TO_POSITIVE_OPERATOR_NOHAIR_OR_SECOND_ORDER_DVGAMMA_BOUND_NONCLAIM,SRC4301_10_4293_requirements,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4293_REQUIRED_SUPPRESSION_ROWS.csv,True,REQ4293_WEP,True,4293 imported local precision gates.,False,False
