branch_id,valid_for_claim,claim_allowed,generated_utc,action_id,object,role,status,missing_before_claim,parent_signed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:58:49.149858+00:00,PQA2015_0_template,S_A^(2)=1/2 int deltaA L_A deltaA + int kappa_A deltaA_a^mu J_A^a_mu + S_gauge + S_boundary,candidate parent quadratic action row for finite A-frame hair,FORMAL_TEMPLATE_ONLY,parent action block and field normalization missing,false
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:58:49.149864+00:00,PQA2015_1_background_zero,E_A[bar A]=0,local GR background must solve the A equation before perturbing it,MISSING_BACKGROUND_EQUATION,no parent A Euler equation or background branch is signed,false
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:58:49.149869+00:00,PQA2015_2_residue,Z_A,quadratic residue/kinetic coefficient; must have healthy sign or be gauge/constraint-only,MISSING_PARENT_RESIDUE,ghost/anti-elliptic branches not excluded,false
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:58:49.149872+00:00,PQA2015_3_mass_range,M_A^2 and lambda_A,range rule lambda_A=sqrt(Z_A/M_A^2) or hbar/(M_A c) after units are declared,MISSING_PARENT_RANGE_RELATION,"no mass gap, screening length, or compact support rule",false
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:58:49.149876+00:00,PQA2015_4_source_current,J_A^a_mu,source current that couples to A and defines Q_A/Pi_A boundary charge,MISSING_SOURCE_CURRENT,"source units, boundary variation, and source neutrality not derived",false
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:58:49.149880+00:00,PQA2015_5_coupling,kappa_A,normalization coupling between J_A and A response,MISSING_PARENT_COUPLING,cannot map Q_A to C_A without kappa_A and convention,false
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:58:49.149883+00:00,PQA2015_6_gauge_constraints,split-gauge/local-Lorentz/diffeomorphism constraints,must remove unphysical A representatives and avoid extra local modes,MISSING_CONSTRAINT_ALGEBRA,no first-class/no-pole theorem signed,false
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:58:49.149886+00:00,PQA2015_7_metric_projection,P_00^A and P_PPN^A,projection from A perturbation to h_00 and PPN/vector observables,MISSING_METRIC_PROJECTION,cannot compare finite A hair to Newton/PPN/clock without this,false
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:58:49.149890+00:00,PQA2015_8_two_body_source_test,source leg times test/readout leg,R10/force comparisons require source and test charges unless Q_A already encodes a worldtube response,COUPLING_SPLIT_REQUIRED,source/test split or worldtube normalization not declared,false
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:58:49.149893+00:00,PQA2015_9_verdict,parent quadratic A action row,The action row is not owned by the current corpus; finite A remains a nonclaim prior/residual branch.,PARENT_QUADRATIC_A_NOT_DERIVED,try no-physical-A-pole theorem or finite prior envelope next,false
