source_file,role,exists
563-Y5-R10-real-bound-curve-acquisition-and-alpha-row-smoke-runner.md,upstream real-anchor/non-claim R10 data gate,True
562-Y5-R10-ZX-lambda-mass-gap-and-bound-curve-fill-or-theorem-zero.md,lambda_X and K_X conditional derivation,True
561-Y5-R10-source-test-charge-and-PiM-projection-zero-or-coefficient-fill.md,R10 numerator factorization and zero-route failure,True
384-parent-action-first-variation-obstruction-map.md,observed-coframe pullback obstruction,True
382-parent-local-action-minimal-contract.md,minimal parent action block list and bulk-X identity contract,True
380-bulk-X-mass-gap-source-normalized-force-law.md,bulk-X no-hair/Yukawa fallback contract,True
source-intake/mts_residuals/P8_Y5_R10_ZX_LAMBDA_PREFACtOR_FORMULA_REGISTER.csv,562 formula register,True
source-intake/mts_residuals/P8_Y5_R10_NUMERATOR_COEFFICIENT_VECTOR.csv,561 numerator coefficient vector,True
source-intake/mts_residuals/P8_Y5_R10_ALPHA_LAW_PARENT_INPUTS.csv,560 parent input debt ledger,True
source-intake/mts_residuals/P8_Y5_BRR545_563_VALIDATION.csv,prior validation gate,True
source-intake/mts_residuals/R10_alpha_lambda_curve_MTS_source_normalization.csv,live MTS placeholder curve retained unchanged,True
source-intake/local_bounds/R10_alpha_lambda_bound_curve_DIGITIZED.csv,live bound placeholder file retained unchanged,True
scripts/R10_alpha_lambda_bound_prediction_runner.py,existing R10 runner reused as guardrail,True
scripts/Y5_R10_parent_hessian_source_zero_attempt.py,this checkpoint generator,True
