timestamp_utc,branch_id,valid_for_claim,source_id,source_kind,source_path,status,needles,note,claim_allowed
2026-06-20T12:15:49.652614+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,SRC2059_00_2058_doc,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2058-Y5-R2FR-parent-radial-cell-owner-or-local-closure-baseline.md,EXISTS_NEEDLES_CONFIRMED,NEXT2058_0_2059;local_closure_baseline;FAG2058_0_C_R_profile,2058 handoff into closure scorecard and finite acquisition pack.,False
2026-06-20T12:15:49.652951+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,SRC2059_01_2058_next,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2058_NEXT_TARGET.csv,EXISTS_NEEDLES_CONFIRMED,NEXT2058_0_2059;closure branch flags;finite residual rows from FAG2058,machine-readable 2059 target.,False
2026-06-20T12:15:49.653313+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,SRC2059_02_2058_closure,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2058_LOCAL_CLOSURE_BASELINE.csv,EXISTS_NEEDLES_CONFIRMED,LCB2058_0_branch;local_closure_baseline;derived_local_GR,closure branch flags and hard refusals.,False
2026-06-20T12:15:49.654080+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,SRC2059_03_2058_finite,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2058_FINITE_ACQUISITION_GATES.csv,EXISTS_NEEDLES_CONFIRMED,FAG2058_0_C_R_profile;MISSING_PROFILE_OR_ZERO_THEOREM;FAG2058_9_q_loc_profile,finite residual acquisition gates.,False
2026-06-20T12:15:49.654518+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,SRC2059_04_2058_runner,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2058_BRANCH_RUNNER.csv,EXISTS_NEEDLES_CONFIRMED,RUN2058_VERDICT;PARENT_OWNER_NOT_DERIVED_CLOSURE_BASELINE_ONLY,2058 runner demotion to closure/control.,False
2026-06-20T12:15:49.654917+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,SRC2059_05_2053_qR_bound,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2053_QR_BOUND_ROWS_NONCLAIM.csv,EXISTS_NEEDLES_CONFIRMED,QB2053_0_areal_qR_conservative;6.7e-05;CONDITIONAL_BOUND_ROW_NONCLAIM,"Cassini-backed q_R^PPN bound row, still nonclaim.",False
2026-06-20T12:15:49.655341+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,SRC2059_06_2057_schema,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2057_STRICT_FINITE_SOURCE_SCHEMA.csv,EXISTS_NEEDLES_CONFIRMED,FSR2057_0_ZR_infty;MISSING_Z_R_INFTY_OR_PARENT_ZERO_THEOREM;FSR2057_8_q_loc_profile,strict finite source schema from 2057.,False
2026-06-20T12:15:49.655835+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,SRC2059_07_1278_firewall,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1278-Y5-R10-RAB-explicit-local-closure-runner-and-A511-origin-priority-ladder.md,EXISTS_NEEDLES_CONFIRMED,local_closure_baseline;closure_only=true;BR1278_0_local_closure_baseline,prior local closure firewall.,False
2026-06-20T12:15:49.656438+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,SRC2059_08_2049_finite,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2049-Y5-R2FR-motion-load-parent-Euler-difference-or-RAB-finite-residual.md,EXISTS_NEEDLES_CONFIRMED,RAB2049_VERDICT;STAGED_NOT_SCOREABLE;MISSING_ARENA_PROJECTIONS,R2FR finite R_AB residual schema and arena links.,False
2026-06-20T12:15:49.656789+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,False,SRC2059_09_2054_guards,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2054-Y5-R2FR-PPN-gamma-gauge-readout-tail-zero-or-qR-profile-source-row.md,EXISTS_NEEDLES_CONFIRMED,QRP2054_0_areal_profile;QRP2054_1_PiR_boundary;RUN2054,q_R/Pi_R guard closure and profile-row source state.,False
