branch_id,source_id,source_key,source_path,exists,needles,needles_present,role
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_0_1784_handoff,1784_handoff_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1784-Y5-R2FR-parent-Omega-DCX-vertical-action-packet-or-DqZ-geometry-row.md,True,ODP1784_8_verdict;OVT1784_0_DCadjoint_map;NEXT1784_0_primary,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_1_1784_validation,1784_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1784_VALIDATION.csv,True,VAL1784_OVERALL;PASS,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_2_1784_packet_gate,1784_omega_dcx_vertical_packet_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1784_OMEGA_DCX_VERTICAL_PACKET_GATE.csv,True,ODP1784_1_theta_omega;ODP1784_8_verdict,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_3_1784_theorem,1784_vertical_packet_theorem_attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1784_VERTICAL_PACKET_THEOREM_ATTEMPT.csv,True,OVT1784_0_DCadjoint_map;OVT1784_3_current_verdict,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_4_1784_dqz_geometry,1784_dqz_geometry_row_schema,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1784_DQZ_GEOMETRY_ROW_SCHEMA.csv,True,DZG1784_0_eobs_metric;DZG1784_3_total_abs,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_5_592_noether_formula,592_noether_pj_origin_formula,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_592_NOETHER_PJ_ORIGIN_FORMULA.csv,True,NPJ592_0_parent_variation;NPJ592_1_vertical_quasi_symmetry;NPJ592_2_Noether_current;NPJ592_3_PJ_split;NPJ592_4_constraint_density;NPJ592_5_momentum_map_condition,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_6_592_parent_origin,592_pj_parent_origin_attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_592_PJ_PARENT_ORIGIN_ATTEMPT.csv,True,PJA592_0_GR_EH_template;PJA592_1_affine_Vdef_block;PJA592_5_current_verdict,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_7_592_improvement,592_improvement_ambiguity_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_592_IMPROVEMENT_AMBIGUITY_GATE.csv,True,IAG592_0_superpotential_improvement;IAG592_4_matter_improper_charge,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_8_592_edge_plan,592_edge_coefficient_source_plan,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_592_EDGE_COEFFICIENT_SOURCE_PLAN.csv,True,ESP592_0;ESP592_2,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_9_593_parent_candidates,593_minimal_parent_fill_candidates,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_593_MINIMAL_PARENT_FILL_CANDIDATES.csv,True,MPF593_A_diffeomorphism_parent;MPF593_B_strict_quotient_zero;MPF593_C_affine_topological_block;MPF593_D_EH_plus_quotient_extra,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_10_593_theta_mu_vx,593_theta_mu_vx_filled_forms,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_593_THETA_MU_VX_FILLED_FORMS.csv,True,TMV593_0_EH_theta;TMV593_1_extra_theta;TMV593_2_matter_theta;TMV593_3_muX,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_11_593_extraction,593_pj_extraction_test,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_593_PJ_EXTRACTION_TEST.csv,True,PJE593_0_diffeo_extracts_PJ;PJE593_1_quotient_zero_extracts_zero;PJE593_2_affine_block_not_origin;PJE593_3_hybrid_needs_split,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_12_593_edge_inputs,593_edge_coefficient_input_rows,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_593_EDGE_COEFFICIENT_INPUT_ROWS.csv,True,ECI593_0;ECI593_2,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_13_728_omega,728_parent_omega_candidate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_728_PARENT_OMEGA_CANDIDATE.csv,True,OM728_0_covariant_variation_definition;OM728_4_reduced_Omega,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_14_728_dcdagger,728_dcdagger_formula,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_728_DCDAGGER_FORMULA.csv,True,DCA728_0_formal_pairing;DCA728_4_compare_to_Omega_flat,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1785_15_728_blocker,728_parent_ownership_blocker,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_728_PARENT_OWNERSHIP_BLOCKER.csv,True,POB728_0_L_parent;POB728_1_theta_mu_vX;POB728_2_PJ_from_one_current,True,1785 parent Lagrangian/theta/vX minimal-fill and Dq_Z fallback evidence
