source_id,description,source_class,source_path,exists,needles_present,missing_needles,valid_for_claim
SRC2731_0_2730_handoff,handoff selecting deep parent-action source hunt,handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2730-Y5-R2FR-memory-first-source-row-acquisition-or-local-test-refusal-smoke-under-AX1090-closure.md,True,True,,False
SRC2731_1_57_owner_contract,early memory action-owner contract,original_action_sketch,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\57-memory-action-owner-contract.md,True,True,,False
SRC2731_2_136_potential_owner,memory potential owner attempt,original_action_sketch,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\136-memory-action-potential-owner-attempt.md,True,True,,False
SRC2731_3_137_auxiliary_owner,auxiliary/geometric memory action owner attempt,original_action_sketch,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\137-auxiliary-geometric-memory-action-owner.md,True,True,,False
SRC2731_4_296_positive_cg,positive coarse-graining parent action attempt,original_action_sketch,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\296-positive-coarse-graining-parent-action-attempt.md,True,True,,False
SRC2731_5_826_parent_action_ansatz,candidate memory-sector action slot,candidate_action_row,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_826_PARENT_ACTION_ANSATZ.csv,True,True,,False
SRC2731_6_970_quadratic_memory,minimal quadratic memory action construction,original_action_sketch,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\970-Y5-R10-minimal-quadratic-memory-action-construction-or-strict-residual-runner.md,True,True,,False
SRC2731_7_970_quadratic_csv,machine-readable 970 construction,candidate_action_row,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_970_QUADRATIC_MEMORY_ACTION_CONSTRUCTION.csv,True,True,,False
SRC2731_8_1025_second_variation,second variation contract for X-sector finite range,downstream_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1025_SECOND_VARIATION_DERIVATION.csv,True,True,,False
SRC2731_9_1981_signature_hunt,previous parent memory signature source hunt,wider_hunt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1981-Y5-R2FR-parent-memory-action-signature-source-hunt-or-closure-activation.md,True,True,,False
SRC2731_10_1983_top_review,top wider-corpus parent-action candidate review,wider_hunt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1983-Y5-R2FR-top-parent-action-candidate-review.md,True,True,,False
SRC2731_11_2216_hessian_signature,parent Hessian signature extraction,hessian_signature,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2216-Y5-R2FR-parent-Hessian-signature-extraction-or-null-bound-rows.md,True,True,,False
SRC2731_12_2216_hessian_csv,machine-readable parent Hessian signature extraction,hessian_signature,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2216_PARENT_HESSIAN_SIGNATURE_EXTRACTION.csv,True,True,,False
SRC2731_13_2710_parent_owner,AX1090 parent action owner source hunt,parent_object_status,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2710-Y5-R2FR-parent-action-owner-construction-source-hunt-or-falsifier-test.md,True,True,,False
SRC2731_14_2712_local_EH_rollforward,current local EH rollforward under AX1090 closure,local_gr_status,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2712-Y5-R2FR-A511-local-EH-fixed-point-rollforward-under-AX1090-closure.md,True,True,,False
SRC2731_15_2728_memory_operator,memory positive-operator local silence attempt,direct_handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2728-Y5-R2FR-memory-positive-operator-local-silence-or-residual-row-under-AX1090-closure.md,True,True,,False
SRC2731_16_2729_parent_memory_signature,parent memory signature contract plus finite residual interface,direct_handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2729-Y5-R2FR-parent-memory-signature-contract-plus-finite-local-residual-interface-under-AX1090-closure.md,True,True,,False
