source_id,source_path,path_exists,anchor,anchor_found,role,valid_for_claim,claim_allowed
SRC1433_0_1432_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1432_NEXT_TARGET.csv,True,NEXT1432_0_1433,True,1432 handoff selecting parent quotient functor construction.,False,False
SRC1433_1_1432_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1432_VALIDATION.csv,True,VAL1432_8_overall,True,1432 validation summary.,False,False
SRC1433_2_branch_id,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\branch_id.csv,True,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,branch lock row.,False,False
SRC1433_3_1432_status,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\QT_zero_route_status.csv,True,CLOSURE_ONLY_NOT_DERIVED,True,Q_T zero route closure-only status.,False,False
SRC1433_4_407_parent_sketch,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\407-primitive-relational-quotient-action-sketch.md,True,S_matter_quotient_functor,True,primitive relational quotient action sketch.,False,False
SRC1433_5_410_functor_attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\410-quotient-matter-functor-theorem-attempt.md,True,parent quotient object,True,quotient-matter functor theorem attempt.,False,False
SRC1433_6_626_signature,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_626_SIGNATURE_LEDGER.csv,True,QMS626_0_q_object,True,q object and vertical kernel remain unsigned.,False,False
SRC1433_7_760_descent_gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_760_DESCENT_SIGNATURE_GATE.csv,True,DSG760_1_vertical_kernel,True,local vertical kernel descent gate.,False,False
SRC1433_8_864_split,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_864_PARENT_CLAUSE_CANDIDATE.csv,True,PC864_5_total_verdict,True,local/global split not promoted.,False,False
SRC1433_9_1431_import_schema,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\branch_locked_wep\coefficients\C_parent_import_schema.csv,True,zero_certificate_status,True,fallback C_parent import schema.,False,False
