source_id,source_type,path_or_url,exists_or_recorded,needle,needle_found,role,timestamp_utc
SRC4084_00_4083_next,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4083_NEXT_TARGET.csv,True,4084-Y5-R2FR-kappa-G-source-denominator-to-Newton-Poisson-gate.md,True,4083 selected kappa/G/source denominator to Newton/Poisson gate.,2026-07-02T03:38:12+00:00
SRC4084_01_4083_em_contract,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4083_STANDARD_VISIBLE_EM_IMPORT_CONTRACT.csv,True,calibrated_standard_visible_EM,True,4083 removes alpha/charge loop from local GR branch by calibrated visible EM import.,2026-07-02T03:38:12+00:00
SRC4084_02_4080_kappa,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4080_KAPPA_TOPOLOGICAL_THEOREM.csv,True,EXACT_CONDITIONAL_CONSTANT_KAPPA_THEOREM,True,4080 supplies constant-kappa theorem and the warning that numerical G is not derived.,2026-07-02T03:38:12+00:00
SRC4084_03_4080_bounds,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4080_GDOT_AND_G_CALIBRATION_BOUNDS.csv,True,BOUND4080_1_CODATA_G_calibration,True,4080 supplies Gdot/G and CODATA G calibration residual scales.,2026-07-02T03:38:12+00:00
SRC4084_04_4062_contract,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4062_NEWTON_GR_REDUCTION_CONTRACT.csv,True,nabla^2 Phi = 4*pi*G_N*rho_H,True,4062 states the EH/same-source Newton reduction contract.,2026-07-02T03:38:12+00:00
SRC4084_05_4062_cnorm,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4062_CNORM_NEWTON_G_CALIBRATION_LAW.csv,True,G_N := c^4 kappa_eff/(8*pi),True,4062 records the allowed universal G calibration and forbids derivative hair.,2026-07-02T03:38:12+00:00
SRC4084_06_4063_poisson,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4063_NEWTON_POISSON_DERIVATION.csv,True,NEWTON_POISSON_LIMIT_CONDITIONAL,True,4063 already derives the weak-field Poisson coefficient conditionally.,2026-07-02T03:38:12+00:00
SRC4084_07_4063_ppn,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4063_PPN_READOUT_VECTOR.csv,True,Delta_PPN_abs,True,4063 records that Newton is not yet full PPN/local GR.,2026-07-02T03:38:12+00:00
SRC4084_08_4015_theorem,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4015_GAUSS_POISSON_GREF_NEWTON_THEOREM.csv,True,OVERCLAIM_GUARD_EXACT,True,4015 prevents orbital GM laundering and states Gauss/Poisson/Newton theorem.,2026-07-02T03:38:12+00:00
SRC4084_09_4015_audit,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4015_SOURCE_NORMALIZATION_AUDIT.csv,True,GUARD_LOCKED,True,4015 source audit locks anti-laundering while keeping parent clauses unsigned.,2026-07-02T03:38:12+00:00
SRC4084_10_4015_residuals,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4015_NEWTON_BRIDGE_FINITE_ROWS.csv,True,epsilon_Newton_bridge_4015,True,4015 finite rows provide no-cancellation Newton bridge residual vector.,2026-07-02T03:38:12+00:00
SRC4084_11_4072_reduction,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4072_EH_NEWTON_PPN_REDUCTION_CONTRACT.csv,True,CONDITIONAL_LINK_TO_4063,True,4072 links the observed coframe/EH branch to 4063 Newton/PPN readout.,2026-07-02T03:38:12+00:00
SRC4084_12_4081_source,local_file,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4081_SOURCE_COUPLING_WEP_THEOREM.csv,True,EXACT_CONDITIONAL_UNIVERSAL_HILBERT_SOURCE_THEOREM,True,4081 supplies universal Hilbert source theorem but not parent promotion.,2026-07-02T03:38:12+00:00
WEB4084_0_nist_codata_G,web_source,https://physics.nist.gov/cgi-bin/cuu/Value?bg=,True,G = 6.67430(15)e-11 m^3 kg^-1 s^-2; relative standard uncertainty 2.2e-5,True,calibrated Newtonian G value and uncertainty,2026-07-02T03:38:12+00:00
WEB4084_1_LLR_Gdot,web_source,https://doi.org/10.1103/PhysRevLett.93.261101,True,Gdot/G = (4 +/- 9)e-13 yr^-1,True,finite G/kappa drift residual scale,2026-07-02T03:38:12+00:00
