row_id,MTS_symbols,sector,action_placement,kinetic_signature,Hessian_or_gap_status,derivative_order,positive_energy_route,epsilon_neg_bucket,current_status,claim_allowed,valid_for_claim,timestamp_utc
SIG3949_0_metric,g_obs/g_readout,EH spin-2/readout metric,A511_0_EH_core;A511_6_metric_readout,GR_REDUCED_PHASE_SPACE_POSITIVE_CONDITIONAL,not applicable except constraints,second order,baseline_positive_conditional,not epsilon_neg,CONDITIONAL_BASELINE_NOT_FULL_MTS_PROOF,False,False,2026-07-01T13:34:29+00:00
SIG3949_1_kappa,kappa_eff/A_3,topological coupling sector,A511_1_kappa_topological,NO_PROPAGATING_KINETIC_IF_TOPOLOGICAL,constraint fixes d kappa=0,topological first order constraint,zero local energy if adopted,source_norm_shift if not adopted,CONDITIONAL_ZERO_ROUTE,False,False,2026-07-01T13:34:29+00:00
SIG3949_2_Gamma_Khat,Gamma_eff/K_hat/q_loc,local residual stress/connection sector,A511_3_extra_field_silence;A511_5_boundary_reference,MISSING_GK_KINETIC_SIGNATURE,MISSING_GK_HESSIAN_OR_BOUNDARY_EXACTNESS,candidate second order/boundary,positive auxiliary candidate only,epsilon_nonminimal_counterterm,CONCRETE_EPSILON_ROW_REQUIRED,False,False,2026-07-01T13:34:29+00:00
SIG3949_3_domain_projector,chi_D/Qcoh/u/h/X/P_loc,domain/projector/selector sector,A511_4_domain_projector_selector,MISSING_SELECTOR_CONSTRAINT_SIGNATURE,conditional local-zero but parent unsigned,algebraic/constraint preferred; kinetic dangerous,zero if algebraic constraint signed,epsilon_parent_exchange,CONCRETE_EPSILON_ROW_REQUIRED,False,False,2026-07-01T13:34:29+00:00
SIG3949_4_memory,memory/B_mem/U_mem/I_M,memory/nonlocal activation sector,A511_3_extra_field_silence;A511_4_domain_projector_selector,MISSING_MEMORY_KERNEL_SIGNATURE,MISSING_POSITIVE_KERNEL_OR_DOUBLE_ZERO,nonlocal/auxiliary unknown,positive kernel or double-zero needed,epsilon_material_unsigned,CONCRETE_EPSILON_ROW_REQUIRED,False,False,2026-07-01T13:34:29+00:00
SIG3949_5_mass_projector,Pi_M/Q_M/M_eff/M_source,mass projector/source charge readout,A511_6_metric_readout;worldtube source-measure glue,not propagating field,first variation must vanish,projector/readout,zero if Pi_M=Pi_EH and dPi_M=0,epsilon_source_norm_shift,CONCRETE_EPSILON_ROW_REQUIRED,False,False,2026-07-01T13:34:29+00:00
SIG3949_6_Maxwell,A_mu/F_mu_nu/T_EM,descended Maxwell field stress,A511_2_universal_matter;3906 Maxwell bridge,POSITIVE_IF_MAXWELL_DESCENT_SIGNED,no tachyon for Maxwell; domain still needed,second order gauge with constraints,E_pos if descent/domain signed,epsilon_closed not epsilon_neg for flux,POSITIVE_ROUTE_DESCENT_UNSIGNED,False,False,2026-07-01T13:34:29+00:00
SIG3949_7_matter_binding,matter/binding/stabilizer,ordinary matter plus binding support,A511_2_universal_matter;3821 total stress,ordinary positive matter plus bounded binding,virial/closed total source needed,matter EFT,E_pos plus epsilon_binding_neg,epsilon_binding_neg,CONCRETE_EPSILON_ROW_REQUIRED,False,False,2026-07-01T13:34:29+00:00
SIG3949_8_material_theta,theta/material/source labels,material response and source normalization,source normalization/superselection sector,MISSING_THETA_SIGNATURE,missing material response descent,algebraic/material EFT,zero if source-normalization superselected,epsilon_material_unsigned;epsilon_source_norm_shift,CONCRETE_EPSILON_ROW_REQUIRED,False,False,2026-07-01T13:34:29+00:00
SIG3949_9_boundary_counterterm,boundary/reference/counterterm,boundary and improvement energy,A511_5_boundary_reference,not propagating if fixed/topological,fixed/source-blind or bounded below,boundary/exact/topological,zero or bounded if fixed branch signed,epsilon_nonminimal_counterterm;epsilon_closed,CONCRETE_EPSILON_ROW_REQUIRED,False,False,2026-07-01T13:34:29+00:00
SIG3949_10_transition_scale,L_cg/ell_tr,activation/transition scale,FP511_8 local-cosmology transition control,not direct Hamiltonian field unless promoted,derive from mass-gap/spectrum/source compactness,derived scale,no energy if derived parameter,unification branch-switch residual,OPEN_DERIVED_SCALE_ROUTE,False,False,2026-07-01T13:34:29+00:00
