branch_id,valid_for_claim,claim_allowed,generated_utc,source_id,source_path,needed_for,needles,exists,anchor_found,missing_needles,status,note
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:09:59.695849+00:00,SRC2005_00_2004_handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2004-Y5-R2FR-parent-Hilbert-source-signature-or-finite-nonmetric-coefficient-ledger.md,2005 parent-action clause extraction for local-GR signature,SIG2004_0_single_observed_metric;NEXT2004_0_2005;VAL2004_OVERALL,True,True,,EXISTS_NEEDLES_CONFIRMED,2004 local-GR/Newton/WEP conditional chain and clause audit handoff.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:09:59.696705+00:00,SRC2005_01_1030_spm,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1030-Y5-R10-single-public-metric-parent-action-derivation-or-cg-provenance-gate.md,2005 parent-action clause extraction for local-GR signature,SPM1030_0_public_metric_object;SPM1030_6_contract_verdict;SPD1030_6_verdict,True,True,,EXISTS_NEEDLES_CONFIRMED,single-public-metric and no-shadow-frame parent-action contract.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:09:59.697663+00:00,SRC2005_02_1065_no_source_slot,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1065-Y5-R10-no-source-only-slot-parent-grammar-or-first-relative-weight-numeric-row.md,2005 parent-action clause extraction for local-GR signature,PGG1065_1_no_inert_species_scalar;PGG1065_5_verdict;CG1065_1_theorem_zero_Delta_w,True,True,,EXISTS_NEEDLES_CONFIRMED,no-source-only species slot grammar and WEP weight gate.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:09:59.698496+00:00,SRC2005_03_1066_source_scalar,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1066-Y5-R10-parent-action-syntax-source-scalar-exclusion-or-WEP-Delta-w-prior-width.md,2005 parent-action clause extraction for local-GR signature,SSE1066_5_verdict;OLT1066_4_inert_source_scalar;FMQ1066_4_verdict,True,True,,EXISTS_NEEDLES_CONFIRMED,source-scalar exclusion and action-scale/measure obstruction.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:09:59.699342+00:00,SRC2005_04_1078_owner_stack,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1078-Y5-R10-parent-action-object-language-measure-current-owner-proof-stack.md,2005 parent-action clause extraction for local-GR signature,OL1078_4_verdict;AM1078_4_verdict;CO1078_4_verdict,True,True,,EXISTS_NEEDLES_CONFIRMED,"object-language, action-measure, and current-owner proof stack."
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:09:59.700151+00:00,SRC2005_05_1090_MOMS,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1090-Y5-R10-MOMS-parent-action-synthesis-or-explicit-missing-axiom-ledger.md,2005 parent-action clause extraction for local-GR signature,SYN1090_8_verdict;AX1090_4_variation_domain_order;CLOS1090_0_MOMS,True,True,,EXISTS_NEEDLES_CONFIRMED,MOMS synthesis and missing-axiom ledger.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:09:59.700965+00:00,SRC2005_06_1937_hilbert,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1937-Y5-R2FR-parent-Hilbert-source-coupling-signature-or-nonmetric-source-coefficient-ledger.md,2005 parent-action clause extraction for local-GR signature,ACT1937_1_minimal_matter_action;HST1937_3_verdict;NMC1937_0_species_source_weight,True,True,,EXISTS_NEEDLES_CONFIRMED,candidate Hilbert-source matter action and nonmetric source ledger.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:09:59.701645+00:00,SRC2005_07_1938_ward_newton,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1938-Y5-R2FR-Bianchi-Ward-conservation-and-Newtonian-limit-of-candidate-Hilbert-action.md,2005 parent-action clause extraction for local-GR signature,WB1938_0_matter_ward_identity;NL1938_1_EH_to_Poisson;GOB1938_0_operator_owner,True,True,,EXISTS_NEEDLES_CONFIRMED,Ward/Bianchi conservation and conditional Newtonian source limit.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:09:59.702956+00:00,SRC2005_08_1939_operator,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1939-Y5-R2FR-parent-gravity-operator-EH-or-R11-residual-Newtonian-law.md,2005 parent-action clause extraction for local-GR signature,EH1939_2_Poisson;R111939_0_field_equation;CG1939_1_parent_EH_derivation,True,True,,EXISTS_NEEDLES_CONFIRMED,EH/kappa candidate and explicit R11 residual slot.
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,false,false,2026-06-20T04:09:59.704974+00:00,SRC2005_09_1940_lovelock,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1940-Y5-R2FR-EH-uniqueness-Lovelock-gate-or-R11-residual-operator.md,2005 parent-action clause extraction for local-GR signature,LOV1940_1_metric_only;EHU1940_2_local_GR_branch;CG1940_2_parent_assumptions,True,True,,EXISTS_NEEDLES_CONFIRMED,Lovelock/EH uniqueness assumptions and residual branch.
