row_id,source_key,source_path,exists,needle_spec,needles_found,source_role,valid_for_claim
SRC2771_00_2770_next,2770_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2770_NEXT_TARGET.csv,True,NEXT2770_0_2771,True,2770 handoff,False
SRC2771_01_2770_proof,2770_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2770_SOURCE_FORGETTING_THEOREM_ATTEMPT.csv,True,THM2770_5_verdict,True,current R2/f(R) theorem verdict,False
SRC2771_02_2770_owner,2770_owner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2770_NOETHER_SOURCE_OWNER_AUDIT.csv,True,NO2770_2_Noether_current_owner,True,current R2/f(R) owner audit,False
SRC2771_03_2770_prior,2770_prior,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2770_RELATIVE_WEIGHT_PRIOR_MATRIX.csv,True,RWP2770_4_delta_w_R10,True,current R2/f(R) relative-weight prior,False
SRC2771_04_2770_template,2770_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2770_RELATIVE_WEIGHT_PRODUCT_TEMPLATE_NONCLAIM.csv,True,PRED2770_0_WEP_relative_source_weight,True,current R2/f(R) product template,False
SRC2771_05_1064_doc,1064_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1064-Y5-R10-parent-category-label-forgetting-proof-or-relative-weight-runner-fill.md,True,PLF1064_5_verdict,True,prior R10 label-forgetting proof/runner fill,False
SRC2771_06_1064_proof,1064_proof,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1064_LABEL_FORGETTING_PROOF_ATTEMPT.csv,True,PLF1064_5_verdict,True,prior proof attempt,False
SRC2771_07_1064_slot,1064_slot,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1064_NO_SOURCE_ONLY_SLOT_AUDIT.csv,True,NSS1064_2_relative_weight,True,prior no-source-only-slot audit,False
SRC2771_08_1064_req,1064_requirements,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1064_NUMERIC_SOURCE_REQUIREMENTS.csv,True,REQ1064_0_WEP_species,True,prior numeric requirements,False
SRC2771_09_1064_guard,1064_guard,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1064_COMMON_MODE_GUARD.csv,True,CMG1064_0_common_absorption,True,prior measured-G common-mode guard,False
SRC2771_10_1064_template,1064_template,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1064_RELATIVE_WEIGHT_PRODUCT_TEMPLATE_NONCLAIM.csv,True,PRED1064_0_WEP_relative_source_weight,True,prior product templates,False
SRC2771_11_1064_bound,1064_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1064_RELATIVE_WEIGHT_BOUND_IMPORT.csv,True,BOUND1064_0_WEP_source_charge,True,prior bound import,False
SRC2771_12_954_label_forgetting,954_label_forgetting,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_954_PARENT_LABEL_FORGETTING_ATTEMPT.csv,True,PLF954_5_verdict,True,parent label-forgetting attempt,False
SRC2771_13_954_parent_clause,954_parent_clause,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_954_PARENT_ACTION_CLAUSE.csv,True,PAC954_1_no_source_prefactors,True,no source-prefactor clause,False
SRC2771_14_954_bound_targets,954_bound_targets,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_954_SOURCE_FUNCTOR_BOUND_TARGETS.csv,True,SCB954_2_WEP_surface_beta_source,True,older species-weight bound targets,False
