checkpoint,source_id,path,path_exists,needle,needle_found,line_number,role
4336,SRC4336_00_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4335_NEXT_TARGET.csv,True,open-tail Pi_PPN,True,2,4335 handoff: derive open-tail Pi_PPN before R10 pivot.
4336,SRC4336_01_4334_Topen,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\350-PPC4161-local-test-projection-matrix-source-contract-or-R10-PPN-smoke-runner.md,True,T_open :=,True,16,Open-tail vector basis feeding local arena projections.
4336,SRC4336_02_4335_metric_blocker,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\351-PPC4161-first-source-backed-PiPPN-or-R10-alpha-lambda-projection-row.md,True,MISSING_LOCAL_METRIC_TRANSFER_MATRIX,True,68,Open-tail PPN numeric scoring blocker from 4335.
4336,SRC4336_03_59_chain,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\59-local-ppn-branch-framework.md,True,"q_loc^nu nonzero -> K_tr,loc",True,20,Local branch chain from q_loc to tensor source to metric observables.
4336,SRC4336_04_61_K_ansatz,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\61-local-ppn-tensor-ansatz.md,True,"K_L,loc^{mu nu}[A] =",True,60,Longitudinal symmetric tensor ansatz.
4336,SRC4336_05_61_box,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\61-local-ppn-tensor-ansatz.md,True,Box A_loc^nu = q_loc^nu.,True,94,Green-function equation for the longitudinal owner field.
4336,SRC4336_06_61_boundary,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\61-local-ppn-tensor-ansatz.md,True,inner and outer boundary conditions,True,181,Boundary data warning for A_loc Green solution.
4336,SRC4336_07_63_qbound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\63-local-q-profile-bound.md,True,|q_loc|,True,87,Physical q_loc source-amplitude bound.
4336,SRC4336_08_63_sppn,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\63-local-q-profile-bound.md,True,S_PPN ~ |q_loc| R_shell ell_tr^2 / u_shell.,True,132,Shell-scale PPN residual source proxy.
4336,SRC4336_09_64_limits,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\64-local-q-profile-bound-first-results.md,True,tightest_linear_M_tr_max_for_phi,True,66,Numerical pressure on linear and quadratic local memory profiles.
4336,SRC4336_10_66_extremum,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\66-local-extremum-amplitude-law-first-results.md,True,F_1 = F'(m_L) = 0,True,92,Conditional survival route for the q_loc source profile.
4336,SRC4336_11_79_double_zero,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\79-local-fixed-point-mechanism.md,True,This gives the required double zeros.,True,306,Conditional fixed-point mechanism that could source the local double zeros.
4336,SRC4336_12_88_lcg,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\88-Lcg-rule-gate.md,True,conditional_pass_count = 3,True,81,Coarse-graining rule gate relevant to ell_tr/L_cg.
