coefficient_id,symbol,definition,units,bound_interface,candidate_value,lower_bound,upper_bound,source_path,source_path_exists,finite_value_present,prediction_source_backed,accepted_for_scoring,no_cancellation_policy,checkpoint,branch_id,control_only,score_ready,valid_prediction_row,valid_for_claim,claim_allowed,generated_utc
COEF2970_0_eps_q_parent,eps_q_parent,failure of parent-owned q declaration before matter/readout,dimensionless,Dq_Z_norm <= eps_q_parent + eps_constraint + eps_factorization,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\parent-action\Parent_qmap_kernel_attempt_2911_NONCLAIM.csv,True,False,False,False,True,2970,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:30:46.148394+00:00
COEF2970_1_eps_constraint,eps_constraint,failure of constraint-first Z elimination/tangent proof,dimensionless,Dq_Z_norm <= eps_q_parent + eps_constraint + eps_factorization,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\parent-action\Parent_auxiliary_constraint_origin_2913_NONCLAIM.csv,True,False,False,False,True,2970,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:30:46.148394+00:00
COEF2970_2_eps_factorization,eps_factorization,failure of q|C_Z=qbar(Q_vis) and Q_vis constructor,dimensionless,Dq_Z_norm <= eps_q_parent + eps_constraint + eps_factorization,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\parent-action\Parent_qmap_kernel_attempt_2911_NONCLAIM.csv,True,False,False,False,True,2970,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:30:46.148394+00:00
COEF2970_3_eps_theta_basic,eps_theta_basic,failure of theta/coframe/measure basicness under v_Z,dimensionless_or_geometry_norm,J_A_bulk <= C_theta eps_theta_basic + ...,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\source-weight\RAB_DQZ_COMPONENT_INPUT_REQUIREMENTS_2886_NONCLAIM.csv,True,False,False,False,True,2970,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:30:46.148394+00:00
COEF2970_4_J_direct,J_direct,direct Z/source vertex in ordinary matter action,action_derivative_or_source_normalized,J_A_bulk <= C_matter Dq_Z_norm + |J_direct| + |J_spurion| + |J_nonH|,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\source-weight\RAB_PARENT_ACTION_SOURCE_NEUTRALITY_SCHEMA_2892_NONCLAIM.csv,True,False,False,False,True,2970,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:30:46.148394+00:00
COEF2970_5_J_spurion,J_spurion,source-only species/marker prefactor or post-quotient spurion,source_normalized,J_A_countermodel_tail <= K_spurion |J_spurion| + ...,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\wep-sources\no_species_action_weight_object_language_wip_2677.csv,True,False,False,False,True,2970,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:30:46.148394+00:00
COEF2970_6_J_nonH,J_nonH,non-Hilbert current bypass not owned by common matter action,source_normalized,J_A_countermodel_tail <= K_nonH |J_nonH| + ...,MISSING_SOURCE_BACKED_UPPER_BOUND,0,MISSING_SOURCE_BACKED_UPPER_BOUND,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\wep-sources\action_scale_measure_owner_wip_nonclaim_2676.csv,True,False,False,False,True,2970,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:30:46.148394+00:00
COEF2970_7_C_Obs_e,C_Obs_e,observed coframe/readout operator norm,dimensionless,DqZ_readout <= C_Obs_e Dq_Z_norm + C_shadow_abs,MISSING_NUMERIC_OR_THEOREM_ZERO,0,MISSING_SOURCE_BACKED_UPPER_BOUND,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\source-weight\RAB_COBS_OPERATOR_NORM_ROW_2887_NONCLAIM.csv,True,False,False,False,True,2970,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:30:46.148394+00:00
COEF2970_8_C_shadow_abs,C_shadow_abs,representative Weyl/disformal/source/readout shadow envelope,dimensionless,DqZ_readout <= C_Obs_e Dq_Z_norm + C_shadow_abs,MISSING_NUMERIC_OR_THEOREM_ZERO,0,MISSING_SOURCE_BACKED_UPPER_BOUND,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\source-weight\RAB_CSHADOW_BOUND_ROW_2888_NONCLAIM.csv,True,False,False,False,True,2970,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:30:46.148394+00:00
COEF2970_9_total,DqZ_JA_first_leakage_total,absolute no-cancellation envelope for first Dq_Z/J_A leakage heads,mixed_declared_by_projection,"total <= sum absolute heads; no cancellations, no fitted baseline absorption",COEFFICIENT_ACQUISITION_REQUIRED,nonnegative_envelope,MISSING_SOURCE_BACKED_UPPER_BOUND,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_2969_DQZ_JA_RESIDUAL_BOUND_ROWS_NONCLAIM.csv,True,False,False,False,True,2970,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,True,False,False,False,False,2026-06-25T06:30:46.148394+00:00
