timestamp_utc,branch_id,checkpoint_id,valid_for_claim,claim_allowed,source_id,source_path,path_exists,required_needles,found_needles,needles_found,role
2026-06-21T00:15:40.592053+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2170,False,False,2168_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2168-Y5-R2FR-object-language-radial-cell-constraint-or-finite-ZRJR-intake.md,True,NEXT2168_0_2169;CBB2168_0_ZR,NEXT2168_0_2169;CBB2168_0_ZR,True,anti-loop source validation for importing the existing Q_R/Z_R/M_R2 chain into the 2169 frontier
2026-06-21T00:15:40.592636+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2170,False,False,2169_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\2169-Y5-R2FR-finite-local-coefficient-bound-branch-setup.md,True,NEXT2169_0_2170;Q_R;Z_R,NEXT2169_0_2170;Q_R;Z_R,True,anti-loop source validation for importing the existing Q_R/Z_R/M_R2 chain into the 2169 frontier
2026-06-21T00:15:40.593077+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2170,False,False,2169_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_2169_VALIDATION.csv,True,"VAL2169_OVERALL,PASS","VAL2169_OVERALL,PASS",True,anti-loop source validation for importing the existing Q_R/Z_R/M_R2 chain into the 2169 frontier
2026-06-21T00:15:40.593495+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2170,False,False,2169_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_2169_NEXT_TARGET.csv,True,NEXT2169_0_2170,NEXT2169_0_2170,True,anti-loop source validation for importing the existing Q_R/Z_R/M_R2 chain into the 2169 frontier
2026-06-21T00:15:40.593957+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2170,False,False,1870_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1870-Y5-R2FR-QR-ZR-MR2-source-chain-first-fill-or-no-charge-return.md,True,NEXT1870;VAL1870_OVERALL,NEXT1870;VAL1870_OVERALL,True,anti-loop source validation for importing the existing Q_R/Z_R/M_R2 chain into the 2169 frontier
2026-06-21T00:15:40.594420+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2170,False,False,1870_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1870_VALIDATION.csv,True,"VAL1870_OVERALL,PASS","VAL1870_OVERALL,PASS",True,anti-loop source validation for importing the existing Q_R/Z_R/M_R2 chain into the 2169 frontier
2026-06-21T00:15:40.595033+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2170,False,False,1871_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1871-Y5-R2FR-QR-normalization-convention-lock-or-source-denominator-row.md,True,NEXT1871;VAL1871_OVERALL,NEXT1871;VAL1871_OVERALL,True,anti-loop source validation for importing the existing Q_R/Z_R/M_R2 chain into the 2169 frontier
2026-06-21T00:15:40.595582+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2170,False,False,1871_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1871_VALIDATION.csv,True,"VAL1871_OVERALL,PASS","VAL1871_OVERALL,PASS",True,anti-loop source validation for importing the existing Q_R/Z_R/M_R2 chain into the 2169 frontier
2026-06-21T00:15:40.596044+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2170,False,False,1872_doc,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1872-Y5-R2FR-CR-zero-theorem-or-absolute-tail-bound-row.md,True,NEXT1872;VAL1872_OVERALL,NEXT1872;VAL1872_OVERALL,True,anti-loop source validation for importing the existing Q_R/Z_R/M_R2 chain into the 2169 frontier
2026-06-21T00:15:40.596573+00:00,MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,2170,False,False,1872_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1872_VALIDATION.csv,True,"VAL1872_OVERALL,PASS","VAL1872_OVERALL,PASS",True,anti-loop source validation for importing the existing Q_R/Z_R/M_R2 chain into the 2169 frontier
