source_id,relative_path,needle,role,exists,needle_found,valid_for_claim,claim_allowed,generated_utc
SRC1167_0_1166_next,source-intake/mts_residuals/P8_Y5_R10_1166_NEXT_TARGET.csv,NEXT1166_0_1167,handoff requiring parent volume-lock selector or finite edge-bound fill.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
SRC1167_1_1166_obstruction,source-intake/mts_residuals/P8_Y5_R10_1166_JC_FROM_Q_VARIATION_DERIVATION.csv,JCV1166_4_relative_obstruction,int_D delta J_C obstruction.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
SRC1167_2_1166_volume_gate,source-intake/mts_residuals/P8_Y5_R10_1166_CLAIM_GATES.csv,G1166_1_local_volume_lock,blocked local volume-lock gate.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
SRC1167_3_274_CD,274-lifted-C-sector-form-holonomy-route.md,C_D[D] = N_D^{-1} integral_D J_C,domain class functional.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
SRC1167_4_274_local_FLRW,274-lifted-C-sector-form-holonomy-route.md,"where the local exact part can be killed by a stationary local boundary condition, while the coherent FLRW domain class can remain nonzero.",local/FLRW compatibility target.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
SRC1167_5_274_FLRW_class,274-lifted-C-sector-form-holonomy-route.md,integral_D J_C^{top} != 0,FLRW nonzero top class.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
SRC1167_6_275_stationary,275-JC-three-form-memory-current-from-Q.md,stationary local silence,older conditional local-stationary route.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
SRC1167_7_275_domain_missing,275-JC-three-form-memory-current-from-Q.md,physical domain selector `D` | not parent-derived,domain selector missing.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
SRC1167_8_207_Bianchi,207-domain-projector-action-and-Bianchi-identity.md,Bianchi closure can be made formal;,Bianchi compatibility is conditional.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
SRC1167_9_1020_bound,1020-Y5-R10-boundary-cohomology-domain-certificate-or-source-pack-first-row.md,ETB1020_3_residual_bound,finite edge-bound fallback law.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
SRC1167_10_1020_kernel,1020-Y5-R10-boundary-cohomology-domain-certificate-or-source-pack-first-row.md,MISSING_KERNEL_DERIVATIVE_BOUND_OR_ZERO_CERTIFICATE,dS_Feps bound still missing.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
SRC1167_11_1166_corner,source-intake/mts_residuals/P8_Y5_R10_1166_LOCAL_CORNER_CERTIFICATE_ATTEMPT.csv,LC1166_0_boundary_of_boundary,conditional C_corner zero from boundary-of-boundary.,True,True,False,False,2026-06-15T00:56:36.519261+00:00
