source_id,local_path,needle,role,valid_for_claim,claim_allowed,exists,needle_found
SRC1313_0_1312_next,source-intake/mts_residuals/P8_Y5_R10_1312_NEXT_TARGET.csv,NEXT1312_0_1313,handoff from b_alpha no-vertex gate,False,False,True,True
SRC1313_1_1312_balpha,source-intake/mts_residuals/P8_Y5_R10_1312_B_ALPHA_NO_F2_PROOF_AUDIT.csv,B_ALPHA_THEOREM_ZERO_NOT_DERIVED,b_alpha theorem-zero was not derived,False,False,True,True
SRC1313_2_1312_product_gate,source-intake/mts_residuals/P8_Y5_R10_1312_ALPHA_PRODUCT_RUNNER_GATE.csv,MISSING_R10_FINITE_BRANCH_INPUTS,RAB alpha product gates remain missing,False,False,True,True
SRC1313_3_1114_nohom,source-intake/mts_residuals/P8_Y5_R10_1114_NO_HIDDEN_VISIBLE_MORPHISM_THEOREM_ATTEMPT.csv,NO_HIDDEN_VISIBLE_MORPHISM_NOT_DERIVED,typed/product no-hidden-visible theorem not promoted,False,False,True,True
SRC1313_4_1114_obstructions,source-intake/mts_residuals/P8_Y5_R10_1114_COUPLING_OBSTRUCTION_LEDGER.csv,OBS1114_1_scalar_invariant,surviving scalar obstruction ledger,False,False,True,True
SRC1313_5_1114_finite,source-intake/mts_residuals/P8_Y5_R10_1114_FINITE_COUPLING_INPUTS_NONCLAIM.csv,FCI1114_0_alpha_F2,finite coupling inputs if no-morphism theorem fails,False,False,True,True
SRC1313_6_1115_invariant,source-intake/mts_residuals/P8_Y5_R10_1115_LOCAL_INVARIANT_ALGEBRA_TRIVIALITY_ATTEMPT.csv,LOCAL_INVARIANT_ALGEBRA_TRIVIALITY_NOT_DERIVED,hidden invariant algebra triviality not derived,False,False,True,True
SRC1313_7_1115_generators,source-intake/mts_residuals/P8_Y5_R10_1115_GENERATOR_KILL_LIST.csv,KILL1115_3_memory_scalar,generator kill list retains memory scalar and related debts,False,False,True,True
SRC1313_8_1219_functor,source-intake/mts_residuals/P8_Y5_R10_1219_TYPED_VISIBLE_COEFFICIENT_FUNCTOR_ATTEMPT.csv,TYPED_VISIBLE_COEFFICIENT_FUNCTOR_NOT_DERIVED,later typed visible coefficient functor attempt,False,False,True,True
SRC1313_9_1219_counterexamples,source-intake/mts_residuals/P8_Y5_R10_1219_HIDDEN_SCALAR_COUNTEREXAMPLE_LOCK.csv,HSC1219_1_alpha,hidden scalar counterexample lock,False,False,True,True
SRC1313_10_1219_debts,source-intake/mts_residuals/P8_Y5_R10_1219_FINITE_COUPLING_CLOSURE_DEBT_ROWS.csv,FC1219_0_alpha,finite coupling closure debts,False,False,True,True
SRC1313_11_1220_signature,source-intake/mts_residuals/P8_Y5_R10_1220_PARENT_TYPED_SIGNATURE_ATTEMPT.csv,PARENT_TYPED_OBJECT_LANGUAGE_SIGNATURE_NOT_DERIVED,parent typed object-language certificate attempt,False,False,True,True
SRC1313_12_1220_demotion,source-intake/mts_residuals/P8_Y5_R10_1220_NO_HIDDEN_VISIBLE_ROUTE_DEMOTION.csv,DEM1220_0_route_status,no-hidden-visible route demotion,False,False,True,True
SRC1313_13_1220_closure,source-intake/mts_residuals/P8_Y5_R10_1220_FINITE_COUPLING_CLOSURE_REGISTER.csv,FCCR1220_0_alpha,finite coupling closure register,False,False,True,True
SRC1313_14_1113_acq,source-intake/mts_residuals/P8_Y5_R10_1113_ALPHA_PRODUCT_INPUT_ACQUISITION_LEDGER.csv,AQ1113_4_r10_branch,alpha product input acquisition rows,False,False,True,True
