branch_id,source_id,source_kind,source_path,path_exists,required_needle,needle_found,use_in_1865,valid_for_claim
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_0_1864_doc,current_handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1864-Y5-R2FR-local-GR-reduction-contract-and-residual-vector-prioritizer.md,True,NEXT1864_0_primary,True,selects the parent Euler difference normal-form attempt.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_1_1864_validation,validation_anchor,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_1864_VALIDATION.csv,True,VAL1864_OVERALL,True,confirms 1864 passed before 1865 starts.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_2_1864_theorem,local_GR_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1864_LOCAL_GR_REDUCTION_THEOREM.csv,True,LGT1864_2_DR_normal_form,True,imports the D_R normal-form theorem target.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_3_1864_SR_map,S_R_map,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1864_RLOCAL_TO_SR_MAP.csv,True,RSM1864_7_readout_projection,True,imports all R_local^MTS residual slots that must enter S_R.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_4_1864_attack_contract,first_attack_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1864_FIRST_PROOF_ATTACK_CONTRACT.csv,True,FAC1864_6_verdict,True,imports the required 1865 proof-attack steps.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_5_1276_contract,parent_Euler_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1276_PARENT_EULER_SOURCE_CONTRACT.csv,True,ESC1276_9_verdict,True,states the earlier executable contract and its missing Euler/source map inputs.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_6_1275_missing,missing_Euler_inputs,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1275_MISSING_PARENT_EULER_SOURCE_MAP.csv,True,MPE1275_0_Lcore,True,"records that L_core, Euler pair, source map, W and boundary no-charge are missing.",False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_7_1272_variational,radial_cell_variational_attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1272_RADIAL_CELL_VARIATIONAL_DERIVATION_ATTEMPT.csv,True,RCD1272_7_verdict,True,shows the radial-cell action route is conditional but not parent-derived.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_8_1272_matrix,cell_principle_test_matrix,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1272_CELL_PRINCIPLE_TEST_MATRIX.csv,True,CPT1272_5_constrained_action,True,"compares Liouville, configuration-cell, current, gauge and constrained-action routes.",False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_9_1273_variables,u_v_variable_change,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1273_UV_RADIAL_CELL_VARIABLE_CHANGE.csv,True,UV1273_0_u_cell_volume,True,supplies the clean u/v split for C_R and cone-ratio variables.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_10_1274_unimodular,unimodular_cell_audit,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1274_UNIMODULAR_CELL_ORIGIN_AUDIT.csv,True,URO1274_6_less_scrutiny_rule,True,selects field-equation difference over imposed cell unimodularity.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_11_1577_current,cell_current_no_charge_attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_PARENT_QLOC_1577_RADIAL_CELL_CURRENT_ATTEMPT.csv,True,RCC1577_4_verdict,True,shows conserved radial-cell current leaves Q_R hair unless no-charge is derived.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_12_1253_Hcore,Hcore_source_equation_attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R10_1253_RECIPROCAL_HCORE_SOURCE_EQUATION_ATTEMPT.csv,True,HCE1253_0_reciprocal_euler_source,True,shows the reciprocal source equation needs explicit H_core/L_MTS_core.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_13_10_observer_contract,observer_map_contract,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\10-observer-map-symplectic-contract.md,True,observer_map_contract_written_not_satisfied,True,states the parent action contract for deriving R_AB=0 and no reciprocal hair.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_14_11_cell_current,cell_current_origin_attempt,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\11-cell-current-origin-attempt.md,True,ordinary cell-current conservation does not close,True,documents that conservation permits Q_R hair.,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,SRC1865_15_1859_route,no_GR_import_route,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\1859-Y5-R2FR-motion-load-phase-volume-parent-origin-no-GR-import-derivation.md,True,BEST_NONCIRCULAR_ROUTE,True,keeps the MTS-owned field-equation difference as the least circular route.,False
