same_parent_branch_id,requirement_id,column,schema_definition,official_extraction_status,live_target_path,live_target_exists,promotion_condition,valid_prediction_row,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,KREQ1445_0,time_s,seconds or mission time with declared epoch,PARTIAL_SOURCE_FACT_ONLY_4HZ_TIMESTAMPS,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\official_readout\P_WEP_K_CMSM_readout.csv,False,"live target exists, parses, declares same branch, has values/units/source path, and contains no PENDING/MISSING placeholders",False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,KREQ1445_1,session_id,MICROSCOPE science session/segment id,PENDING_OFFICIAL_SEGMENT_TABLE,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\official_readout\P_WEP_K_CMSM_readout.csv,False,"live target exists, parses, declares same branch, has values/units/source path, and contains no PENDING/MISSING placeholders",False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,KREQ1445_2,orbit_id,orbit identifier or reconstructable orbit phase key,PENDING_ORBIT_PHASE_KEY,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\official_readout\P_WEP_K_CMSM_readout.csv,False,"live target exists, parses, declares same branch, has values/units/source path, and contains no PENDING/MISSING placeholders",False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,KREQ1445_3,axis,reported accelerometer axis; sensitive X axis must be explicit,PARTIAL_X_AXIS_EXTRACTED_SIGN_PENDING,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\official_readout\P_WEP_K_CMSM_readout.csv,False,"live target exists, parses, declares same branch, has values/units/source path, and contains no PENDING/MISSING placeholders",False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,KREQ1445_4,gx_m_s2,gravity projection on x in m/s^2,PENDING_DESIGN_MATRIX_VALUES,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\official_readout\P_WEP_K_CMSM_readout.csv,False,"live target exists, parses, declares same branch, has values/units/source path, and contains no PENDING/MISSING placeholders",False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,KREQ1445_5,gz_m_s2,gravity projection on z in m/s^2,PENDING_DESIGN_MATRIX_VALUES,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\official_readout\P_WEP_K_CMSM_readout.csv,False,"live target exists, parses, declares same branch, has values/units/source path, and contains no PENDING/MISSING placeholders",False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,KREQ1445_6,Sxx,gravity-gradient/readout design column Sxx,PENDING_GRADIENT_COLUMN_VALUES,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\official_readout\P_WEP_K_CMSM_readout.csv,False,"live target exists, parses, declares same branch, has values/units/source path, and contains no PENDING/MISSING placeholders",False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,KREQ1445_7,Sxz,gravity-gradient/readout design column Sxz,PENDING_GRADIENT_COLUMN_VALUES,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\official_readout\P_WEP_K_CMSM_readout.csv,False,"live target exists, parses, declares same branch, has values/units/source path, and contains no PENDING/MISSING placeholders",False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,KREQ1445_8,mask_flag,mask/quality flag matching final analysis cuts,PENDING_GLITCH_AND_ONBOARD_MASK_ROWS,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\official_readout\P_WEP_K_CMSM_readout.csv,False,"live target exists, parses, declares same branch, has values/units/source path, and contains no PENDING/MISSING placeholders",False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,KREQ1445_9,calibration_flag,calibration state or exclusion marker,PENDING_CALIBRATION_STATE_ROWS,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\microscope\official_readout\P_WEP_K_CMSM_readout.csv,False,"live target exists, parses, declares same branch, has values/units/source path, and contains no PENDING/MISSING placeholders",False,False,False
