checkpoint,source_id,role,path,exists,needle,needle_found,line,note,valid_for_claim
4512,SRC4512_00_formal527,4511 formal handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\527-PPC4161-no-spurion-readout-grammar-or-WFm-finite-row.md,True,No-Spurion Readout Grammar,True,1,previous B_Weyl leg,False
4512,SRC4512_01_post4511,4511 post handoff,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\4511-Y5-R2FR-no-spurion-readout-grammar-or-WFm-finite-row.md,True,NT4511_0,True,134,declares Khat trace next target,False
4512,SRC4512_02_ktg4509,4509 Khat trace gate,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4509_KHAT_TRACE_GATE.csv,True,KTG4509_2_trace_zero,True,4,trace-zero target,False
4512,SRC4512_03_numeric4509,4509 B_Weyl numeric row,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4509_BWEYL_NUMERIC_ACQUISITION_ROW.csv,True,BWN4509_09_RKtrace,True,11,R_K trace missing row,False
4512,SRC4512_04_theta4508,"4508 Theta_W,m split",D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4508_THETAWM_DECOMPOSITION.csv,True,TW4508_4_Khat_match,True,6,Khat trace-assignment mismatch,False
4512,SRC4512_05_mrd3627,3627 metric-response derivation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3627_GAMMA_KHAT_METRIC_RESPONSE_DERIVATION.csv,True,MRD3627_1_metric_response,True,3,K_metric definition,False
4512,SRC4512_06_kmc3628,3628 Kmetric/Khat comparison,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3628_KMETRIC_KHAT_COMPARISON.csv,True,KMC3628_5_verdict,True,7,Khat match not claimed,False
4512,SRC4512_07_kmc4115,4115 active Kmetric comparison,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4115_KMETRIC_KHAT_COMPARISON.csv,True,KMC4115_5_verdict,True,7,active residual retained,False
4512,SRC4512_08_qbr4115,4115 residual runner,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4115_BOUND_RUNNER_ROWS.csv,True,QBR4115_0_RK,True,2,R_K finite row route,False
4512,SRC4512_09_can3689_khat,3689 canonical Khat,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3689_CANONICAL_GAMMA_KHAT_BRANCH_ROWS.csv,True,CAN3689_3_Khat,True,5,canonical metric response,False
4512,SRC4512_10_can3689_deltak,3689 canonical DeltaK,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3689_CANONICAL_GAMMA_KHAT_BRANCH_ROWS.csv,True,CAN3689_5_DeltaK,True,7,canonical zero / legacy residual,False
4512,SRC4512_11_legacy3689,3689 legacy Khat quarantine,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3689_LEGACY_SYMBOL_QUARANTINE.csv,True,LQ3689_1_Khat_legacy,True,3,legacy Khat residual,False
