checkpoint,hit_id,source_path,relative_path,line_number,term,snippet,evidence_layer,classification,reason,promotion_value,score_ready,valid_for_claim,timestamp_utc
4751,HIT4751_0002,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,formalization-workbench\02-claims-register.csv,149,q_tr,"L-133,local_gr,""4292 separates the transition shell into three non-confused routes. A same-worldtube Hilbert-membership selector would absorb the l=0 transition monopole into M_H^dress and sets mu_extra_tr=0 for that component, but the current corpus does n...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0003,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,formalization-workbench\02-claims-register.csv,151,q_tr,"L-135,local_gr,""4294 derives the conditional source-kernel zero theorem. If the transition residue is a same-metric, same-worldtube, Hilbert-owned, static, l=0, universal, range-hair-free source contribution before readout, then the leak projector P_leak an...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0004,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,formalization-workbench\02-claims-register.csv,152,q_tr,"L-136,local_gr,""4295 searches the corpus for the parent-action source-kernel signature required by 4294. It finds a real ordinary-source kernel inside the private PPC4161 selector: same observed metric/coframe Hilbert source, Maxwell-Hodge/Poynting stress, ...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0005,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,formalization-workbench\02-claims-register.csv,153,q_tr,"L-137,local_gr,""4296 attacks the first two P_leak components from 4295. P_nonHilbert_action_domain q_tr can be zero only if the raw transition is Hilbert-action owned before variation, q-vertical by quotient naturality, q-owned exact/topological rest, or a ...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0006,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,formalization-workbench\02-claims-register.csv,154,q_tr,"L-138,local_gr,""4297 attempts the direct q_tr vertical/topological-rest proof for P_nonHilbert_action_domain. The exact variation of q_tr = grad Gamma_eff - div K_hat shows the required clauses: D_v Gamma_eff=0, D_v K_hat=0 or exact cancellation, the covari...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0007,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,formalization-workbench\02-claims-register.csv,155,q_tr,"L-139,local_gr,""4298 attempts to factor Gamma_eff and K_hat through q after the 4297 D_v q_tr expansion. The current corpus defines Gamma_eff and K_hat, and Gamma_eff has a nonclaim formula-shape seed Gamma_eff=L_cg^-2F(m), but it does not parent-sign that ...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0008,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,formalization-workbench\02-claims-register.csv,195,q_tr,"L-179,local_gr,""4338 imports the finite-margin cGamma result into the 4337 coupling split and separates compact-collar local tests from raw transition-shell local tests. In support-separated compact local collars, 4281 gives R_transport_to_local=R_Bgrad_to_...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0011,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,formalization-workbench\02-claims-register.csv,198,q_tr,"L-182,local_gr,""4341 turns the 4340 Gamma/Khat cancellation into an exact parent-signature contract. The useful local identity is K_hat=K_Gamma+Delta_K with div K_Gamma=grad Gamma_eff, giving q_tr=-div Delta_K plus right-inverse, connection and boundary com...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0012,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,formalization-workbench\02-claims-register.csv,212,q_tr,"L-196,local_gr,""4355 assembles the transition source-kernel hair law. If q_tr is Hilbert, same-worldtube, static l=0, universal/species-frame blind, range-free, same-metric and boundary-owned on the same branch, then q_tr=P_kernel q_tr and P_leak q_tr=0, so...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0013,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,formalization-workbench\02-claims-register.csv,213,q_tr,"L-197,local_gr,""4356 derives the transition static-monopole/common-mode hair law. The absorbable transition contribution is only q_0^H: a stationary l=0 Hilbert monopole that is universal, range-free, species/frame/source-label blind, same-metric/EH and bou...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0017,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\02-claims-register.csv,formalization-workbench\02-claims-register.csv,431,q_tr,"L-416,local_gr_parent_signature,""4574 derives the exact Gram/moment criterion replacing the naked P_metric,loc=0 closure: local metric leakage vanishes iff all local response moments M_i[q_tr]=<E_i,Sigma_metric[q_tr]> vanish."",""Generated source register, Gr...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0048,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\07-unification-spine.md,formalization-workbench\07-unification-spine.md,4792,q_tr,"4295 finds that the ordinary local source kernel is real inside the private PPC4161 selector, but the raw transition shell is not parent-signed into that kernel. `P_leak q_tr` is reduced to seven named components, with `P_nonHilbert_action_domain` and `P_of...",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0052,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\180-PPC4161-private-local-packet-integration.md,formalization-workbench\180-PPC4161-private-local-packet-integration.md,1363,q_tr,"Packet update: raw `q_tr` silence now reduces to q-basic Gamma/Khat plus connection/boundary clauses. If QAP or factorization is not parent-signed, the new D_v coefficient matrix is the empirical fallback.",formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0053,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\311-PPC4161-parent-action-source-kernel-signature-search-and-leak-projector-reduction.md,formalization-workbench\311-PPC4161-parent-action-source-kernel-signature-search-and-leak-projector-reduction.md,34,q_tr,raw transition shell q_tr source-kernel membership = not parent-signed.,formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0054,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\315-PPC4161-DvGamma-DvKhat-first-source-coefficient-or-QAP-parent-signature.md,formalization-workbench\315-PPC4161-DvGamma-DvKhat-first-source-coefficient-or-QAP-parent-signature.md,16,q_tr,| QAP4299_1_qmap_kernel | field-by-field vertical kernel | NOT_PARENT_SIGNED | 4298 and 4297 show raw q_tr verticality still requires explicit D_v clauses. |,formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
4751,HIT4751_0055,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\353-PPC4161-source-Sq-qprofile-kernel-and-metric-green-coupling-or-R10-alpha-parent-pivot.md,formalization-workbench\353-PPC4161-source-Sq-qprofile-kernel-and-metric-green-coupling-or-R10-alpha-parent-pivot.md,57,Sigma_metric[q_tr],| CG4337_2_metric_null_branch | metric-null transition theorem | c_Gamma=0 or Sigma_metric[q_tr]=0 => Pi_PPN^Gamma=0 | LEGAL_ESCAPE_ROUTE_NOT_PARENT_SIGNED | 136-144 metric-null/source-lift contract imported through residual channel | parent action/source-l...,formal_workbench,NEGATIVE_SOURCE_EVIDENCE,explicitly says the raw q_tr route is not parent-signed,blocks claim,False,False,2026-07-08T01:06:38+00:00
