checkpoint,source_id,source_kind,source_ref,local_path_exists,needle,needle_found,line_number,role,valid_for_claim
4492,SRC4492_00_formal507,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\formalization-workbench\507-PPC4161-transfer-bound-input-pack-or-coupling-zero-theorem.md,True,A_total_l2 <= |A_slip_surface| + |A_DeltaKTF_surface|,True,15,4491 no-cancellation scorer handoff.,False
4492,SRC4492_01_allowance4491,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4491_DELTAKTF_ALLOWANCE.csv,True,DA4491_PSEL4489_0_smoothstep_minN4_candidate_1.000000000000000e+09,True,3,4491 DeltaKTF allowance rows.,False
4492,SRC4492_02_zero4491,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4491_COUPLING_ZERO_AUDIT.csv,True,Z4491_3_DeltaKTF,True,5,4491 open DeltaKTF zero row.,False
4492,SRC4492_03_leakage4486,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4486_DELTAKTF_LEAKAGE_INPUT_ROW.csv,True,DTF4486_1_Bprime_condition,True,3,4486 Bprime leakage condition.,False
4492,SRC4492_04_m2k24486,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4486_FIRST_M2K2_INPUT_ROW.csv,True,M2I4486_3_recast_hessian_product_bound,True,5,4486 projected Hessian product bound.,False
4492,SRC4492_05_projection3179,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_3179_HESSIAN_PROJECTION_DERIVATION.csv,True,HP3179_1_auxiliary_B,True,3,3179 Hessian projection and B(r) rewrite.,False
4492,SRC4492_06_readout4487,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4487_HESSIAN_METRIC_READOUT.csv,True,HMR4487_2_metric_null_verdict,True,4,4487 metric-null verdict.,False
4492,SRC4492_07_profile4489,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4489_PROFILE_SELECTION_ROWS.csv,True,PSEL4489_1_balanced_Fpp_jump,True,8,4489 profile selection rows.,False
4492,SRC4492_08_gate,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\deltak_bound_gate.py,True,def bprime_leakage_bound_rows,True,91,4492 bound helper.,False
4492,SRC4492_09_generator,local,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\scripts\Y5_R2FR_4492_DeltaKTF_bound_or_coupling_product_parent_signature.py,True,"CHECKPOINT = ""4492""",True,31,4492 generator script.,False
