checkpoint,source_id,path,path_exists,needle,needle_found,line,role,valid_for_claim,timestamp_utc
4624,SRC4624_00_4623_next,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4623_NEXT_TARGET.csv,True,4624-Y5-R2FR-trace-branch-local-vacuum-exterior-and-WEP-risk.md,True,2,4623 selected trace branch exterior/WEP gate.,False,2026-07-06T17:47:18.833723+00:00
4624,SRC4624_01_4623_trace_theorem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4623_PARENT_SELECTION_THEOREMS.csv,True,PSEL4623_1_trace_branch,True,3,4623 trace branch theorem.,False,2026-07-06T17:47:18.833723+00:00
4624,SRC4624_02_4623_trace_row,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4623_TRACE_BRANCH_ROWS.csv,True,TR4623_0_minimal_trace_branch,True,2,4623 minimal trace branch row.,False,2026-07-06T17:47:18.833723+00:00
4624,SRC4624_03_4623_exterior,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4623_TRACE_BRANCH_ROWS.csv,True,TR4623_2_exterior_nohair_feed,True,4,4623 exterior nohair feed row.,False,2026-07-06T17:47:18.833723+00:00
4624,SRC4624_04_4623_betaT,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4623_BETA_OWNERSHIP_MATRIX.csv,True,BOWN4623_1_beta_T,True,3,4623 beta_T owner row.,False,2026-07-06T17:47:18.833723+00:00
4624,SRC4624_05_4623_frame,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4623_FRAME_DEGENERACY_CONTROLS.csv,True,FR4623_0_no_R_T_double_count,True,2,4623 frame control.,False,2026-07-06T17:47:18.833723+00:00
4624,SRC4624_06_4623_validation,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_BRR545_4623_VALIDATION.csv,True,VAL4623_OVERALL,True,17,4623 validation.,False,2026-07-06T17:47:18.833723+00:00
4624,SRC4624_07_4621_nohair,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4621_MEMORY_POSITIVE_OPERATOR_IDENTITY.csv,True,MPI4621_2_nohair_zero,True,4,4621 nohair theorem.,False,2026-07-06T17:47:18.833723+00:00
4624,SRC4624_08_4621_bound,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4621_MEMORY_POSITIVE_OPERATOR_IDENTITY.csv,True,MPI4621_3_finite_amplitude_bound,True,5,4621 finite amplitude bound.,False,2026-07-06T17:47:18.833723+00:00
4624,SRC4624_09_4621_Zmem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4621_ZMEM_M2MEM_SOURCE_ROWS_NONCLAIM.csv,True,ZMR4621_0_Zmem_min,True,2,4621 Zmem lower row.,False,2026-07-06T17:47:18.833723+00:00
4624,SRC4624_10_4621_M2mem,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4621_ZMEM_M2MEM_SOURCE_ROWS_NONCLAIM.csv,True,ZMR4621_1_M2mem_min,True,3,4621 M2mem lower row.,False,2026-07-06T17:47:18.833723+00:00
4624,SRC4624_11_4622_exterior,D:\Users\ollet\Desktop\Turn an intuitive research programme into a formal field-theoretic framework\Motion-TimeSpace--main\post-checkpoint-work\source-intake\mts_residuals\P8_Y5_R2FR_4622_LOCAL_VACUUM_BRANCH_TESTS.csv,True,LVT4622_0_exterior_vacuum,True,2,4622 exterior vacuum branch test.,False,2026-07-06T17:47:18.833723+00:00
