clause,satisfied,evidence,status,blocks_numeric_MTS_prediction,passed,checkpoint_marker,valid_for_claim,source_checked_date
integrated_H_coordinate,True,constant four-dimensional H-to-g point Jacobian,KINEMATICALLY_CLOSED,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
Ricci_flat_operator_map,True,zeta_+=G_C3 and a_+=16pi G_N G_C3,KINEMATICALLY_CLOSED,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
free_spectator_C3_source,True,Q_-1=0 in the declared optimized spectral projection,LEADING_SOURCE_DERIVED,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
visible_field_inventory,True,SM45/SM48 and one conditional real motion mode are enumerated,BENCHMARK_INVENTORY_CLOSED,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
leading_2D_fixed_point_survival,True,all benchmark and wide spectator rows retain one relevant and one irrelevant direction,LEADING_PROJECTION_SURVIVES,False,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
parent_regulator_selection,False,MTS does not uniquely select the optimized type-II regulator,OPEN_PARENT_REGULATOR,True,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
interacting_matter_operator_basis,False,six-derivative essential matter blocks are not enumerated or projected,OPEN_ESSENTIAL_BASIS,True,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
full_stability_matrix,False,the 2D triangular matrix omits matter interaction directions,OPEN_CRITICAL_SURFACE,True,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
motion_UV_threshold,False,the invariant motion gap does not yet select whether its scalar is active at the fixed point,OPEN_MOTION_ACTIVATION,True,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
zero_cosmological_trajectory,False,the renormalized flat saddle does not prove Lambda_k=0 is UV invariant,OPEN_FLAT_FLOW,True,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
transition_scale,False,k0=M_Pl remains a prescription rather than a parent-derived crossing,OPEN_SCALE_OWNER,True,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
all_dynamic_inheritance,False,leading free-spectator survival closes a real subset but six parent clauses remain open,FULL_MTS_FLOW_NOT_YET_INHERITED,True,True,MTS_MATTER_COMPLETED_C3_FLOW_4929,False,2026-07-12
