row_id,p,r,c4,c2_plus_c4,C3,C4,Cbar_op,Lambda3_GeV,status,valid_for_claim,timestamp_utc
SAMP4863_00,1E-15,1E-8,-4.99999985000000199999993000000019999999800000001999999980000E-16,1.66666675000000533333333000000719999992800000738666659280001E-16,1.66666665000000093333331400000075999999240000074266665924000E-15,1.66666665000000093333331400000075999999240000074266665924000E-15,1.66666666666666733333333333333400000000000000066666666666667E-15,0.130693156876719560692983688875455593265904554698866876731921,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_01,1E-15,0.00001,-4.99985000199998000014999800001999980000199998000019999800002E-16,1.66674999866668666651666866665333346666533335333313333533332E-16,1.66665000026666466667666646666933330666693333133335333313333E-15,1.66665000026666466667666646666933330666693333133335333313334E-15,1.66666666666666733333333333333400000000000000066666666666667E-15,4132.85985945010979387499775732663725227196983258883449455450,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_02,1E-15,0.001,-4.98501998001998001498001998001998001998001998001998001998002E-16,1.67498667998668665168664668665334665334665335331335331335332E-16,1.66500266400266466766466866466933066933066933133533133533133E-15,1.66500266400266466766466866466933066933066933133533133533134E-15,1.66666666666666733333333333333400000000000000066666666666667E-15,4130813.15373565467156163675010306727118835563310733436603112,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_03,1E-15,0.154700538379251529,-3.09401076758502980704623493385980233886045426538130841523828E-16,2.67949192431123361163943257244276545976053679231359301083220E-16,1.46410161513775500972292105439047251374814453230762098413088E-15,1.46410161513775500972292105439047251374814453230762098413088E-15,1.66666666666666733333333333333400000000000000066666666666667E-15,7295651253.43472336905375998063712883247371615153604968399529,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_04,1E-15,0.333333333333333333333333333333333333333333333333333333333333,-1.66666666666666499999999999999999999999999999999999999999999E-16,3.33333333333334000000000000000500000000000000500000000000003E-16,1.33333333333333350000000000000050000000000000050000000000000E-15,1.33333333333333350000000000000050000000000000050000000000000E-15,1.66666666666666733333333333333400000000000000066666666666667E-15,20420805864.0914667539256293754432199925945912965672356053861,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_05,1E-9,1E-8,-4.99999985000000194999998000000019999999800000001999999980000E-10,1.66666675666666532333334727333319394000139393998606060680606E-10,1.66666665066666691733333072733335939399973939400260606064061E-9,1.66666665066666691733333072733335939399973939400260606064061E-9,1.66666666733333333400000000066666666733333333400000000066667E-9,130.693156824442350972350404158264779519694321361767553764871,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_06,1E-9,0.00001,-4.99985000199993000019999800001999980000199998000019999800002E-10,1.66675000533333000719992800738659280740525928740712593540731E-10,1.66665000093331400075999240074265924074092592474075259314073E-9,1.66665000093331400075999240074265924074092592474075259314074E-9,1.66666666733333333400000000066666666733333333400000000066667E-9,4132859.85779699229972850868865097863347766134057432184686659,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_07,1E-9,0.001,-4.98501998001498001998001998001998001998001998001998001998002E-10,1.67498668665168665334665335331335332001332001998001998667999E-10,1.66500266466766466933066933133533133599733599800199800266400E-9,1.66500266466766466933066933133533133599733599800199800266400E-9,1.66666666733333333400000000066666666733333333400000000066667E-9,4130813152.08581301520341794989314767561181735739022478053645,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_08,1E-9,0.154700538379251529,-3.09401076681152788865266918511744733886045426538130841523828E-10,2.67949193085823245420006676777443772698491555559116421081362E-10,1.46410161556040431846091474930093324047058240863537810412902E-9,1.46410161556040431846091474930093324047058240863537810412902E-9,1.66666666733333333400000000066666666733333333400000000066667E-9,7295651251328.65236531580440511352539323245731510157104467706,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_09,1E-9,0.333333333333333333333333333333333333333333333333333333333333,-1.66666666499999999999999999999999999999999999999999999999999E-10,3.33333334000000000500000000500000000500000000500000000500002E-10,1.33333333350000000050000000050000000050000000050000000050000E-9,1.33333333350000000050000000050000000050000000050000000050000E-9,1.66666666733333333400000000066666666733333333400000000066667E-9,20420805861538.8685661762016103773189161491791481991634807368,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_10,0.0000013928203230275509174109785366023489467771221015257,1E-8,-6.96410140621461192114026134149639831003625118132635537991760E-7,2.32138025412193920466470656946312713364399288569490989570389E-7,0.00000232136847513298367879550558774523765492219909304059513332769,0.00000232136847513298367879550558774523765492219909304059513332770,0.00000232136849834668769032802645350326940210467195190807059458341,4877.53229924068485375140341156348221433563569590059371275087,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_11,0.0000013928203230275509174109785366023489467771221015257,0.00001,-6.96389269477791582173255503480881499389502827060554113425909E-7,2.32149620452445888369086989995104196081092317370372171894650E-7,0.00000232134528501371990691448146372884783023717646523739817253577,0.00000232134528501371990691448146372884783023717646523739817253578,0.00000232136849834668769032802645350326940210467195190807059458341,154240343.829832949619744157530811326763110607902394146991690,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_12,0.0000013928203230275509174109785366023489467771221015257,0.001,-6.94323712917048173045086980443524240778213197018626979330540E-7,2.33296841847324227471444405071880809499059380785939049224318E-7,0.00000231905083838673558160652748134071996329579112389282038681634,0.00000231905083838673558160652748134071996329579112389282038681634,0.00000232136849834668769032802645350326940210467195190807059458341,154163959902.968677322098341232107567466321566007442769476098,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_13,0.0000013928203230275509174109785366023489467771221015257,0.154700538379251529,-4.30939957620315311177795358587693177254705490471075568646580E-7,3.73206350843743840314821199066411764044381267439689945643067E-7,0.00000203923130446157750316272408673794490409205816232771009965958,0.00000203923130446157750316272408673794490409205816232771009965958,0.00000232136849834668769032802645350326940210467195190807059458341,272277302045770.119988601822369162914935649238700879205215936,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_14,0.0000013928203230275509174109785366023489467771221015257,0.333333333333333333333333333333333333333333333333333333333333,-2.32136397179849779806615693538732950581432768925792976979224E-7,4.64274734309502799881170244136957390914229618860984968958337E-7,0.00000185709408736282759800650659305433071604708897640121389989601,0.00000185709408736282759800650659305433071604708897640121389989601,0.00000232136849834668769032802645350326940210467195190807059458341,762114717476235.534278689545122151673475509947182119494319362,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_15,0.06,1E-8,-0.0299999990820000119999998800000011999999880000001199999988000,0.0125531919818297794893617795744673106383056170211991489369447,0.102553190427829803489361539574469710638281617021439148934545,0.102553190427829803489361539574469710638281617021439148934545,0.102553191489361702127659574468085106382978723404255319148936,987141.234462705806413857430852348336225536693923719691736547,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_16,0.06,0.00001,-0.0299990820119998800011999880001199988000119998800011999880001,0.0125536839497022051056085183829012773702050213540417787311489,0.102552129973701965108008494383141274970229021114044178707149,0.102552129973701965108008494383141274970229021114044178707149,0.102553191489361702127659574468085106382978723404255319148936,31216001753.5490294907446319679879791218845341413539890693685,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_17,0.06,0.001,-0.0299083198801198801198801198801198801198801198801198801198801,0.0126023609284332688588007736943907156673114119922630560928433,0.102447200688673029098561013454630475907071651752502816332604,0.102447200688673029098561013454630475907071651752502816332604,0.102553191489361702127659574468085106382978723404255319148936,31201628633801.9236475018983081680706067372692988257118730403,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_18,0.06,0.154700538379251529,-0.0182856036364275307310935609807046840331627255922878504914297,0.0185665412054634755147552195089069060495190919936298269878007,0.0895003036606134300947423414703162741158445431782055279706601,0.0895003036606134300947423414703162741158445431782055279706601,0.102553191489361702127659574468085106382978723404255319148936,55467379961297564.1715975441638459322960723187160762456600768,PASS,False,2026-07-10T02:45:00+01:00
SAMP4863_19,0.06,0.333333333333333333333333333333333333333333333333333333333333,-0.0093999999999999999999999999999999999999999999999999999999998,0.0225148936170212765957446808510638297872340425531914893617024,0.0807148936170212765957446808510638297872340425531914893617019,0.0807148936170212765957446808510638297872340425531914893617019,0.102553191489361702127659574468085106382978723404255319148936,156777888161314548.272090836042377175057920855413651070643902,PASS,False,2026-07-10T02:45:00+01:00
